# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_KNN_abrupto3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
27999,5029.408072,5260.035812,0.749316,12.655848,13.405164
28199,5025.416963,4466.661713,0.754795,12.748015,13.502810
28399,5024.620329,4912.295002,0.760262,12.839557,13.599819
28599,5027.769064,5474.889416,0.765720,12.931468,13.697189
28799,5031.617064,5581.881070,0.771174,13.023298,13.794472
28999,5031.919446,5075.462420,0.776634,13.115213,13.891847
29199,5030.045667,4758.347700,0.782065,13.206818,13.988883
29399,5032.256308,5355.009875,0.787526,13.298693,14.086219
29599,5025.279361,3999.668142,0.793002,13.390600,14.183601
29799,5031.647359,5974.111073,0.798453,13.482598,14.281051
29999,5028.555832,4567.918435,0.803919,13.574727,14.378646
30199,5030.293105,5290.883965,0.809354,13.666471,14.475825
30399,5029.788222,4953.550850,0.814836,13.758319,14.573155
30599,5039.755457,6554.775206,0.820272,13.850128,14.670399
30799,5033.106860,4015.871546,0.825771,13.942022,14.767793
30999,5030.546575,4636.262630,0.831243,14.034018,14.865261
31199,5030.646871,5046.192772,0.836687,14.125858,14.962545
31399,5034.187240,5586.484791,0.842086,14.217787,15.059873
31599,5036.462344,5393.653779,0.847508,14.309375,15.156883
31799,5037.374617,5181.513770,0.852953,14.401270,15.254223
31999,5033.610524,4435.119644,0.858424,14.493380,15.351805
32199,5033.743385,5055.001222,0.863816,14.585106,15.448921
32399,5035.328905,5290.597610,0.869225,14.676840,15.546065
32599,5039.928848,5785.119647,0.874668,14.768865,15.643533
32799,5031.675308,3686.348203,0.880097,14.860834,15.740930
32999,5036.454865,5820.302245,0.885533,14.952688,15.838221
33199,5033.198142,4495.838825,0.890910,15.044307,15.935216
33399,5030.372996,4561.398709,0.896342,15.136285,16.032627
33599,5033.414247,5541.303209,0.901779,15.227970,16.129750
33799,5033.928903,5120.391123,0.907220,15.319778,16.226998
33999,5031.342558,4594.250181,0.912587,15.411317,16.323903
34199,5033.301732,5366.361391,0.917987,15.502982,16.420968
34399,5029.575882,4392.455525,0.923453,15.594839,16.518292
34599,5025.228663,4277.506972,0.928879,15.686648,16.615528
34799,5029.162024,5709.633438,0.934309,15.778677,16.712986
34999,5025.688246,4421.250997,0.939745,15.870459,16.810204
35199,5025.490434,4990.873215,0.945167,15.962362,16.907529
35399,5032.932931,6342.812440,0.950606,16.053935,17.004542
35599,5034.193515,5257.316941,0.956067,16.145567,17.101634
35799,5032.512138,4733.226928,0.961495,16.237254,17.198749
35999,5038.386206,6089.844465,0.966947,16.328905,17.295852
36199,5041.084731,5526.819202,0.972397,16.420599,17.392996
36399,5034.436338,3831.077122,0.977785,16.512340,17.490125
36599,5033.170704,4802.825454,0.983177,16.604041,17.587219
36799,5033.315073,5059.734476,0.988681,16.695870,17.684551
36999,5035.065181,5357.085202,0.994099,16.787636,17.781735
37199,5034.823339,4990.082438,0.999575,16.879545,17.879120
37399,5033.903293,4862.774853,1.004971,16.971179,17.976150
37599,5031.228557,4531.052886,1.010497,17.063243,18.073740
37799,5028.623821,4538.933502,1.015896,17.155066,18.170962
37999,5026.352369,4597.047804,1.021349,17.246891,18.268240
38199,5030.964022,5907.178193,1.026788,17.338757,18.365545
38399,5035.186852,5841.747370,1.032242,17.430806,18.463047
38599,5036.709400,5329.038528,1.037687,17.522634,18.560321
38799,5034.375331,4583.899994,1.043180,17.614717,18.657897
38999,5042.056427,6532.189211,1.048580,17.706713,18.755293
39199,5041.430666,4919.407281,1.054078,17.799130,18.853209
