# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
21399,3333.394549,1383.362797,0.932671,4.533148,5.465818
21599,3313.813593,1218.651276,0.934962,4.575791,5.510753
21799,3297.018993,1483.202221,0.937373,4.618513,5.555886
21999,3277.524175,1152.589038,0.939969,4.662271,5.602240
22199,3262.308644,1588.600235,0.948000,4.705611,5.653611
22399,3245.173567,1343.180003,0.950240,4.749286,5.699526
22599,3228.795025,1394.398325,0.952568,4.792198,5.744766
22799,3211.742529,1284.810429,0.955003,4.835188,5.790191
22999,3194.662629,1247.554017,0.957570,4.878751,5.836320
23199,3181.604153,1679.879483,0.965692,4.922838,5.888530
23399,3167.345845,1513.382084,0.967878,4.965682,5.933560
23599,3155.293069,1745.118277,0.970186,5.011214,5.981400
23799,3140.572805,1403.581661,0.972607,5.054949,6.027556
23999,3125.802392,1368.123281,0.975156,5.098610,6.073767
24199,3112.256427,1486.740556,0.983191,5.141651,6.124842
24399,3098.411911,1423.225532,0.985434,5.185487,6.170922
24599,3085.207548,1474.275278,0.987760,5.228475,6.216235
24799,3071.503503,1385.905909,0.990165,5.271337,6.261502
24999,3058.205782,1409.288344,0.992722,5.314766,6.307488
25199,3043.043372,1147.742127,1.001046,5.358678,6.359725
25399,3029.863320,1369.176798,1.003265,5.401731,6.404996
25599,3020.640987,1849.404679,1.005585,5.444680,6.450266
25799,3008.862871,1501.264059,1.007999,5.487617,6.495616
25999,2995.632157,1288.870066,1.010553,5.531236,6.541789
26199,2982.427324,1265.799008,1.018733,5.574371,6.593103
26399,2970.621332,1424.036379,1.020977,5.618026,6.639003
26599,2957.175417,1182.314615,1.023302,5.660940,6.684241
26799,2945.598332,1405.846022,1.025675,5.703705,6.729380
26999,2933.377687,1295.811336,1.028179,5.746637,6.774817
27199,2922.466933,1449.515080,1.036472,5.790255,6.826727
27399,2909.916565,1203.066476,1.038714,5.833800,6.872514
27599,2898.155218,1286.850750,1.041026,5.876634,6.917660
27799,2888.814017,1599.728211,1.043423,5.919433,6.962856
27999,2877.514248,1306.846405,1.045972,5.962762,7.008734
28199,2868.436355,1597.531278,1.054150,6.006623,7.060773
28399,2859.539233,1605.045027,1.056358,6.049740,7.106099
28599,2849.780992,1464.110783,1.058670,6.092687,7.151357
28799,2839.834081,1417.425787,1.061066,6.135644,7.196710
28999,2830.403823,1472.446665,1.063621,6.179104,7.242725
29199,2822.603171,1691.508673,1.072030,6.222839,7.294868
29399,2811.836168,1239.853739,1.074217,6.265637,7.339855
29599,2801.524929,1285.772744,1.076559,6.308948,7.385507
29799,2792.167685,1407.295578,1.079006,6.352493,7.431498
29999,2783.369947,1472.506997,1.081560,6.395669,7.477229
30199,2774.229173,1403.113157,1.089977,6.439155,7.529132
30399,2765.576710,1459.054797,1.092214,6.482587,7.574800
30599,2757.646691,1552.283763,1.094536,6.525533,7.620069
30799,2748.269878,1313.617553,1.096950,6.568526,7.665475
30999,2740.631067,1564.254051,1.099520,6.612237,7.711757
31199,2731.202764,1269.815862,1.107715,6.655808,7.763523
31399,2724.910101,1743.254711,1.109957,6.699758,7.809716
31599,2716.990241,1473.572183,1.112274,6.742820,7.855094
31799,2709.022148,1450.063383,1.114682,6.785776,7.900458
31999,2700.731711,1382.552326,1.117222,6.828797,7.946019
32199,2694.563140,1707.591814,1.152024,6.873042,8.025065
32399,2685.597235,1242.086463,1.154262,6.916918,8.071180
32599,2678.906060,1594.935688,1.156571,6.959594,8.116165
32799,2671.975316,1542.264130,1.158976,7.002425,8.161400
32999,2665.736153,1642.513414,1.161493,7.045190,8.206683
33199,2661.374378,1941.681445,1.169350,7.088628,8.257977
33399,2653.360677,1323.086247,1.171591,7.132208,8.303799
33599,2646.830878,1556.354566,1.173894,7.174996,8.348890
33799,2639.217806,1360.221614,1.176287,7.217706,8.393992
33999,2634.096908,1768.665275,1.178811,7.260476,8.439287
34199,2629.033347,1768.227850,1.186855,7.304210,8.491065
34399,2623.466760,1671.580507,1.189077,7.347427,8.536504
34599,2616.889822,1485.656437,1.191376,7.390116,8.581492
34799,2611.464382,1672.863198,1.193773,7.432839,8.626612
34999,2605.016527,1483.089766,1.196345,7.476563,8.672908
35199,2596.649345,1132.392464,1.204305,7.519365,8.723670
35399,2589.876576,1397.869340,1.206534,7.562973,8.769507
35599,2582.820565,1333.906622,1.208815,7.605703,8.814518
35799,2575.468350,1266.774109,1.211188,7.648426,8.859614
35999,2571.171709,1802.072906,1.213692,7.691281,8.904973
36199,2564.697612,1399.360141,1.221889,7.735173,8.957062
36399,2557.426287,1241.316499,1.224109,7.778473,9.002582
36599,2550.813192,1347.229764,1.226417,7.821331,9.047748
36799,2545.426231,1559.612429,1.228805,7.864099,9.092904
36999,2540.606309,1653.740777,1.231393,7.907945,9.139338
37199,2534.009203,1313.544561,1.239440,7.950745,9.190185
37399,2530.591006,1894.806266,1.241662,7.994246,9.235908
37599,2524.527853,1390.718207,1.243936,8.036926,9.280861
37799,2519.695409,1611.196072,1.246300,8.079638,9.325938
37999,2513.202755,1286.091162,1.248836,8.122978,9.371815
38199,2507.751336,1471.981625,1.256882,8.166189,9.423072
38399,2501.650368,1336.365444,1.259118,8.209564,9.468682
38599,2497.013987,1606.828938,1.261421,8.253763,9.515185
38799,2491.364592,1401.031412,1.263809,8.296358,9.560168
38999,2485.170337,1283.484750,1.266351,8.339436,9.605787
39199,2479.971946,1466.285802,1.274471,8.383066,9.657537
39399,2474.678714,1437.205200,1.276678,8.426075,9.702753
39599,2469.549147,1459.024484,1.278981,8.468964,9.747945
39799,2464.520659,1468.880029,1.281373,8.511716,9.793090
39999,2459.118849,1384.158533,1.283890,8.554717,9.838607
40199,2454.450009,1520.682038,1.292185,8.598454,9.890640
40399,2448.676538,1288.208929,1.294402,8.641592,9.935994
40599,2444.268306,1553.805424,1.296696,8.684298,9.980994
40799,2439.303787,1431.506509,1.299078,8.727151,10.026229
40999,2434.512855,1457.162602,1.301651,8.770925,10.072576
41199,2429.359780,1372.979383,1.309689,8.814006,10.123696
41399,2424.013340,1322.646684,1.311917,8.857632,10.169549
41599,2419.084777,1398.872279,1.314247,8.900565,10.214812
41799,2416.766914,1934.651415,1.316632,8.943409,10.260042
41999,2410.257711,1049.834360,1.319146,8.986468,10.305615
42199,2404.384517,1171.013644,1.327486,9.030058,10.357544
42399,2399.111594,1286.524862,1.329705,9.073778,10.403483
42599,2395.470723,1623.606032,1.332002,9.116678,10.448680
42799,2391.070626,1453.850107,1.334379,9.159477,10.493856
42999,2386.537759,1416.504264,1.336918,9.202629,10.539547
43199,2383.467935,1723.455645,1.345209,9.246219,10.591428
43399,2379.506747,1523.890254,1.347392,9.289044,10.636437
43599,2375.225363,1446.165020,1.349688,9.331942,10.681630
43799,2370.929370,1434.402940,1.352126,9.375567,10.727692
43999,2366.938782,1492.999942,1.354671,9.418728,10.773400
44199,2364.087634,1736.835076,1.362917,9.461935,10.824852
44399,2361.219910,1727.452920,1.365151,9.505531,10.870682
44599,2358.723432,1804.505257,1.367438,9.548394,10.915832
44799,2354.296122,1367.005903,1.369873,9.591341,10.961213
44999,2349.088687,1182.623282,1.372424,9.634648,11.007072
45199,2344.711345,1359.809500,1.380906,9.678663,11.059569
45399,2340.819873,1461.347271,1.383100,9.721791,11.104891
45599,2337.834466,1660.147033,1.385387,9.764662,11.150049
45799,2334.042566,1469.489263,1.387770,9.807487,11.195256
45999,2330.687258,1562.321872,1.390292,9.851137,11.241429
46199,2326.655459,1399.341518,1.398547,9.894261,11.292808
46399,2324.041180,1720.142852,1.400789,9.937954,11.338743
46599,2320.482002,1494.752541,1.403110,9.980960,11.384070
46799,2317.962333,1730.879679,1.405519,10.023857,11.429377
46999,2314.744382,1561.743708,1.408076,10.067146,11.475222
47199,2310.500294,1313.139664,1.416549,10.111211,11.527760
47399,2306.612325,1389.051707,1.418733,10.154199,11.572932
47599,2302.275811,1274.522010,1.421019,10.197145,11.618164
47799,2299.526215,1645.122207,1.423403,10.240174,11.663577
47999,2296.485445,1569.741517,1.425932,10.284031,11.709963
48199,2293.272068,1522.061484,1.460499,10.327869,11.788368
48399,2290.619183,1651.273962,1.462728,10.371528,11.834256
48599,2286.712550,1341.307362,1.464993,10.414129,11.879122
48799,2284.786893,1816.852124,1.467372,10.456902,11.924274
48999,2281.404048,1455.989971,1.469852,10.499662,11.969514
49199,2277.284695,1268.043336,1.477681,10.543456,12.021137
49399,2273.374699,1311.515683,1.479880,10.586897,12.066778
49599,2270.253577,1499.336236,1.482154,10.629572,12.111726
49799,2266.812804,1413.501194,1.484515,10.672324,12.156839
49999,2262.244809,1124.814068,1.487070,10.715704,12.202774
50199,2258.418662,1301.881780,1.495133,10.759660,12.254794
50399,2256.163379,1690.087515,1.497291,10.802288,12.299579
50599,2253.654005,1621.291633,1.499582,10.844906,12.344489
50799,2249.297527,1147.108616,1.501984,10.887668,12.389651
50999,2246.078324,1428.400867,1.504526,10.930706,12.435231
51199,2243.403817,1561.404459,1.512556,10.974547,12.487103
51399,2240.816121,1578.365886,1.514725,11.017286,12.532011
51599,2236.849507,1217.429676,1.517031,11.060056,12.577087
51799,2232.944625,1225.485101,1.519401,11.103014,12.622415
51999,2229.983157,1462.963033,1.521955,11.146740,12.668695
52199,2227.148226,1490.066173,1.530019,11.189859,12.719878
52399,2223.532522,1279.833749,1.532247,11.233550,12.765797
52599,2220.521687,1431.683022,1.534545,11.276265,12.810810
52799,2217.166608,1334.780735,1.536970,11.319265,12.856235
52999,2214.802649,1590.717579,1.539499,11.362384,12.901883
53199,2210.495012,1068.971058,1.547877,11.406405,12.954282
53399,2207.899951,1517.613734,1.550042,11.449616,12.999658
53599,2207.835793,2190.705606,1.552331,11.492388,13.044719
53799,2204.768414,1382.710982,1.554728,11.535248,13.089976
53999,2203.005750,1728.849047,1.557285,11.579052,13.136337
54199,2200.582864,1546.403598,1.565303,11.622069,13.187371
54399,2197.814723,1447.648588,1.567512,11.666011,13.233523
54599,2194.892808,1400.131875,1.569810,11.708943,13.278753
54799,2191.916881,1379.488892,1.572197,11.751931,13.324128
54999,2189.240081,1455.796704,1.574724,11.795026,13.369750
55199,2186.432707,1414.405045,1.583067,11.838744,13.421810
55399,2183.741378,1440.934431,1.585242,11.882328,13.467570
55599,2180.827699,1373.738534,1.587507,11.925121,13.512628
55799,2178.752223,1601.770148,1.589878,11.967956,13.557834
55999,2175.516853,1272.848437,1.592410,12.011032,13.603442
56199,2173.596878,1636.003847,1.601267,12.054811,13.656078
56399,2170.747898,1370.184563,1.603500,12.098254,13.701754
56599,2167.937260,1375.337410,1.605816,12.141311,13.747126
56799,2165.562710,1493.564991,1.608246,12.184366,13.792611
56999,2163.527926,1585.649326,1.610831,12.228062,13.838892
57199,2161.610266,1615.077166,1.619011,12.270923,13.889934
57399,2159.291474,1496.117009,1.621222,12.314724,13.935946
57599,2156.288060,1294.308341,1.623497,12.357572,13.981068
57799,2153.259353,1280.991505,1.625864,12.400408,14.026272
57999,2151.666772,1691.411088,1.628329,12.443350,14.071679
58199,2149.163907,1423.332994,1.636763,12.487297,14.124060
58399,2146.541580,1383.444421,1.638956,12.530695,14.169651
58599,2143.416731,1230.960806,1.641248,12.573750,14.214998
58799,2141.322051,1527.580627,1.643624,12.616643,14.260267
58999,2139.435531,1584.798891,1.646164,12.660606,14.306770
59199,2137.727876,1633.969482,1.654362,12.703946,14.358308
59399,2135.233546,1396.911879,1.656600,12.747889,14.404488
