# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
31799,0.109195,0.085163,14.707532,0.796584,15.504116
31999,0.109197,0.109441,14.824078,0.801816,15.625894
32199,0.109244,0.116819,14.943976,0.807045,15.751021
32399,0.109159,0.095494,15.097810,0.812320,15.910130
32599,0.109046,0.090708,15.200792,0.817502,16.018293
32799,0.109066,0.112401,15.302913,0.822697,16.125610
32999,0.109120,0.117867,15.407335,0.827899,16.235234
33199,0.109254,0.131323,15.522348,0.833105,16.355453
33399,0.109246,0.108005,15.654036,0.838332,16.492368
33599,0.109311,0.120224,15.766879,0.843585,16.610463
33799,0.109197,0.089912,15.872489,0.848806,16.721295
33999,0.109162,0.103292,16.015097,0.854080,16.869178
34199,0.109109,0.100074,16.137745,0.859335,16.997080
34399,0.108989,0.088542,16.239493,0.864585,17.104078
34599,0.108916,0.096253,16.345234,0.869794,17.215027
34799,0.108801,0.088950,16.449859,0.874994,17.324853
34999,0.108793,0.107365,16.559727,0.880219,17.439946
35199,0.108712,0.094553,16.671670,0.885445,17.557115
35399,0.108855,0.134021,16.786481,0.890665,17.677146
35599,0.108756,0.091295,16.908019,0.895928,17.803947
35799,0.108727,0.103560,17.023307,0.901160,17.924467
35999,0.108756,0.113909,17.144583,0.906378,18.050961
36199,0.108708,0.100049,17.255488,0.911627,18.167114
36399,0.108770,0.119975,17.363110,0.916846,18.279956
36599,0.108729,0.101270,17.481349,0.922101,18.403449
36799,0.108698,0.103032,17.589194,0.927354,18.516547
36999,0.108696,0.108469,17.724313,0.932667,18.656980
37199,0.108671,0.103900,17.832675,0.937898,18.770574
37399,0.108634,0.101815,17.945221,0.943181,18.888403
37599,0.108514,0.086163,18.052548,0.948427,19.000974
37799,0.108504,0.106461,18.176993,0.953676,19.130668
37999,0.108331,0.075650,18.288588,0.958932,19.247520
38199,0.108261,0.094996,18.394863,0.964154,19.359017
38399,0.108211,0.098669,18.521202,0.969432,19.490634
38599,0.108317,0.128703,18.640369,0.974718,19.615087
38799,0.108177,0.081210,18.775649,0.979996,19.755645
38999,0.108137,0.100316,18.919767,0.985285,19.905052
39199,0.108082,0.097438,19.105275,0.990615,20.095890
39399,0.107936,0.079152,19.216951,0.995881,20.212832
39599,0.107992,0.119054,19.345823,1.001139,20.346962
39799,0.107881,0.086045,19.466072,1.006427,20.472499
39999,0.107864,0.104318,19.587389,1.011699,20.599087
40199,0.107720,0.079031,19.704713,1.016952,20.721665
40399,0.107681,0.099815,19.825434,1.022244,20.847678
40599,0.107566,0.084316,19.946032,1.027549,20.973580
40799,0.107376,0.068891,20.056040,1.032784,21.088824
40999,0.107244,0.080329,20.167082,1.038053,21.205135
41199,0.107250,0.108406,20.277099,1.043314,21.320412
41399,0.107265,0.110391,20.412591,1.048621,21.461212
41599,0.107286,0.111597,20.531731,1.053904,21.585635
41799,0.107314,0.113079,20.673547,1.059188,21.732735
41999,0.107315,0.107599,20.794445,1.064489,21.858934
42199,0.107249,0.093433,20.908097,1.069787,21.977884
42399,0.107251,0.107610,21.041683,1.075139,22.116822
42599,0.107209,0.098300,21.156409,1.080412,22.236822
42799,0.107329,0.132827,21.270499,1.085709,22.356208
42999,0.107273,0.095286,21.393388,1.091007,22.484396
43199,0.107326,0.118698,21.518165,1.096302,22.614467
43399,0.107348,0.112203,21.628979,1.101575,22.730554
43599,0.107300,0.096835,21.743395,1.106882,22.850278
43799,0.107343,0.116731,21.860378,1.112191,22.972569
43999,0.107243,0.085427,22.070503,1.117545,23.188048
44199,0.107102,0.076024,22.184415,1.122841,23.307256
44399,0.107081,0.102410,22.312559,1.128154,23.440713
44599,0.106993,0.087589,22.428545,1.133430,23.561975
44799,0.106994,0.107027,22.560763,1.138769,23.699532
44999,0.106946,0.096197,22.680982,1.144048,23.825030
45199,0.106825,0.079653,22.793800,1.149331,23.943131
45399,0.106832,0.108456,22.919016,1.154675,24.073691
45599,0.106817,0.103464,23.033728,1.159992,24.193720
45799,0.106739,0.088889,23.151497,1.165332,24.316828
45999,0.106706,0.099243,23.275998,1.170660,24.446658
46199,0.106701,0.105457,23.391646,1.175975,24.567621
46399,0.106645,0.093729,23.537536,1.181294,24.718830
46599,0.106658,0.109560,23.668964,1.186625,24.855589
46799,0.106477,0.064317,23.801402,1.191927,24.993329
46999,0.106421,0.093348,23.925878,1.197241,25.123120
47199,0.106349,0.089560,24.036461,1.202534,25.238995
47399,0.106389,0.115724,24.164246,1.207871,25.372117
47599,0.106419,0.113603,24.294243,1.213166,25.507408
47799,0.106341,0.087803,24.424209,1.218504,25.642714
47999,0.106329,0.103481,24.542739,1.223869,25.766608
48199,0.106392,0.121474,24.670178,1.229188,25.899366
48399,0.106376,0.102395,24.797919,1.234557,26.032475
48599,0.106320,0.092928,24.913178,1.239875,26.153053
48799,0.106252,0.089546,25.114373,1.245274,26.359647
48999,0.106188,0.090597,25.241385,1.250620,26.492005
49199,0.106180,0.104275,25.358518,1.255936,26.614454
49399,0.106151,0.099042,25.473174,1.261271,26.734445
49599,0.106112,0.096517,25.624537,1.266633,26.891169
49799,0.106011,0.081016,25.740014,1.271932,27.011946
49999,0.105931,0.085807,25.858458,1.277318,27.135776
50199,0.105956,0.112237,25.992973,1.282663,27.275636
50399,0.106077,0.136570,26.111432,1.287986,27.399418
50599,0.106102,0.112326,26.244966,1.293345,27.538311
50799,0.106013,0.083444,26.376403,1.298718,27.675121
50999,0.106061,0.118226,26.496162,1.304070,27.800232
51199,0.105942,0.075640,26.639437,1.309439,27.948876
51399,0.105942,0.106022,26.757483,1.314780,28.072264
51599,0.105886,0.091344,26.894232,1.320150,28.214382
51799,0.105854,0.097692,27.013522,1.325483,28.339005
51999,0.105824,0.097953,27.128307,1.330804,28.459111
52199,0.105703,0.074378,27.243618,1.336119,28.579737
52399,0.105625,0.085215,27.373301,1.341461,28.714762
52599,0.105566,0.090122,27.509468,1.346833,28.856301
52799,0.105488,0.085044,27.631446,1.352215,28.983661
52999,0.105472,0.101174,27.745990,1.357545,29.103535
53199,0.105435,0.095736,27.879297,1.362907,29.242204
53399,0.105424,0.102382,27.997744,1.368272,29.366016
53599,0.105409,0.101362,28.212534,1.373691,29.586225
53799,0.105373,0.095940,28.347232,1.379042,29.726274
53999,0.105316,0.089726,28.472483,1.384414,29.856897
54199,0.105290,0.098510,28.594408,1.389780,29.984189
54399,0.105200,0.080781,28.727264,1.395156,30.122421
54599,0.105174,0.097976,28.881680,1.400546,30.282226
54799,0.105136,0.094795,29.022496,1.405936,30.428432
54999,0.105128,0.102825,29.150260,1.411301,30.561560
55199,0.105105,0.099029,29.277376,1.416644,30.694020
55399,0.105186,0.127359,29.397275,1.421987,30.819263
55599,0.105226,0.116283,29.517244,1.427341,30.944585
55799,0.105240,0.109225,29.639396,1.432714,31.072110
55999,0.105181,0.088701,29.759529,1.438069,31.197598
56199,0.105244,0.122783,29.880852,1.443424,31.324277
56399,0.105274,0.113710,30.015844,1.448795,31.464639
56599,0.105294,0.110970,30.145831,1.454183,31.600014
56799,0.105205,0.080192,30.267632,1.459566,31.727198
56999,0.105188,0.100217,30.386491,1.464918,31.851409
57199,0.105219,0.114227,30.529358,1.470305,31.999663
57399,0.105130,0.079647,30.696787,1.475720,32.172506
57599,0.105079,0.090268,30.816159,1.481095,32.297254
57799,0.105034,0.092225,30.942518,1.486484,32.429003
57999,0.105035,0.105280,31.086819,1.491870,32.578689
58199,0.105019,0.100411,31.223463,1.497246,32.720709
58399,0.104959,0.087518,31.357725,1.502601,32.860325
58599,0.104806,0.060142,31.494607,1.508001,33.002608
58799,0.104771,0.094304,31.707212,1.513438,33.220649
58999,0.104710,0.086792,31.829780,1.518817,33.348596
59199,0.104670,0.092827,31.974694,1.524203,33.498897
59399,0.104652,0.099417,32.116313,1.529623,33.645935
59599,0.104656,0.105802,32.256173,1.535021,33.791194
