# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
33599,2613.259669,1616.260502,14.865588,7.569224,22.434811
33799,2606.774571,1517.278180,14.946852,7.614329,22.561181
33999,2601.238251,1665.600188,15.028869,7.659633,22.688502
34199,2594.529875,1454.105816,15.110702,7.704560,22.815263
34399,2587.356875,1360.773874,15.199399,7.749672,22.949071
34599,2580.804299,1453.761357,15.322950,7.794803,23.117752
34799,2575.738518,1699.358338,15.403884,7.839860,23.243744
34999,2569.779896,1532.979738,15.490377,7.884835,23.375212
35199,2565.332161,1786.978432,15.572304,7.929948,23.502252
35399,2559.883192,1600.864709,15.681366,7.974974,23.656340
35599,2554.759491,1647.864387,15.762260,8.019871,23.782131
35799,2550.751005,1837.240571,15.843162,8.064497,23.907659
35999,2549.468367,2319.876195,15.928656,8.109590,24.038246
36199,2545.404741,1813.952026,16.009505,8.154424,24.163928
36399,2541.247847,1788.849963,16.090245,8.199009,24.289254
36599,2536.005945,1581.979799,16.171656,8.243818,24.415474
36799,2532.942904,1972.406391,16.253576,8.288473,24.542049
36999,2528.850947,1775.930801,16.340560,8.333482,24.674042
37199,2524.483864,1716.573617,16.421608,8.378403,24.800012
37399,2519.949846,1676.622429,16.502619,8.423079,24.925698
37599,2515.481480,1679.896995,16.584545,8.467786,25.052332
37799,2511.002764,1669.004302,16.666684,8.512962,25.179646
37999,2506.734542,1700.040541,16.754007,8.557762,25.311769
38199,2502.327272,1664.945942,16.835564,8.602680,25.438245
38399,2497.894231,1651.183482,16.917680,8.647323,25.565003
38599,2494.155232,1776.267306,16.999590,8.692493,25.692083
38799,2488.448933,1387.133212,17.080916,8.737282,25.818198
38999,2485.497783,1912.974719,17.168890,8.782393,25.951283
39199,2482.170687,1833.386942,17.250319,8.827015,26.077334
39399,2479.274055,1911.534251,17.331331,8.871706,26.203038
39599,2475.808173,1793.029478,17.413196,8.916944,26.330140
39799,2472.401575,1797.895096,17.494583,8.961718,26.456301
39999,2469.038808,1799.848160,17.583827,9.006949,26.590776
40199,2464.802769,1617.594939,17.664671,9.051622,26.716293
40399,2461.481794,1793.965839,17.746371,9.096720,26.843091
40599,2457.869304,1728.146301,17.827549,9.141515,26.969064
40799,2455.363434,1946.671861,17.909985,9.186392,27.096377
40999,2451.714072,1707.244189,17.998108,9.231592,27.229700
41199,2447.730808,1631.161629,18.079027,9.276342,27.355369
41399,2444.212468,1719.434429,18.160291,9.321314,27.481605
41599,2441.067469,1790.052696,18.243077,9.366406,27.609484
41799,2437.608543,1718.151923,18.324871,9.411463,27.736335
41999,2433.453049,1564.954935,18.412660,9.456424,27.869084
42199,2430.071891,1720.028598,18.494034,9.501452,27.995486
42399,2428.261526,2046.274543,18.576174,9.546218,28.122392
42599,2423.314048,1374.448756,18.657337,9.590968,28.248306
42799,2419.377721,1580.940096,18.739230,9.636143,28.375373
42999,2415.760551,1641.686197,18.827854,9.681655,28.509509
43199,2412.628475,1739.232072,18.909632,9.726414,28.636046
43399,2408.155991,1442.099383,18.990878,9.771327,28.762206
43599,2404.907391,1699.961158,19.072870,9.816549,28.889420
43799,2401.021653,1553.930892,19.154313,9.861336,29.015649
43999,2397.681590,1666.207722,19.243089,9.906101,29.149190
44199,2393.107864,1386.888106,19.324827,9.951329,29.276156
44399,2387.750159,1203.697413,19.406280,9.996278,29.402558
44599,2384.206491,1597.512200,19.487944,10.041106,29.529050
44799,2381.124113,1693.753878,19.570124,10.085739,29.655863
44999,2376.821964,1413.140590,19.658946,10.130938,29.789884
45199,2373.810535,1696.238923,19.740198,10.175767,29.915966
45399,2370.181565,1550.034444,19.821731,10.220833,30.042564
45599,2367.569761,1774.690166,19.904326,10.265708,30.170034
45799,2363.760162,1495.171640,19.986780,10.311020,30.297800
45999,2361.431890,1828.257616,20.074907,10.355859,30.430766
46199,2357.454638,1442.686688,20.156708,10.401056,30.557765
46399,2353.385158,1413.335194,20.239272,10.445978,30.685250
46599,2349.987408,1561.709430,20.321158,10.490905,30.812063
46799,2346.414987,1514.040885,20.403237,10.536051,30.939289
46999,2342.703258,1474.158696,20.491739,10.581178,31.072916
47199,2340.620593,1851.194315,20.574730,10.626596,31.201326
47399,2337.348722,1565.187253,20.656092,10.671504,31.327597
47599,2334.059461,1554.504521,20.738434,10.716822,31.455256
47799,2331.346228,1685.596834,20.820053,10.761605,31.581659
47999,2327.741108,1466.117262,20.910282,10.806940,31.717222
48199,2323.711453,1356.594389,20.991580,10.851928,31.843508
48399,2319.757434,1366.838791,21.073391,10.897149,31.970541
48599,2316.827070,1607.678993,21.155592,10.942420,32.098012
48799,2315.012394,1874.046191,21.238633,10.987589,32.226222
48999,2312.121491,1606.741092,21.326951,11.032738,32.359689
49199,2310.122491,1820.367469,21.408678,11.077891,32.486569
49399,2306.339426,1375.705604,21.490197,11.122877,32.613074
49599,2303.633311,1635.222809,21.572800,11.167695,32.740495
49799,2301.498367,1772.032339,21.654937,11.212837,32.867774
49999,2297.602893,1327.629739,21.743924,11.258025,33.001949
50199,2295.154529,1683.063534,21.825455,11.303064,33.128518
50399,2291.798178,1449.354179,21.908467,11.348178,33.256645
50599,2289.610170,1738.232113,21.991243,11.393886,33.385130
50799,2285.809376,1324.208571,22.074025,11.439490,33.513516
50999,2283.272864,1638.998674,22.163373,11.484968,33.648340
51199,2281.016167,1705.558381,22.245872,11.530032,33.775904
51399,2278.331601,1591.082715,22.327440,11.575088,33.902528
51599,2274.292294,1236.190553,22.409946,11.620493,34.030439
51799,2271.225119,1479.894004,22.491928,11.665541,34.157469
51999,2267.438287,1286.648628,22.611826,11.710845,34.322671
52199,2264.339084,1458.546470,22.692872,11.755530,34.448402
52399,2260.438060,1242.270753,22.774706,11.800595,34.575301
52599,2257.027330,1363.416105,22.857176,11.845855,34.703031
52799,2253.315228,1277.032341,22.940073,11.890717,34.830790
52999,2249.368627,1207.465863,23.027514,11.935640,34.963154
53199,2246.449465,1472.871568,23.109482,11.980940,35.090422
53399,2242.854226,1286.520658,23.190826,12.025786,35.216612
53599,2240.108224,1506.925564,23.273614,12.070590,35.344204
53799,2236.714259,1327.131705,23.355848,12.115586,35.471433
53999,2232.960867,1223.298594,23.503138,12.161269,35.664407
54199,2229.302926,1241.658865,23.584663,12.206370,35.791034
54399,2226.284199,1408.209085,23.667263,12.251403,35.918666
54599,2223.246792,1397.072103,23.749460,12.296569,36.046029
54799,2220.130273,1369.320519,23.832227,12.341965,36.174192
54999,2215.884480,1052.537321,23.921577,12.387393,36.308970
55199,2213.346415,1515.378380,24.003633,12.432206,36.435839
55399,2210.190761,1339.230231,24.085184,12.477211,36.562395
55599,2208.378006,1706.245089,24.167313,12.522315,36.689628
55799,2205.028053,1273.740953,24.249561,12.567463,36.817024
55999,2202.377996,1463.012192,24.339189,12.612495,36.951684
56199,2199.879272,1500.236474,24.421093,12.657807,37.078901
56399,2197.007043,1389.910825,24.502965,12.703029,37.205994
56599,2195.081372,1652.042132,24.585509,12.748466,37.333975
56799,2191.938388,1302.473948,24.669041,12.795899,37.464940
56999,2189.158341,1399.624733,24.758735,12.841531,37.600267
57199,2186.083551,1309.768559,24.840285,12.886625,37.726911
57399,2182.619207,1191.816699,24.922498,12.931816,37.854314
57599,2179.532689,1293.702182,25.006500,12.977341,37.983841
57799,2176.022572,1165.108942,25.089063,13.022590,38.111653
57999,2173.511546,1447.824791,25.178910,13.068091,38.247001
58199,2170.402769,1268.857589,25.260787,13.113299,38.374086
58399,2167.344777,1277.468939,25.343874,13.158370,38.502244
58599,2164.191876,1243.544952,25.426050,13.203400,38.629450
58799,2162.536990,1677.655461,25.508965,13.248797,38.757762
58999,2160.787869,1646.546276,25.628207,13.294255,38.922463
59199,2158.928854,1610.519247,25.710789,13.339322,39.050111
59399,2156.243148,1361.274170,25.792888,13.384555,39.177443
59599,2154.293519,1575.253742,25.874714,13.429535,39.304248
59799,2151.870690,1429.867784,25.956961,13.474442,39.431403
59999,2149.991731,1588.183042,26.046920,13.520048,39.566969
60199,2147.772171,1481.903959,26.128442,13.564895,39.693337
60399,2145.531889,1471.206976,26.209998,13.609705,39.819703
60599,2143.617560,1565.490188,26.291929,13.654610,39.946539
60799,2141.659228,1548.284640,26.375133,13.699440,40.074573
60999,2139.769022,1565.146661,26.463693,13.744589,40.208281
61199,2138.119359,1634.972025,26.544761,13.789173,40.333934
61399,2136.087524,1514.346007,26.626395,13.833952,40.460347
61599,2134.119377,1529.898250,26.709587,13.879057,40.588644
61799,2131.376011,1286.419254,26.791446,13.923784,40.715230
61999,2128.932969,1374.033048,26.879472,13.968621,40.848093
62199,2127.083280,1553.679761,26.961318,14.013558,40.974876
62399,2124.620620,1358.733228,27.044019,14.058470,41.102488
62599,2122.269820,1388.820224,27.126485,14.103656,41.230141
62799,2120.046327,1424.093076,27.208672,14.148584,41.357256
62999,2116.927887,1137.737622,27.297098,14.193320,41.490418
63199,2114.777933,1437.542597,27.379001,14.238052,41.617054
63399,2111.776511,1163.327103,27.460190,14.282822,41.743012
63599,2109.684967,1446.665513,27.542274,14.327846,41.870120
63799,2106.571004,1116.330612,27.623984,14.372680,41.996663
63999,2104.607219,1478.159797,27.713441,14.417693,42.131133
64199,2102.549333,1444.025926,27.794641,14.462612,42.257253
64399,2100.468417,1432.494491,27.876292,14.507654,42.383947
64599,2098.044302,1317.479186,27.957823,14.552567,42.510390
64799,2096.548138,1613.287280,28.041185,14.597619,42.638804
64999,2094.069576,1291.015379,28.130203,14.642881,42.773084
65199,2091.937286,1398.943080,28.211234,14.687732,42.898966
65399,2089.306295,1231.603110,28.292520,14.732530,43.025050
65599,2085.821132,946.172955,28.375465,14.777623,43.153088
65799,2084.384255,1613.088573,28.457646,14.822611,43.280257
65999,2081.987701,1293.521273,28.546156,14.867628,43.413784
66199,2079.876148,1383.063750,28.628317,14.912909,43.541226
66399,2078.026573,1465.817115,28.711522,14.958178,43.669700
66599,2076.990422,1732.988318,28.793965,15.003408,43.797373
66799,2074.126417,1120.412750,28.876665,15.048635,43.925300
66999,2071.561592,1214.910261,28.966330,15.094170,44.060500
67199,2069.199619,1277.938614,29.049239,15.139319,44.188558
67399,2066.871366,1284.578325,29.131538,15.184618,44.316156
67599,2064.951668,1418.013443,29.213714,15.229785,44.443499
67799,2062.708344,1304.464828,29.295919,15.274808,44.570727
67999,2060.842743,1428.403940,29.386010,15.320051,44.706061
68199,2058.452730,1245.848226,29.467643,15.365087,44.832730
68399,2056.449948,1373.501422,29.550049,15.410429,44.960478
68599,2054.405195,1355.099513,29.632192,15.455357,45.087550
68799,2052.488441,1395.041928,29.715514,15.500399,45.215912
68999,2050.911263,1508.362235,29.804606,15.545547,45.350153
69199,2048.210539,1116.460617,29.886277,15.590573,45.476850
69399,2046.091534,1312.915793,29.968944,15.636211,45.605155
69599,2043.542393,1158.990574,30.052013,15.681241,45.733254
69799,2041.623684,1373.912751,30.134005,15.726275,45.860280
69999,2039.316523,1234.117392,30.222823,15.771235,45.994058
70199,2037.091493,1258.331094,30.304913,15.816407,46.121320
70399,2034.687603,1190.922222,30.387783,15.861500,46.249283
70599,2033.045785,1455.125932,30.469798,15.906638,46.376437
70799,2031.131676,1355.451077,30.552152,15.951547,46.503699
70999,2028.458835,1082.273064,30.641956,15.996917,46.638873
71199,2026.556841,1351.348894,30.763309,16.041958,46.805267
71399,2025.552203,1667.901191,30.844434,16.086891,46.931325
71599,2024.612644,1689.189914,30.929085,16.132022,47.061107
71799,2023.818360,1739.464919,31.010249,16.176842,47.187091
71999,2023.469817,1898.342917,31.096276,16.221843,47.318119
72199,2022.419028,1644.134815,31.177610,16.266612,47.444223
72399,2021.120601,1552.388484,31.258931,16.311485,47.570416
72599,2020.262164,1709.508135,31.340423,16.356266,47.696689
72799,2019.267951,1658.368455,31.423182,16.401001,47.824183
72999,2018.949485,1903.028062,31.511500,16.446085,47.957585
73199,2017.862564,1621.136273,31.592917,16.490995,48.083912
73399,2016.477059,1509.382138,31.674170,16.535654,48.209823
73599,2015.133989,1522.227187,31.756669,16.580405,48.337074
73799,2013.834853,1535.752918,31.838163,16.625100,48.463263
73999,2012.669721,1582.736244,31.926438,16.669877,48.596314
74199,2011.280234,1497.169715,32.007874,16.714700,48.722574
74399,2009.647176,1403.782757,32.091263,16.760119,48.851382
74599,2008.651310,1638.189184,32.173091,16.805100,48.978191
74799,2007.309878,1506.955900,32.255214,16.850089,49.105304
74999,2007.344834,2020.418153,32.343946,16.895144,49.239090
75199,2005.585377,1345.789151,32.426178,16.939804,49.365981
75399,2003.841346,1348.085556,32.508428,16.985236,49.493664
75599,2002.710292,1576.302953,32.590180,17.030215,49.620395
75799,2001.326011,1478.067689,32.671966,17.074962,49.746928
75999,2000.141008,1551.025006,32.761840,17.120141,49.881981
76199,1998.968856,1553.551254,32.843077,17.164940,50.008017
76399,1997.528353,1448.696740,32.924464,17.209763,50.134227
76599,1997.253694,1892.333615,33.006632,17.255142,50.261775
76799,1995.528444,1334.757683,33.089835,17.300133,50.389968
76999,1994.435922,1574.907640,33.178510,17.345285,50.523795
77199,1993.237609,1531.886975,33.260316,17.390448,50.650763
77399,1991.789390,1432.777198,33.341913,17.435409,50.777322
77599,1990.570098,1518.703727,33.424787,17.480488,50.905275
77799,1989.344433,1513.786474,33.506736,17.525368,51.032103
77999,1987.780755,1379.510264,33.595761,17.570650,51.166411
78199,1986.414454,1453.556871,33.677547,17.615961,51.293508
78399,1984.342315,1174.136159,33.760470,17.661077,51.421546
78599,1983.107709,1499.141985,33.842438,17.706184,51.548622
78799,1982.447818,1723.110812,33.924671,17.751185,51.675856
78999,1981.186342,1484.164666,34.014042,17.796654,51.810696
79199,1980.150210,1570.878122,34.096814,17.841906,51.938720
79399,1978.396319,1283.855448,34.178749,17.886927,52.065676
79599,1977.443357,1599.117445,34.261182,17.932231,52.193412
79799,1976.819135,1728.378581,34.343241,17.977186,52.320427
79999,1976.126415,1699.731150,34.433611,18.022823,52.456435
80199,1974.902007,1485.139072,34.514893,18.067715,52.582608
