# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_gradual3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
42799,2377.302580,1690.977390,1.265081,9.097018,10.362099
42999,2374.284786,1728.476703,1.267573,9.139900,10.407473
43199,2370.208866,1493.886029,1.273075,9.182576,10.455650
43399,2367.237752,1725.477319,1.275261,9.225278,10.500538
43599,2363.307620,1510.468998,1.277538,9.267989,10.545527
43799,2358.782698,1372.349623,1.279941,9.310931,10.590872
43999,2353.743553,1250.170761,1.282451,9.353706,10.636157
44199,2351.110780,1771.900765,1.287885,9.396439,10.684324
44399,2346.895193,1415.250434,1.290052,9.439142,10.729194
44599,2344.478434,1807.957886,1.292320,9.481713,10.774033
44799,2341.662989,1713.818699,1.294711,9.524337,10.819048
44999,2337.435691,1390.521000,1.297224,9.567060,10.864284
45199,2334.346518,1639.282528,1.302709,9.609825,10.912534
45399,2330.766596,1521.704435,1.304887,9.652607,10.957494
45599,2328.465191,1806.046049,1.307171,9.695131,11.002302
45799,2325.154604,1570.340886,1.309596,9.737975,11.047572
45999,2321.449735,1473.034619,1.312121,9.780832,11.092953
46199,2318.004136,1525.516547,1.317565,9.823716,11.141281
46399,2314.104625,1413.317430,1.319754,9.866682,11.186436
46599,2309.846781,1322.027069,1.322049,9.909753,11.231802
46799,2306.074212,1427.065554,1.324445,9.952337,11.276782
46999,2302.233868,1403.593540,1.326973,9.995278,11.322251
47199,2297.462347,1176.154841,1.332460,10.038064,11.370524
47399,2293.686234,1402.523530,1.334638,10.080917,11.415556
47599,2288.986462,1175.140589,1.336917,10.123749,11.460666
47799,2286.022564,1580.614821,1.339356,10.166832,11.506188
47999,2281.892382,1294.778858,1.341884,10.209794,11.551678
48199,2278.428888,1447.190224,1.347470,10.252616,11.600087
48399,2274.569304,1344.409601,1.349648,10.295473,11.645121
48599,2271.634541,1561.421817,1.351937,10.338336,11.690273
48799,2267.713241,1314.837403,1.354333,10.381134,11.735467
48999,2263.673695,1278.024423,1.356839,10.423827,11.780666
49199,2261.233468,1663.378024,1.362280,10.466586,11.828866
49399,2257.920560,1442.945046,1.364459,10.509458,11.873916
49599,2255.502434,1658.225453,1.366733,10.552343,11.919076
49799,2252.482912,1503.641256,1.369127,10.595235,11.964362
49999,2249.061501,1397.130397,1.371633,10.638312,12.009945
50199,2245.996033,1479.629026,1.377108,10.681147,12.058255
50399,2242.992584,1489.126795,1.379283,10.724028,12.103310
50599,2239.914208,1464.163339,1.381559,10.767039,12.148597
50799,2236.231030,1304.386968,1.383963,10.809945,12.193907
50999,2234.292001,1741.778875,1.386486,10.852904,12.239390
51199,2230.814158,1343.964053,1.394125,10.895878,12.290003
51399,2226.859835,1214.553047,1.396307,10.938887,12.335194
51599,2223.624853,1392.234556,1.398606,10.981804,12.380410
51799,2219.866959,1250.330273,1.401017,11.025026,12.426043
51999,2216.121452,1246.035258,1.403539,11.067680,12.471219
52199,2212.216465,1196.919925,1.411388,11.110426,12.521813
52399,2208.542549,1249.650466,1.413566,11.153324,12.566890
52599,2205.338918,1365.987599,1.415834,11.196273,12.612107
52799,2201.504005,1192.921886,1.418236,11.239199,12.657435
52999,2197.598977,1166.671423,1.420733,11.282070,12.702803
53199,2194.151382,1280.538696,1.428699,11.324875,12.753575
53399,2190.930594,1334.201165,1.430862,11.367757,12.798619
53599,2187.985870,1401.744325,1.433130,11.410677,12.843807
53799,2185.073506,1404.560031,1.435525,11.453663,12.889187
53999,2182.457657,1478.794435,1.438031,11.496323,12.934354
54199,2178.944323,1230.343962,1.446036,11.539235,12.985270
54399,2176.146848,1418.031050,1.448203,11.581862,13.030065
54599,2172.070033,1063.176396,1.450485,11.624656,13.075141
54799,2169.058728,1346.972560,1.452879,11.667428,13.120307
54999,2166.285548,1406.434219,1.455393,11.710230,13.165623
55199,2163.124356,1293.796504,1.463174,11.753136,13.216311
55399,2160.234511,1362.637321,1.465346,11.795919,13.261264
55599,2158.033930,1548.473011,1.467635,11.838764,13.306399
55799,2155.194832,1365.925661,1.470046,11.881508,13.351554
55999,2152.050908,1274.896138,1.472573,11.924337,13.396910
56199,2149.647958,1476.821893,1.480519,11.967317,13.447836
56399,2146.910540,1377.695968,1.482695,12.010175,13.492870
56599,2144.170727,1371.543642,1.484992,12.053162,13.538154
56799,2140.922302,1221.617884,1.487409,12.096070,13.583479
56999,2138.224989,1372.188094,1.489938,12.138740,13.628678
57199,2136.166286,1549.435839,1.497782,12.181532,13.679314
57399,2133.526909,1378.665314,1.499955,12.224305,13.724260
57599,2131.819082,1641.672610,1.502241,12.267054,13.769295
57799,2129.124488,1353.081516,1.504609,12.309753,13.814362
57999,2126.037263,1233.829073,1.507138,12.352690,13.859828
58199,2123.064285,1260.900663,1.515189,12.395565,13.910754
58399,2120.137226,1268.363075,1.517356,12.438409,13.955764
58599,2117.849124,1449.723357,1.519637,12.481343,14.000980
58799,2115.404000,1398.982725,1.522020,12.524361,14.046380
58999,2112.397182,1228.392608,1.524511,12.567104,14.091615
59199,2110.002868,1403.680218,1.532536,12.610213,14.142749
59399,2107.355385,1323.700505,1.534707,12.653265,14.187972
59599,2104.164456,1156.458521,1.536977,12.696146,14.233123
59799,2102.682005,1660.911712,1.539343,12.739259,14.278602
59999,2100.290600,1385.260591,1.541849,12.782332,14.324180
60199,2098.026553,1418.812175,1.549948,12.825165,14.375112
60399,2094.815295,1128.226673,1.552125,12.868094,14.420219
60599,2092.600859,1423.841194,1.554437,12.910961,14.465398
60799,2090.198039,1362.143641,1.556825,12.953508,14.510334
60999,2088.416015,1546.680664,1.559354,12.996411,14.555765
61199,2087.108836,1688.419431,1.567500,13.039420,14.606920
61399,2085.615869,1628.767745,1.569688,13.082488,14.652175
61599,2082.868625,1239.464882,1.571996,13.125525,14.697520
61799,2081.079054,1529.891279,1.574401,13.168598,14.742999
61999,2078.472056,1272.909670,1.576904,13.211705,14.788610
62199,2076.018129,1315.300689,1.584970,13.254598,14.839568
62399,2073.843644,1397.578661,1.587174,13.297583,14.884757
62599,2071.469513,1330.740847,1.589471,13.340592,14.930063
