# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_incremental2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
28799,0.151107,0.167793,1.042697,6.065088,7.107785
28999,0.151202,0.165001,1.045208,6.107655,7.152863
29199,0.151191,0.149465,1.053416,6.150169,7.203585
29399,0.151140,0.143788,1.055607,6.192645,7.248253
29599,0.151168,0.155287,1.057919,6.235221,7.293140
29799,0.151322,0.174056,1.060339,6.277800,7.338140
29999,0.151316,0.150462,1.062859,6.320299,7.383158
30199,0.151283,0.146255,1.071120,6.362904,7.434024
30399,0.151409,0.170459,1.073302,6.405516,7.478819
30599,0.151495,0.164646,1.075593,6.448340,7.523934
30799,0.151385,0.134450,1.078020,6.490987,7.569007
30999,0.151539,0.175322,1.080486,6.533740,7.614226
31199,0.151362,0.123961,1.088819,6.576362,7.665181
31399,0.151151,0.118147,1.091010,6.618836,7.709846
31599,0.151370,0.185829,1.093316,6.661364,7.754680
31799,0.151676,0.200064,1.095730,6.703895,7.799624
31999,0.151641,0.145952,1.098247,6.746398,7.844644
32199,0.151477,0.125241,1.132281,6.788895,7.921175
32399,0.151439,0.145383,1.134461,6.831178,7.965639
32599,0.151527,0.165834,1.136745,6.873484,8.010229
32799,0.151486,0.144813,1.139141,6.915925,8.055066
32999,0.151441,0.143973,1.141648,6.958317,8.099965
33199,0.151429,0.149516,1.149398,7.000633,8.150031
33399,0.151548,0.171192,1.151565,7.042861,8.194426
33599,0.151534,0.149303,1.153846,7.085069,8.238915
33799,0.151569,0.157433,1.156232,7.127381,8.283612
33999,0.151501,0.140060,1.158729,7.169667,8.328396
34199,0.151617,0.171218,1.166555,7.211901,8.378455
34399,0.151667,0.160180,1.168720,7.254091,8.422811
34599,0.151611,0.142142,1.170992,7.296292,8.467284
34799,0.151570,0.144320,1.173354,7.338625,8.511979
34999,0.151440,0.128840,1.175820,7.381053,8.556873
35199,0.151398,0.144089,1.183796,7.423449,8.607245
35399,0.151468,0.163836,1.185989,7.465731,8.651719
35599,0.151419,0.142670,1.188284,7.508087,8.696372
35799,0.151355,0.140089,1.190676,7.550395,8.741071
35999,0.151378,0.155347,1.193159,7.592789,8.785948
36199,0.151341,0.144701,1.201216,7.636735,8.837951
36399,0.151401,0.162244,1.203389,7.678906,8.882295
36599,0.151340,0.140354,1.205674,7.721231,8.926905
36799,0.151321,0.147750,1.208066,7.763492,8.971558
36999,0.151182,0.125589,1.210559,7.805854,9.016413
37199,0.151153,0.145820,1.218519,7.848006,9.066525
37399,0.151220,0.163712,1.220695,7.890102,9.110798
37599,0.151321,0.170226,1.222968,7.932236,9.155204
37799,0.151253,0.138528,1.225321,7.974343,9.199664
37999,0.151226,0.146021,1.227798,8.016447,9.244245
38199,0.151172,0.140878,1.235802,8.058643,9.294445
38399,0.151023,0.122545,1.237964,8.100906,9.338870
38599,0.150818,0.111514,1.240246,8.143127,9.383372
38799,0.150730,0.133826,1.242620,8.185398,9.428018
38999,0.150975,0.198395,1.245091,8.227666,9.472757
39199,0.151061,0.167876,1.253191,8.269966,9.523157
39399,0.151168,0.172156,1.255366,8.312488,9.567853
39599,0.151134,0.144503,1.257649,8.354886,9.612534
39799,0.151008,0.125883,1.260033,8.397164,9.657198
39999,0.150982,0.145889,1.262531,8.439486,9.702017
40199,0.151035,0.161611,1.270723,8.481736,9.752459
40399,0.150914,0.126704,1.272906,8.523977,9.796883
40599,0.150963,0.160813,1.275220,8.566204,9.841424
40799,0.150977,0.153782,1.277644,8.608516,9.886161
40999,0.150864,0.127752,1.280194,8.650951,9.931145
41199,0.150940,0.166626,1.288338,8.693253,9.981591
41399,0.150965,0.156150,1.290518,8.735626,10.026144
41599,0.150915,0.140575,1.292799,8.778076,10.070875
41799,0.150846,0.136465,1.295181,8.821113,10.116294
41999,0.150911,0.164552,1.297675,8.863560,10.161235
42199,0.151064,0.183053,1.305870,8.905957,10.211827
42399,0.151008,0.139224,1.308032,8.948212,10.256244
42599,0.151034,0.156607,1.310314,8.990541,10.300855
42799,0.151169,0.179810,1.312708,9.032929,10.345637
42999,0.151192,0.156095,1.315227,9.075273,10.390499
43199,0.151228,0.158948,1.323615,9.117685,10.441300
43399,0.151196,0.144421,1.325790,9.159954,10.485744
43599,0.151106,0.131455,1.328094,9.202341,10.530435
43799,0.151179,0.167174,1.330497,9.244785,10.575282
43999,0.151199,0.155643,1.333006,9.287204,10.620209
44199,0.151296,0.172644,1.341255,9.329705,10.670960
44399,0.151250,0.141044,1.343435,9.372412,10.715847
44599,0.151156,0.130163,1.345718,9.414904,10.760622
44799,0.151163,0.152827,1.348107,9.457338,10.805444
44999,0.151032,0.121728,1.350601,9.499822,10.850423
45199,0.151067,0.158929,1.358834,9.542230,10.901064
45399,0.151222,0.186119,1.361002,9.584512,10.945514
45599,0.151275,0.163426,1.363280,9.627031,10.990311
45799,0.151239,0.143061,1.365669,9.669352,11.035021
45999,0.151217,0.146063,1.368196,9.711761,11.079957
46199,0.151338,0.179323,1.376368,9.754363,11.130731
46399,0.151272,0.135925,1.378543,9.796873,11.175416
46599,0.151233,0.142204,1.380818,9.839303,11.220121
46799,0.151140,0.129557,1.383207,9.881752,11.264959
46999,0.151271,0.181774,1.385689,9.924124,11.309813
47199,0.151311,0.160689,1.394083,9.966521,11.360605
47399,0.151383,0.168514,1.396259,10.008778,11.405037
47599,0.151499,0.179021,1.398540,10.051116,11.449656
47799,0.151542,0.161574,1.400961,10.093602,11.494564
47999,0.151413,0.120577,1.403472,10.136007,11.539479
48199,0.151367,0.140324,1.436857,10.178537,11.615394
48399,0.151378,0.154127,1.439013,10.220751,11.659765
48599,0.151238,0.117276,1.441291,10.263095,11.704387
48799,0.151181,0.137545,1.443665,10.305338,11.749003
48999,0.151071,0.124089,1.446138,10.347629,11.793767
49199,0.151049,0.145569,1.453817,10.389942,11.843759
49399,0.150947,0.125946,1.455982,10.432137,11.888119
49599,0.150869,0.131607,1.458248,10.474377,11.932625
49799,0.150995,0.182254,1.460614,10.516637,11.977250
49999,0.150849,0.114443,1.463109,10.558848,12.021956
50199,0.150747,0.125228,1.470970,10.601141,12.072111
50399,0.150719,0.143763,1.473137,10.643476,12.116613
50599,0.150600,0.120677,1.475417,10.685803,12.161220
50799,0.150449,0.112150,1.477790,10.728006,12.205796
50999,0.150394,0.136483,1.480282,10.770315,12.250597
51199,0.150455,0.166027,1.488254,10.812635,12.300890
51399,0.150364,0.126957,1.490416,10.854899,12.345315
51599,0.150295,0.132707,1.492677,10.897164,12.389842
51799,0.150273,0.144554,1.495052,10.939526,12.434577
51999,0.150323,0.163190,1.497547,10.981916,12.479463
52199,0.150302,0.145029,1.505413,11.024374,12.529788
52399,0.150274,0.142927,1.507568,11.066644,12.574212
52599,0.150349,0.170041,1.509831,11.108993,12.618824
52799,0.150326,0.144020,1.512191,11.151512,12.663702
52999,0.150227,0.124185,1.514677,11.193879,12.708556
53199,0.150178,0.137316,1.522735,11.236190,12.758925
53399,0.150125,0.135971,1.524886,11.278427,12.803312
53599,0.150116,0.147802,1.527153,11.320778,12.847931
53799,0.150184,0.168302,1.529511,11.363010,12.892521
53999,0.150145,0.139696,1.531993,11.405409,12.937403
54199,0.150235,0.174485,1.539981,11.447760,12.987741
54399,0.150148,0.126570,1.542136,11.490099,13.032235
54599,0.150056,0.124891,1.544403,11.532391,13.076794
54799,0.150017,0.139610,1.546800,11.574796,13.121596
54999,0.149993,0.143417,1.549320,11.617231,13.166551
55199,0.149992,0.149580,1.557373,11.659596,13.216969
55399,0.149944,0.136823,1.559509,11.701838,13.261347
55599,0.149916,0.141993,1.561782,11.744095,13.305877
55799,0.149883,0.140746,1.564203,11.786409,13.350613
55999,0.149880,0.149118,1.566716,11.828777,13.395494
56199,0.149807,0.129356,1.574938,11.871094,13.446032
56399,0.149761,0.136869,1.577083,11.913495,13.490578
56599,0.149776,0.153803,1.579363,11.955913,13.535275
56799,0.149721,0.134196,1.581727,11.998335,13.580062
56999,0.149686,0.139870,1.584212,12.040782,13.624994
57199,0.149699,0.153330,1.592431,12.083157,13.675589
57399,0.149684,0.145481,1.594588,12.125541,13.720129
57599,0.149783,0.178098,1.596865,12.167861,13.764726
57799,0.149743,0.138264,1.599226,12.210185,13.809412
57999,0.149799,0.165961,1.601722,12.252680,13.854402
58199,0.149765,0.139857,1.609771,12.295224,13.904995
58399,0.149745,0.144093,1.611927,12.337656,13.949583
58599,0.149652,0.122294,1.614220,12.380229,13.994449
58799,0.149674,0.156145,1.616580,12.422706,14.039286
58999,0.149650,0.142653,1.619073,12.465218,14.084291
59199,0.149530,0.114111,1.627436,12.507767,14.135202
59399,0.149555,0.156994,1.629590,12.550193,14.179783
59599,0.149589,0.159662,1.631867,12.592649,14.224517
59799,0.149632,0.162391,1.634256,12.635074,14.269331
59999,0.149718,0.175591,1.636765,12.677470,14.314235
60199,0.149734,0.154391,1.645062,12.719914,14.364976
60399,0.149656,0.126270,1.647239,12.762244,14.409483
60599,0.149672,0.154637,1.649512,12.804758,14.454271
60799,0.149646,0.141735,1.651872,12.847292,14.499163
60999,0.149584,0.130729,1.654359,12.889824,14.544183
