# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
24999,0.147818,0.114431,10.709880,5.540735,16.250616
25199,0.147841,0.150798,10.798166,5.585466,16.383633
25399,0.147842,0.147906,10.879961,5.630218,16.510179
25599,0.147831,0.146416,10.962731,5.674946,16.637677
25799,0.147852,0.150544,11.044611,5.719707,16.764318
25999,0.147645,0.121015,11.126659,5.764522,16.891181
26199,0.147846,0.173932,11.215420,5.809328,17.024748
26399,0.147924,0.158181,11.298053,5.854030,17.152082
26599,0.147710,0.119413,11.380230,5.898879,17.279109
26799,0.147871,0.169308,11.461972,5.943663,17.405635
26999,0.148048,0.171723,11.544151,5.988549,17.532700
27199,0.148070,0.151030,11.634094,6.033431,17.667525
27399,0.147987,0.136673,11.715426,6.078117,17.793543
27599,0.147915,0.138124,11.797115,6.122772,17.919887
27799,0.148160,0.181976,11.878512,6.167300,18.045813
27999,0.148269,0.163364,11.961328,6.211913,18.173241
28199,0.148409,0.168062,12.050117,6.256773,18.306890
28399,0.148472,0.157357,12.131747,6.301361,18.433108
28599,0.148653,0.174360,12.213208,6.345746,18.558955
28799,0.148971,0.194442,12.295681,6.390201,18.685882
28999,0.149010,0.154542,12.377420,6.434679,18.812099
29199,0.149073,0.158230,12.466423,6.479484,18.945907
29399,0.149035,0.143569,12.547810,6.524303,19.072113
29599,0.148856,0.122562,12.630383,6.568849,19.199233
29799,0.148863,0.149857,12.712035,6.613424,19.325459
29999,0.148811,0.141045,12.794220,6.658132,19.452352
30199,0.149019,0.180255,12.883278,6.702819,19.586097
30399,0.149131,0.166016,12.966110,6.747665,19.713775
30599,0.149095,0.143615,13.048237,6.792669,19.840905
30799,0.148980,0.131443,13.130461,6.837468,19.967929
30999,0.148913,0.138559,13.212731,6.882223,20.094954
31199,0.148774,0.127220,13.302863,6.927195,20.230058
31399,0.149076,0.196179,13.384808,6.972268,20.357076
31599,0.149168,0.163526,13.466802,7.017107,20.483909
31799,0.149292,0.168987,13.548982,7.061935,20.610917
31999,0.149159,0.127918,13.632484,7.106890,20.739374
32199,0.149013,0.125686,13.718449,7.151596,20.870045
32399,0.148978,0.143343,13.799817,7.195943,20.995760
32599,0.148911,0.138168,13.881497,7.240456,21.121953
32799,0.148904,0.147710,13.964622,7.284982,21.249604
32999,0.148693,0.114098,14.046391,7.329361,21.375753
33199,0.148642,0.140254,14.131636,7.373776,21.505412
33399,0.148554,0.133940,14.213367,7.418568,21.631935
33599,0.148426,0.126965,14.296293,7.463162,21.759454
33799,0.148356,0.136709,14.378402,7.507675,21.886077
33999,0.148297,0.138192,14.460132,7.552069,22.012201
34199,0.148208,0.133205,14.545364,7.596609,22.141973
34399,0.148166,0.140965,14.627905,7.641076,22.268981
34599,0.148236,0.160230,14.709980,7.685648,22.395629
34799,0.148112,0.126732,14.792120,7.730051,22.522171
34999,0.148121,0.149532,14.873918,7.774504,22.648422
35199,0.147876,0.105013,14.960400,7.818988,22.779388
35399,0.147700,0.116823,15.041880,7.863411,22.905291
35599,0.147558,0.122343,15.123567,7.907882,23.031449
35799,0.147446,0.127511,15.205480,7.952376,23.157856
35999,0.147435,0.145487,15.288630,7.996979,23.285609
36199,0.147412,0.143238,15.374356,8.041412,23.415767
36399,0.147558,0.174117,15.456339,8.086033,23.542372
36599,0.147604,0.155966,15.538607,8.130750,23.669357
36799,0.147666,0.158894,15.622095,8.175397,23.797491
36999,0.147623,0.139677,15.704665,8.220215,23.924880
37199,0.147787,0.178223,15.790298,8.264830,24.055128
37399,0.147843,0.158307,15.872332,8.309858,24.182191
37599,0.147938,0.165549,15.955203,8.354368,24.309572
37799,0.147977,0.155310,16.037302,8.398890,24.436192
37999,0.148223,0.194750,16.120081,8.443813,24.563894
38199,0.148237,0.151044,16.205857,8.488407,24.694264
38399,0.148146,0.130677,16.288343,8.532769,24.821111
38599,0.148043,0.128184,16.370479,8.577465,24.947944
38799,0.148168,0.172434,16.452764,8.622141,25.074905
38999,0.148153,0.145112,16.535088,8.666726,25.201815
39199,0.148000,0.118314,16.621527,8.711141,25.332669
39399,0.148013,0.150540,16.702676,8.755434,25.458110
39599,0.147996,0.144607,16.784344,8.799979,25.584323
39799,0.148073,0.163323,16.866140,8.844510,25.710650
39999,0.148208,0.174976,16.949246,8.889091,25.838337
40199,0.148114,0.129436,17.034897,8.933700,25.968597
40399,0.148043,0.133720,17.116397,8.978065,26.094462
40599,0.147989,0.137183,17.197872,9.022303,26.220175
40799,0.148018,0.153899,17.280467,9.066612,26.347079
40999,0.147940,0.131897,17.362783,9.111245,26.474028
41199,0.147889,0.137421,17.448037,9.155569,26.603605
41399,0.147990,0.168768,17.529402,9.199929,26.729331
41599,0.148022,0.154792,17.612115,9.244415,26.856530
41799,0.147991,0.141484,17.693925,9.288660,26.982585
41999,0.148083,0.167403,17.776448,9.333254,27.109702
42199,0.148188,0.170120,17.864053,9.378016,27.242068
42399,0.148403,0.193845,17.946537,9.422368,27.368905
42599,0.148439,0.155972,18.027929,9.466554,27.494483
42799,0.148446,0.149888,18.109555,9.510741,27.620295
42999,0.148500,0.160199,18.192297,9.555480,27.747778
43199,0.148490,0.146333,18.281231,9.600263,27.881494
43399,0.148449,0.139480,18.362885,9.645046,28.007931
43599,0.148344,0.125684,18.444736,9.689662,28.134397
43799,0.148393,0.158972,18.526732,9.734479,28.261211
43999,0.148375,0.144515,18.609923,9.779199,28.389122
44199,0.148485,0.172734,18.698183,9.824088,28.522272
44399,0.148473,0.145724,18.779613,9.868748,28.648361
44599,0.148392,0.130490,18.861144,9.913321,28.774465
44799,0.148340,0.136751,18.944095,9.957995,28.902091
44999,0.148258,0.129806,19.026628,10.002788,29.029416
45199,0.148374,0.174395,19.114775,10.047507,29.162283
45399,0.148354,0.143917,19.196493,10.092040,29.288533
45599,0.148414,0.162038,19.279568,10.136812,29.416380
45799,0.148381,0.140887,19.361576,10.181503,29.543079
45999,0.148533,0.183236,19.443601,10.226041,29.669642
46199,0.148577,0.158768,19.531618,10.270488,29.802106
46399,0.148670,0.170088,19.614182,10.314909,29.929091
46599,0.148504,0.110115,19.696167,10.359440,30.055607
46799,0.148342,0.110648,19.778166,10.403962,30.182128
46999,0.148338,0.147371,19.860259,10.448310,30.308569
47199,0.148265,0.131020,19.949451,10.492886,30.442337
