# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_incremental3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
32599,0.121039,0.110659,135.388838,10.036598,145.425436
32799,0.121050,0.122856,136.391906,10.104243,146.496149
32999,0.120971,0.107874,137.680294,10.172061,147.852355
33199,0.120841,0.099429,139.019550,10.240537,149.260087
33399,0.120828,0.118685,139.982804,10.308260,150.291064
33599,0.120824,0.120094,141.355418,10.376762,151.732179
33799,0.120841,0.123727,142.382251,10.444488,152.826739
33999,0.120744,0.104325,143.676331,10.512682,154.189013
34199,0.120662,0.106839,144.765129,10.581707,155.346836
34399,0.120700,0.127072,146.087166,10.650175,156.737341
34599,0.120664,0.114637,147.471943,10.719110,158.191053
34799,0.120598,0.109175,148.515600,10.787602,159.303202
34999,0.120566,0.114906,149.434708,10.855867,160.290575
35199,0.120430,0.096730,150.777499,10.924413,161.701912
35399,0.120374,0.110473,152.153520,10.993371,163.146892
35599,0.120358,0.117503,153.147279,11.061994,164.209274
35799,0.120416,0.130807,154.594064,11.131250,165.725315
35999,0.120440,0.124596,155.582732,11.199904,166.782636
36199,0.120352,0.104534,156.984904,11.269124,168.254028
36399,0.120224,0.097131,158.001865,11.337927,169.339792
36599,0.120160,0.108421,159.441070,11.407053,170.848123
36799,0.120209,0.129255,160.453852,11.475413,171.929266
36999,0.120160,0.111083,161.836478,11.544053,173.380531
37199,0.120181,0.124111,162.941079,11.612988,174.554067
37399,0.120105,0.106024,164.378549,11.682209,176.060758
37599,0.120092,0.117554,165.496462,11.751330,177.247792
37799,0.120108,0.123167,166.939467,11.821131,178.760598
37999,0.120163,0.130618,167.968616,11.890308,179.858924
38199,0.120062,0.100785,169.369130,11.959830,181.328960
38399,0.119941,0.096891,170.378773,12.028777,182.407550
38599,0.119904,0.112661,171.750042,12.097851,183.847893
38799,0.119951,0.129164,173.265543,12.167461,185.433004
38999,0.119868,0.103701,174.265213,12.236602,186.501815
39199,0.119854,0.117234,175.658160,12.306033,187.964193
39399,0.119832,0.115375,176.758189,12.375721,189.133909
39599,0.119886,0.130501,178.212917,12.445067,190.657984
39799,0.119930,0.128625,179.245527,12.514345,191.759873
39999,0.119913,0.116657,180.822571,12.583851,193.406423
40199,0.119895,0.116256,182.225575,12.653787,194.879362
40399,0.119815,0.103772,183.832934,12.724192,196.557126
40599,0.119807,0.118181,185.058192,12.794196,197.852388
40799,0.119758,0.109873,186.606697,12.864462,199.471159
40999,0.119705,0.108840,188.096687,12.934264,201.030951
41199,0.119578,0.093586,189.603374,13.004401,202.607775
41399,0.119531,0.109759,190.688110,13.073904,203.762014
41599,0.119458,0.104315,192.173916,13.143930,205.317845
41799,0.119421,0.111735,193.657363,13.213749,206.871112
41999,0.119340,0.102470,194.880177,13.284036,208.164213
42199,0.119262,0.102843,196.416925,13.353851,209.770776
42399,0.119159,0.097495,197.556857,13.423795,210.980652
42599,0.119054,0.096810,199.137149,13.494420,212.631569
42799,0.119029,0.113665,200.763484,13.565183,214.328667
42999,0.119046,0.122630,201.851832,13.635139,215.486971
43199,0.118903,0.088287,203.481226,13.705994,217.187220
43399,0.118944,0.127629,204.990299,13.776188,218.766488
43599,0.118913,0.112202,206.197536,13.846588,220.044124
43799,0.118831,0.101005,207.772295,13.917346,221.689641
43999,0.118813,0.114860,208.891548,13.987585,222.879133
44199,0.118851,0.127157,210.396221,14.058020,224.454240
44399,0.118946,0.140003,211.962529,14.128488,226.091018
44599,0.118911,0.111115,213.209681,14.199291,227.408972
44799,0.118892,0.114634,214.795329,14.270150,229.065478
44999,0.118867,0.113329,216.429904,14.340827,230.770731
45199,0.118820,0.108345,217.657543,14.411620,232.069164
45399,0.118706,0.092859,219.205415,14.482543,233.687958
45599,0.118576,0.088952,220.738102,14.552855,235.290958
45799,0.118533,0.108704,221.854641,14.623224,236.477865
45999,0.118571,0.127486,223.358718,14.693759,238.052478
46199,0.118517,0.105936,225.025018,14.764526,239.789544
46399,0.118445,0.101798,226.226062,14.835190,241.061252
46599,0.118398,0.107641,227.954307,14.906809,242.861116
46799,0.118421,0.123766,229.551427,14.977503,244.528929
46999,0.118261,0.080832,231.156366,15.048472,246.204839
47199,0.118176,0.098040,232.332754,15.119497,247.452251
47399,0.118161,0.114596,234.058035,15.191130,249.249165
47599,0.118167,0.119653,235.742110,15.262415,251.004525
47799,0.118169,0.118596,237.365612,15.333441,252.699053
47999,0.118120,0.106469,238.593957,15.404160,253.998117
48199,0.118149,0.125095,240.379268,15.475729,255.854997
48399,0.118113,0.109560,242.056520,15.546792,257.603313
48599,0.118136,0.123563,243.792576,15.618428,259.411005
48799,0.118116,0.113232,245.562822,15.690103,261.252925
48999,0.118048,0.101619,246.838490,15.761891,262.600381
49199,0.118086,0.127365,248.587970,15.833242,264.421212
49399,0.117996,0.095739,250.262507,15.904412,266.166919
49599,0.118074,0.137451,251.468470,15.975746,267.444216
49799,0.118073,0.117902,253.210392,16.047443,269.257835
49999,0.117952,0.087604,254.962126,16.119149,271.081274
50199,0.117969,0.122271,256.706554,16.191102,272.897656
50399,0.117941,0.110983,257.949601,16.262998,274.212600
50599,0.117862,0.097846,259.588048,16.334610,275.922658
50799,0.117787,0.098987,261.173314,16.405925,277.579239
50999,0.117767,0.112593,262.451127,16.477683,278.928810
51199,0.117690,0.098065,264.211519,16.549335,280.760855
51399,0.117682,0.115579,266.028958,16.621073,282.650030
51599,0.117605,0.097801,267.694271,16.692373,284.386644
51799,0.117613,0.119722,269.545457,16.764672,286.310129
51999,0.117527,0.095162,270.759637,16.836047,287.595683
52199,0.117478,0.104897,272.482182,16.907538,289.389720
52399,0.117412,0.100084,274.267530,16.979564,291.247094
52599,0.117382,0.109562,276.096048,17.051770,293.147818
52799,0.117332,0.104098,277.455270,17.124317,294.579587
52999,0.117298,0.108367,279.288219,17.196775,296.484994
53199,0.117323,0.124010,281.031067,17.269033,298.300100
53399,0.117314,0.114975,282.747992,17.341026,300.089018
53599,0.117314,0.117207,283.937292,17.412545,301.349837
53799,0.117245,0.098938,285.755337,17.485135,303.240472
53999,0.117204,0.106133,287.638253,17.557414,305.195668
54199,0.117242,0.127497,289.510796,17.629673,307.140468
54399,0.117157,0.094122,291.238568,17.702017,308.940586
54599,0.117162,0.118425,292.397746,17.773714,310.171460
54799,0.117227,0.135092,294.214836,17.845932,312.060768
54999,0.117178,0.103709,296.019345,17.917950,313.937294
55199,0.117208,0.125443,297.779735,17.989949,315.769683
55399,0.117165,0.105230,299.693506,18.062745,317.756251
55599,0.117157,0.114954,301.607915,18.135255,319.743171
55799,0.117093,0.099217,303.455196,18.207866,321.663062
55999,0.117067,0.109783,304.822446,18.280564,323.103010
56199,0.117126,0.133806,306.701957,18.353261,325.055218
56399,0.117110,0.112466,308.500008,18.425677,326.925685
56599,0.117062,0.103569,310.268289,18.498020,328.766309
56799,0.117020,0.105236,312.108372,18.570392,330.678764
56999,0.116957,0.099076,313.430733,18.642601,332.073334
57199,0.116909,0.103058,315.179887,18.714870,333.894757
57399,0.116896,0.113268,317.121255,18.787635,335.908891
57599,0.116824,0.096190,319.059372,18.860852,337.920223
57799,0.116764,0.099459,321.154274,18.934228,340.088501
57999,0.116735,0.108325,323.056788,19.007356,342.064144
58199,0.116746,0.119943,324.458680,19.080232,343.538912
58399,0.116656,0.090657,326.436497,19.153527,345.590024
58599,0.116666,0.119416,328.284475,19.226063,347.510538
58799,0.116667,0.117029,330.197584,19.298845,349.496428
58999,0.116635,0.107104,332.081416,19.371501,351.452917
59199,0.116601,0.106738,334.038286,19.444376,353.482662
59399,0.116593,0.114091,336.029750,19.517571,355.547322
59599,0.116601,0.118988,338.012427,19.590675,357.603102
59799,0.116609,0.118921,340.080384,19.664202,359.744587
59999,0.116527,0.092105,342.044531,19.737680,361.782211
60199,0.116545,0.122091,343.356927,19.810489,363.167416
60399,0.116552,0.118494,345.265971,19.883566,365.149537
60599,0.116453,0.086604,347.147160,19.956734,367.103893
60799,0.116438,0.111984,349.203097,20.030331,369.233428
60999,0.116363,0.093474,351.224045,20.103657,371.327702
61199,0.116255,0.083167,353.248067,20.177081,373.425148
61399,0.116220,0.105570,355.282653,20.250505,375.533158
61599,0.116185,0.105354,357.252395,20.324180,377.576575
61799,0.116167,0.110870,359.171658,20.397519,379.569177
61999,0.116093,0.093112,361.304018,20.470803,381.774822
62199,0.116077,0.111002,363.259547,20.544380,383.803927
62399,0.116079,0.116866,365.347766,20.618169,385.965935
62599,0.116040,0.103730,367.299073,20.691306,387.990379
62799,0.115985,0.098934,368.683427,20.764925,389.448352
62999,0.115984,0.115638,370.747295,20.838856,391.586151
63199,0.115915,0.094058,372.707107,20.912771,393.619879
63399,0.115836,0.091113,374.644353,20.986138,395.630492
63599,0.115798,0.103569,376.743224,21.060127,397.803351
63799,0.115820,0.122787,378.844151,21.134465,399.978616
63999,0.115812,0.113385,380.994627,21.208526,402.203153
64199,0.115719,0.085766,383.065784,21.282438,404.348221
64399,0.115773,0.133368,385.175644,21.356676,406.532320
