# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_abrupto1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
57599,3573.795263,9057.037269,24.667381,12.671647,37.339028
57799,3589.630297,8150.120100,24.746083,12.715833,37.461916
57999,3613.615241,10545.263872,24.825144,12.760095,37.585239
58199,3632.383767,9075.256398,24.904226,12.804289,37.708515
58399,3653.105831,9683.226480,24.984568,12.848620,37.833188
58599,3670.783607,8832.694220,25.071415,12.892987,37.964401
58799,3697.410659,11499.136975,25.150174,12.937224,38.087398
58999,3718.543836,9931.697860,25.229299,12.981549,38.210848
59199,3734.824842,8537.721528,25.309387,13.025725,38.335112
59399,3752.949754,9117.923534,25.389072,13.070175,38.459248
59599,3765.741450,7564.875226,25.504847,13.114584,38.619431
59799,3775.135678,6574.615545,25.614701,13.158761,38.773462
59999,3785.761072,6962.753992,25.699308,13.202919,38.902227
60199,3797.720699,7385.608921,25.783721,13.247190,39.030911
60399,3806.499864,6449.028500,25.862941,13.291474,39.154415
60599,3814.645711,6274.691504,25.942131,13.335703,39.277834
60799,3827.475713,7714.966399,26.027531,13.379720,39.407251
60999,3836.688975,6637.520566,26.106616,13.423881,39.530497
61199,3844.129948,6113.626700,26.186108,13.468190,39.654298
61399,3852.714402,6479.557306,26.265599,13.512389,39.777988
61599,3869.094991,8897.935797,26.345826,13.556376,39.902202
61799,3877.160245,6361.258282,26.431803,13.600529,40.032332
61999,3889.324582,7648.104733,26.511097,13.646627,40.157724
62199,3898.700211,6805.145444,26.590686,13.690866,40.281552
62399,3905.516130,6025.266951,26.670803,13.735013,40.405816
62599,3914.523671,6724.876485,26.750230,13.779196,40.529427
62799,3924.308342,6986.910275,26.835960,13.823251,40.659210
62999,3932.779155,6592.614472,26.915013,13.867347,40.782360
63199,3940.173422,6269.367335,26.994967,13.911286,40.906253
63399,3948.874805,6698.511943,27.074170,13.955296,41.029466
63599,3956.723135,6444.643627,27.154070,13.999573,41.153643
63799,3964.016425,6283.282732,27.240272,14.043584,41.283856
63999,3971.920538,6493.332720,27.320227,14.087562,41.407789
64199,3977.681432,5821.167426,27.399657,14.131532,41.531189
64399,3987.190171,7039.495338,27.479426,14.175805,41.655231
64599,3991.911575,5512.203604,27.558945,14.219873,41.778818
64799,4000.085228,6640.175109,27.645933,14.263954,41.909888
64999,4009.480612,7053.585195,27.725067,14.308042,42.033109
65199,4018.028961,6796.242221,27.805009,14.352340,42.157349
65399,4027.339334,7062.520939,27.884788,14.396567,42.281356
65599,4036.722532,7105.028408,27.965465,14.440591,42.406056
65799,4043.332246,6211.318522,28.051628,14.484710,42.536338
65999,4057.559577,8738.351330,28.152135,14.528897,42.681032
66199,4070.873020,8464.309396,28.234290,14.572991,42.807281
66399,4084.350771,8545.486129,28.314343,14.616974,42.931317
66599,4098.048109,8645.564276,28.393795,14.661188,43.054982
66799,4111.149722,8473.986962,28.476549,14.705524,43.182073
66999,4123.865159,8370.821298,28.555671,14.749449,43.305120
67199,4135.819524,8140.531532,28.635945,14.793521,43.429466
67399,4148.627096,8451.971470,28.715456,14.837741,43.553197
67599,4158.300704,7418.306570,28.794862,14.881592,43.676454
67799,4174.882827,9779.640342,28.879732,14.925609,43.805341
67999,4183.193970,7000.671441,28.959668,14.969570,43.929237
68199,4197.364950,9015.498252,29.039126,15.013586,44.052712
68399,4211.394525,8995.479632,29.118952,15.057715,44.176667
68599,4225.136970,8925.053200,29.198654,15.101786,44.300440
68799,4236.145889,8012.205023,29.284947,15.145819,44.430766
68999,4249.197094,8738.811425,29.364034,15.189737,44.553771
69199,4267.753080,10669.568206,29.443474,15.233704,44.677178
69399,4280.405902,8658.282549,29.523422,15.277810,44.801232
69599,4290.757488,7882.757676,29.604019,15.321687,44.925705
69799,4303.410642,8706.708456,29.689885,15.365838,45.055722
69999,4316.335973,8827.276351,29.769273,15.409756,45.179029
70199,4329.251444,8849.666265,29.848986,15.453758,45.302744
70399,4336.616818,6921.862984,29.929702,15.497689,45.427391
70599,4346.226945,7728.991632,30.009238,15.541556,45.550795
70799,4358.850609,8815.004003,30.095129,15.585628,45.680757
70999,4367.944829,7587.298749,30.174437,15.629605,45.804042
71199,4382.167455,9431.199642,30.254995,15.673658,45.928652
71399,4391.383640,7672.345562,30.334568,15.717517,46.052085
71599,4399.463812,7284.085388,30.414748,15.761577,46.176325
71799,4407.628936,7330.743077,30.500253,15.805371,46.305624
71999,4418.053057,8160.312651,30.580401,15.849278,46.429679
72199,4428.449252,8171.079554,30.660185,15.893378,46.553563
72399,4437.779096,7805.852678,30.740009,15.937264,46.677272
72599,4446.429183,7577.760849,30.820007,15.981346,46.801353
72799,4454.024704,7211.198590,30.906963,16.025482,46.932445
72999,4460.693934,6888.293839,30.986475,16.069506,47.055981
73199,4469.204686,7575.629092,31.065867,16.113295,47.179162
73399,4477.659758,7572.216150,31.145827,16.157238,47.303065
