# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [KNN] KNNRegressor(aggregation_method='mean', leaf_size=30, max_window_size=1000, metric='euclidean', n_neighbors=5)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_KNN_gradual1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[KNN],current_mse_[KNN],training_time_[KNN],testing_time_[KNN],total_running_time_[KNN]
54599,5016.184040,5275.724110,1.446648,24.727924,26.174572
54799,5018.540225,5661.778699,1.451995,24.819868,26.271863
54999,5018.002995,4870.801756,1.457384,24.911691,26.369075
55199,5014.671156,4098.415534,1.462753,25.003099,26.465852
55399,5014.941010,5089.420741,1.468131,25.095438,26.563570
55599,5012.550347,4350.336721,1.473472,25.187111,26.660583
55799,5013.777239,5354.853079,1.478823,25.278504,26.757328
55999,5015.712653,5555.693391,1.484148,25.369875,26.854023
56199,5017.401634,5490.316288,1.489497,25.461541,26.951038
56399,5017.131214,4941.143199,1.494838,25.553514,27.048352
56599,5016.735516,4905.148717,1.500178,25.645356,27.145534
56799,5015.843886,4763.512533,1.505561,25.736887,27.242448
56999,5015.823073,5009.912237,1.510990,25.828861,27.339851
57199,5015.284320,4861.739538,1.516374,25.920406,27.436780
57399,5016.399351,5335.298278,1.521717,26.011647,27.533364
57599,5013.314642,4128.003127,1.527043,26.102788,27.629831
57799,5011.756514,4563.015778,1.532369,26.193946,27.726316
57999,5012.309321,5172.070558,1.537747,26.285349,27.823096
58199,5011.493496,4774.904021,1.543085,26.376759,27.919845
58399,5010.872170,4830.066392,1.548425,26.468219,28.016644
58599,5005.612218,3469.706217,1.553766,26.559647,28.113413
58799,5004.090088,4558.105963,1.559112,26.650978,28.210090
58999,5005.706564,5480.950507,1.564508,26.742373,28.306881
59199,5003.188264,4260.289728,1.569841,26.833818,28.403659
59399,5004.787044,5478.025912,1.575200,26.925290,28.500490
59599,5007.405708,5785.149028,1.580535,27.016818,28.597353
59799,5008.407034,5306.802091,1.585875,27.108112,28.693987
59999,5008.442551,5019.062330,1.591214,27.199457,28.790671
60199,5007.017067,4579.371791,1.596595,27.290657,28.887252
60399,5005.760457,4627.520937,1.601933,27.381689,28.983622
60599,5006.045850,5092.234369,1.607313,27.473017,29.080330
60799,5006.744354,5218.391071,1.612660,27.564354,29.177014
60999,5007.086995,5111.249902,1.618004,27.655728,29.273732
61199,5011.499645,6357.357848,1.623366,27.747523,29.370889
61399,5010.327130,4651.537688,1.628702,27.839061,29.467763
61599,5007.900721,4262.993185,1.634027,27.930481,29.564508
61799,5007.006369,4731.545733,1.639402,28.022277,29.661678
61999,5006.393121,4816.899726,1.644762,28.113702,29.758463
62199,5004.636375,4460.045017,1.650097,28.204947,29.855044
62399,5001.879341,4144.441710,1.655442,28.296285,29.951727
62599,5000.879833,4689.033247,1.660783,28.387828,30.048611
62799,5002.148479,5399.234734,1.666118,28.479402,30.145520
62999,5006.694094,6434.017406,1.671484,28.570781,30.242265
63199,5010.168855,6104.718532,1.676826,28.662173,30.338999
63399,5007.394482,4130.692603,1.682138,28.753865,30.436004
63599,5008.377159,5319.885783,1.687498,28.845644,30.533142
63799,5008.180293,4945.576673,1.692930,28.936935,30.629865
63999,5004.583230,3857.120089,1.698301,29.028340,30.726642
64199,5005.094571,5168.723702,1.703636,29.119758,30.823393
64399,5003.296903,4426.245641,1.708958,29.211155,30.920112
64599,5004.896394,5519.932334,1.714252,29.302333,31.016585
64799,5006.504838,5526.032379,1.719573,29.393486,31.113059
64999,5006.753656,5087.370686,1.724883,29.484760,31.209643
65199,5001.813031,3396.110017,1.730179,29.576079,31.306258
65399,5004.280823,5808.781030,1.735533,29.667318,31.402851
65599,5007.444422,6041.941347,1.740884,29.758686,31.499569
65799,5006.287049,4626.668693,1.746203,29.850239,31.596442
65999,5004.716119,4487.880110,1.751514,29.941584,31.693098
66199,5004.766094,5021.257729,1.756856,30.032885,31.789741
66399,5005.955229,5399.558837,1.762142,30.124185,31.886327
