# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
21399,3460.012747,3480.712153,75.249810,6.443225,81.693035
21599,3449.969390,2375.330139,76.268991,6.509676,82.778667
21799,3444.876730,2894.869486,77.115351,6.576257,83.691608
21999,3432.821403,2118.790771,78.168923,6.642954,84.811877
22199,3426.654461,2748.290804,78.987158,6.709003,85.696161
22399,3415.365011,2162.236051,79.864305,6.775529,86.639834
22599,3406.027204,2360.192874,80.899083,6.842779,87.741862
22799,3402.566449,3011.501069,81.720159,6.909343,88.629502
22999,3400.138281,3123.327189,82.601815,6.975787,89.577602
23199,3397.587011,3104.190857,83.682741,7.042719,90.725460
23399,3394.457739,3031.462205,84.585583,7.109363,91.694946
23599,3395.454673,3512.095952,85.647294,7.176424,92.823718
23799,3391.341801,2906.022992,86.542156,7.243803,93.785959
23999,3385.413793,2679.980789,87.397386,7.310842,94.708228
24199,3380.486846,2789.253172,88.531785,7.378518,95.910303
24399,3378.645004,3155.782216,89.434710,7.445435,96.880145
24599,3372.679808,2644.925901,90.593662,7.513215,98.106876
24799,3367.893847,2779.220521,91.479321,7.580551,99.059872
24999,3364.299602,2918.613238,92.608573,7.648208,100.256781
25199,3360.181122,2845.371116,93.601907,7.715839,101.317746
25399,3351.032133,2198.259622,94.708209,7.783328,102.491537
25599,3347.946405,2956.058911,95.677132,7.850753,103.527886
25799,3345.401693,3019.678515,96.844983,7.918504,104.763487
25999,3340.359928,2689.972213,97.778705,7.986361,105.765066
26199,3336.806037,2874.800263,98.673710,8.054317,106.728026
26399,3336.618706,3312.078283,99.844848,8.122387,107.967235
26599,3334.066584,2997.186575,100.780357,8.190342,108.970699
26799,3327.343459,2433.167803,101.791789,8.258933,110.050722
26999,3317.074015,1940.968564,103.002322,8.327258,111.329581
27199,3314.263460,2934.838467,103.965149,8.395457,112.360606
27399,3307.071809,2329.007237,105.129279,8.464056,113.593335
27599,3297.098248,1930.720386,106.032292,8.532497,114.564789
27799,3290.398397,2365.819017,107.213895,8.601222,115.815117
27999,3286.074627,2685.070639,108.182104,8.669355,116.851458
28199,3279.888298,2413.802181,109.411164,8.738665,118.149829
28399,3274.596082,2528.393595,110.467235,8.807600,119.274835
28599,3270.188165,2644.264062,111.674765,8.876151,120.550916
28799,3266.168104,2691.299355,112.667332,8.945102,121.612435
28999,3259.369041,2280.303997,113.986291,9.014348,123.000639
29199,3255.157063,2644.420132,115.004362,9.083359,124.087721
29399,3249.942325,2488.590578,116.291866,9.152556,125.444422
29599,3240.651022,1874.829538,117.334098,9.221202,126.555300
29799,3239.848456,3121.068738,118.644502,9.290281,127.934783
29999,3234.813376,2484.586414,119.614654,9.359479,128.974133
30199,3229.970945,2503.606360,120.807517,9.428809,130.236326
