# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
45599,0.130905,0.137790,1.286596,9.598148,10.884744
45799,0.130838,0.115711,1.289074,9.640210,10.929284
45999,0.130841,0.131576,1.291661,9.682225,10.973886
46199,0.130798,0.120860,1.297258,9.724220,11.021478
46399,0.130683,0.103956,1.299470,9.766587,11.066057
46599,0.130585,0.108069,1.301782,9.808652,11.110433
46799,0.130404,0.088198,1.304231,9.850732,11.154962
46999,0.130346,0.116654,1.306801,9.892884,11.199684
47199,0.130364,0.134700,1.312173,9.934965,11.247138
47399,0.130327,0.121587,1.314404,9.977105,11.291509
47599,0.130303,0.124623,1.316741,10.019463,11.336203
47799,0.130294,0.128026,1.319209,10.061615,11.380825
47999,0.130326,0.137949,1.321803,10.103853,11.425657
48199,0.130363,0.139387,1.327434,10.146010,11.473444
48399,0.130247,0.102343,1.329657,10.188122,11.517779
48599,0.130154,0.107634,1.331977,10.230181,11.562158
48799,0.130068,0.109027,1.334427,10.272411,11.606838
48999,0.130040,0.123300,1.336991,10.314669,11.651660
49199,0.130006,0.121725,1.342521,10.356778,11.699298
49399,0.129941,0.113972,1.344737,10.398706,11.743443
49599,0.129843,0.105619,1.347073,10.440722,11.787795
49799,0.129742,0.104582,1.349526,10.482752,11.832279
49999,0.129656,0.108357,1.352110,10.524766,11.876876
50199,0.129705,0.141874,1.357793,10.566775,11.924567
50399,0.129702,0.128864,1.360025,10.608971,11.968997
50599,0.129665,0.120509,1.362363,10.651173,12.013536
50799,0.129592,0.111135,1.364822,10.693364,12.058186
50999,0.129544,0.117279,1.367393,10.735557,12.102950
51199,0.129492,0.116149,1.374949,10.777805,12.152755
51399,0.129577,0.151445,1.377184,10.819922,12.197106
51599,0.129547,0.121821,1.379515,10.862284,12.241799
51799,0.129470,0.109662,1.381985,10.904603,12.286588
51999,0.129615,0.167027,1.384581,10.946836,12.331418
52199,0.129648,0.138205,1.392453,10.988970,12.381423
52399,0.129609,0.119413,1.394686,11.031000,12.425686
52599,0.129516,0.105318,1.397025,11.073043,12.470067
52799,0.129513,0.128622,1.399496,11.115101,12.514597
52999,0.129516,0.130435,1.402094,11.157233,12.559328
53199,0.129528,0.132617,1.409943,11.199585,12.609528
53399,0.129448,0.108072,1.412164,11.241671,12.653835
53599,0.129500,0.143413,1.414502,11.283812,12.698314
53799,0.129450,0.116068,1.416945,11.325950,12.742894
53999,0.129385,0.111936,1.419539,11.368145,12.787684
54199,0.129367,0.124509,1.427387,11.410287,12.837674
54399,0.129281,0.105875,1.429614,11.452432,12.882047
54599,0.129377,0.155622,1.431953,11.494634,12.926588
54799,0.129354,0.123115,1.434401,11.536826,12.971227
54999,0.129425,0.148865,1.436989,11.579025,13.016014
55199,0.129406,0.124033,1.444743,11.621087,13.065830
55399,0.129416,0.132256,1.446980,11.663069,13.110049
55599,0.129416,0.129517,1.449327,11.705139,13.154466
55799,0.129425,0.131855,1.451753,11.747130,13.198883
55999,0.129409,0.124886,1.454334,11.789161,13.243494
56199,0.129393,0.124881,1.462295,11.831259,13.293555
56399,0.129372,0.123437,1.464516,11.873306,13.337822
56599,0.129429,0.145526,1.466867,11.915395,13.382262
56799,0.129452,0.136143,1.469303,11.957493,13.426797
56999,0.129433,0.123936,1.471900,11.999536,13.471437
57199,0.129494,0.146722,1.479873,12.041718,13.521592
57399,0.129476,0.124398,1.482097,12.083928,13.566024
57599,0.129435,0.117661,1.484436,12.126210,13.610646
57799,0.129433,0.129078,1.486862,12.168493,13.655355
57999,0.129485,0.144322,1.489458,12.210836,13.700294
58199,0.129533,0.143533,1.497457,12.253032,13.750489
58399,0.129445,0.103697,1.499666,12.295371,13.795037
58599,0.129559,0.162918,1.502019,12.337699,13.839717
58799,0.129479,0.106023,1.504461,12.380055,13.884516
58999,0.129480,0.129863,1.507048,12.422519,13.929567
59199,0.129428,0.114053,1.515177,12.464839,13.980016
59399,0.129379,0.114935,1.517393,12.507021,14.024414
59599,0.129370,0.126736,1.519765,12.549505,14.069270
59799,0.129359,0.125862,1.522225,12.591993,14.114217
59999,0.129369,0.132569,1.524805,12.634308,14.159112
60199,0.129395,0.137107,1.532652,12.676532,14.209183
60399,0.129488,0.157481,1.534881,12.718645,14.253526
60599,0.129567,0.153514,1.537223,12.760757,14.297981
60799,0.129525,0.116701,1.539652,12.802850,14.342502
60999,0.129487,0.117913,1.542208,12.845021,14.387230
61199,0.129543,0.146622,1.550320,12.887211,14.437531
61399,0.129489,0.112957,1.552549,12.929486,14.482035
61599,0.129432,0.112055,1.554889,12.971652,14.526541
61799,0.129417,0.124804,1.557335,13.013720,14.571054
61999,0.129385,0.119366,1.559848,13.055849,14.615697
62199,0.129421,0.140543,1.568101,13.098127,14.666228
62399,0.129553,0.170685,1.570334,13.140407,14.710741
62599,0.129584,0.139409,1.572670,13.182663,14.755333
62799,0.129538,0.115105,1.575104,13.224988,14.800093
62999,0.129586,0.144566,1.577645,13.267294,14.844939
63199,0.129536,0.113710,1.585724,13.309584,14.895309
63399,0.129627,0.158501,1.587940,13.351668,14.939607
63599,0.129621,0.127557,1.590293,13.393908,14.984201
63799,0.129734,0.165734,1.592719,13.435996,15.028714
63999,0.129751,0.135063,1.595261,13.478155,15.073417
64199,0.129799,0.145318,1.603485,13.520482,15.123967
64399,0.129747,0.112932,1.605715,13.562854,15.168569
64599,0.129764,0.135292,1.608071,13.605283,15.213354
64799,0.129725,0.117201,1.610528,13.647745,15.258273
64999,0.129675,0.113500,1.613105,13.690307,15.303411
65199,0.129788,0.166468,1.621443,13.732835,15.354279
65399,0.129794,0.131833,1.623682,13.775320,15.399002
65599,0.129723,0.106365,1.626047,13.817801,15.443848
65799,0.129770,0.145365,1.628528,13.860323,15.488851
65999,0.129841,0.152985,1.631144,13.902851,15.533996
66199,0.129816,0.121629,1.636600,13.944813,15.581413
66399,0.129761,0.111507,1.638819,13.986734,15.625552
66599,0.129777,0.135235,1.641151,14.028771,15.669922
66799,0.129740,0.117233,1.643618,14.070645,15.714263
66999,0.129660,0.103068,1.646195,14.112493,15.758687
67199,0.129602,0.110301,1.651671,14.154489,15.806160
67399,0.129561,0.115724,1.653892,14.196399,15.850291
67599,0.129565,0.130677,1.656239,14.238507,15.894747
67799,0.129574,0.132788,1.658712,14.280536,15.939249
67999,0.129635,0.150220,1.661309,14.322587,15.983897
68199,0.129599,0.117367,1.666746,14.364688,16.031434
68399,0.129524,0.103964,1.668978,14.406731,16.075710
68599,0.129514,0.126115,1.671337,14.448837,16.120174
68799,0.129436,0.102794,1.673815,14.490903,16.164718
68999,0.129350,0.099662,1.676415,14.533141,16.209556
69199,0.129297,0.110997,1.681923,14.575278,16.257201
69399,0.129274,0.121207,1.684145,14.617445,16.301591
69599,0.129253,0.122256,1.686499,14.659710,16.346209
69799,0.129241,0.124916,1.688972,14.701908,16.390880
69999,0.129299,0.149476,1.691581,14.744320,16.435900
70199,0.129180,0.087574,1.697263,14.786456,16.483718
70399,0.129128,0.110993,1.699484,14.828483,16.527968
70599,0.129129,0.129238,1.701833,14.870562,16.572395
70799,0.129127,0.128566,1.704313,14.912618,16.616931
70999,0.129154,0.138632,1.706918,14.954788,16.661706
71199,0.129052,0.092823,1.712477,14.996838,16.709316
71399,0.128998,0.109942,1.714677,15.039003,16.753681
71599,0.128941,0.108612,1.717002,15.081123,16.798125
71799,0.128886,0.108954,1.719436,15.123284,16.842720
71999,0.128827,0.107846,1.721999,15.165504,16.887503
72199,0.128767,0.106994,1.727608,15.207596,16.935204
72399,0.128725,0.113845,1.729818,15.249693,16.979511
72599,0.128661,0.105203,1.732148,15.291778,17.023927
72799,0.128705,0.144934,1.734589,15.333957,17.068546
72999,0.128701,0.127225,1.737138,15.376095,17.113233
73199,0.128645,0.108182,1.742673,15.418148,17.160822
73399,0.128594,0.109991,1.744895,15.460251,17.205145
73599,0.128586,0.125499,1.747241,15.502434,17.249675
73799,0.128640,0.148666,1.749708,15.544698,17.294406
73999,0.128531,0.088056,1.752299,15.586926,17.339225
74199,0.128531,0.128714,1.757801,15.628977,17.386778
74399,0.128565,0.140932,1.760019,15.671132,17.431150
74599,0.128529,0.115449,1.762352,15.713238,17.475590
74799,0.128511,0.121644,1.764828,15.755465,17.520293
74999,0.128508,0.127229,1.767414,15.797574,17.564988
75199,0.128486,0.120444,1.772859,15.856961,17.629819
75399,0.128397,0.095093,1.775079,15.899230,17.674309
75599,0.128368,0.117434,1.777394,15.941466,17.718861
75799,0.128390,0.136689,1.779827,15.983665,17.763492
75999,0.128444,0.148747,1.782375,16.025923,17.808298
76199,0.128419,0.118833,1.790008,16.068215,17.858223
76399,0.128405,0.123171,1.792243,16.110419,17.902662
76599,0.128444,0.143479,1.794588,16.152670,17.947259
76799,0.128441,0.127046,1.797077,16.194991,17.992068
76999,0.128496,0.149576,1.799698,16.237257,18.036955
77199,0.128569,0.156609,1.807390,16.279621,18.087010
77399,0.128507,0.104665,1.809615,16.321808,18.131423
77599,0.128502,0.126592,1.811966,16.363998,18.175964
77799,0.128473,0.117155,1.814437,16.406256,18.220692
77999,0.128466,0.125919,1.817029,16.448516,18.265545
78199,0.128426,0.112958,1.824862,16.490624,18.315487
78399,0.128415,0.123884,1.827094,16.532789,18.359883
78599,0.128400,0.122719,1.829446,16.575100,18.404546
78799,0.128388,0.123639,1.831920,16.617403,18.449323
78999,0.128346,0.111701,1.834524,16.659807,18.494331
79199,0.128390,0.145718,1.842278,16.702033,18.544312
79399,0.128465,0.158082,1.844530,16.744318,18.588847
79599,0.128410,0.106652,1.846876,16.786584,18.633460
79799,0.128397,0.123443,1.849348,16.828881,18.678229
79999,0.128371,0.117721,1.851932,16.871220,18.723152
80199,0.128384,0.133888,1.859831,16.913560,18.773391
80399,0.128343,0.111858,1.862059,16.955910,18.817969
80599,0.128314,0.116531,1.864407,16.998257,18.862664
80799,0.128319,0.130167,1.866850,17.040627,18.907477
80999,0.128381,0.153670,1.869411,17.082965,18.952376
81199,0.128340,0.111783,1.877449,17.125329,19.002778
81399,0.128338,0.127379,1.879669,17.167599,19.047268
81599,0.128415,0.159810,1.882020,17.209981,19.092001
81799,0.128395,0.120007,1.884484,17.252467,19.136950
81999,0.128477,0.162286,1.887055,17.294913,19.181969
82199,0.128424,0.106785,1.894983,17.337119,19.232102
82399,0.128434,0.132419,1.897211,17.379559,19.276769
82599,0.128429,0.126134,1.899544,17.421796,19.321340
82799,0.128421,0.125275,1.901986,17.464092,19.366077
82999,0.128427,0.130811,1.904574,17.506493,19.411067
83199,0.128454,0.139911,1.912484,17.548634,19.461118
83399,0.128464,0.132358,1.914710,17.590888,19.505598
