# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_abrupto5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
25999,2995.632157,1288.870066,0.990150,5.557079,6.547228
26199,2982.427324,1265.799008,0.998484,5.601127,6.599611
26399,2970.621332,1424.036379,1.000732,5.645090,6.645822
26599,2957.175417,1182.314615,1.003096,5.688474,6.691570
26799,2945.598332,1405.846022,1.005553,5.732186,6.737739
26999,2933.377687,1295.811336,1.008124,5.775926,6.784050
27199,2922.466933,1449.515080,1.016433,5.819857,6.836290
27399,2909.916565,1203.066476,1.018678,5.863626,6.882304
27599,2898.155218,1286.850750,1.021034,5.906968,6.928002
27799,2888.814017,1599.728211,1.023507,5.950364,6.973871
27999,2877.514248,1306.846405,1.026118,5.994369,7.020487
28199,2868.436355,1597.531278,1.034240,6.038151,7.072390
28399,2859.539233,1605.045027,1.036492,6.082031,7.118523
28599,2849.780992,1464.110783,1.038837,6.125345,7.164181
28799,2839.834081,1417.425787,1.041322,6.169005,7.210327
28999,2830.403823,1472.446665,1.043936,6.212741,7.256677
29199,2822.603171,1691.508673,1.052290,6.256608,7.308897
29399,2811.836168,1239.853739,1.054551,6.300651,7.355201
29599,2801.524929,1285.772744,1.056873,6.343929,7.400802
29799,2792.167685,1407.295578,1.059323,6.387629,7.446952
29999,2783.369947,1472.506997,1.061888,6.431371,7.493259
30199,2774.229173,1403.113157,1.070391,6.475160,7.545551
30399,2765.576710,1459.054797,1.072648,6.519328,7.591976
30599,2757.646691,1552.283763,1.074976,6.562677,7.637653
30799,2748.269878,1313.617553,1.077460,6.606555,7.684014
30999,2740.631067,1564.254051,1.080053,6.650091,7.730144
31199,2731.202764,1269.815862,1.088315,6.694172,7.782488
31399,2724.910101,1743.254711,1.090564,6.737964,7.828528
31599,2716.990241,1473.572183,1.092906,6.781351,7.874258
31799,2709.022148,1450.063383,1.095394,6.825246,7.920640
31999,2700.731711,1382.552326,1.098015,6.869340,7.967355
32199,2694.563140,1707.591814,1.132625,6.913493,8.046118
32399,2685.597235,1242.086463,1.134886,6.957668,8.092554
32599,2678.906060,1594.935688,1.137212,7.000684,8.137896
32799,2671.975316,1542.264130,1.139635,7.043663,8.183297
32999,2665.736153,1642.513414,1.142206,7.087568,8.229773
33199,2661.374378,1941.681445,1.150002,7.130938,8.280940
33399,2653.360677,1323.086247,1.152231,7.176209,8.328440
33599,2646.830878,1556.354566,1.154544,7.219328,8.373872
33799,2639.217806,1360.221614,1.156960,7.262358,8.419318
33999,2634.096908,1768.665275,1.159573,7.306336,8.465909
34199,2629.033347,1768.227850,1.167674,7.349904,8.517578
34399,2623.466760,1671.580507,1.169906,7.393611,8.563517
34599,2616.889822,1485.656437,1.172210,7.436600,8.608810
34799,2611.464382,1672.863198,1.174604,7.479501,8.654104
34999,2605.016527,1483.089766,1.177165,7.523176,8.700342
