# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_abrupto3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
21399,3398.995486,3445.775840,75.800664,6.357735,82.158399
21599,3391.286825,2566.460101,76.652947,6.423145,83.076092
21799,3384.492781,2650.736012,77.589432,6.489282,84.078714
21999,3373.408001,2165.167012,78.678971,6.555804,85.234774
22199,3366.353505,2590.358987,79.554810,6.621421,86.176231
22399,3355.452323,2145.421070,80.445522,6.687469,87.132991
22599,3347.137444,2415.871042,81.576364,6.754305,88.330669
22799,3342.479241,2816.102333,82.419969,6.820160,89.240129
22999,3337.180676,2733.144189,83.533958,6.886211,90.420169
23199,3334.483044,3024.255410,84.464673,6.952293,91.416966
23399,3334.427168,3327.945576,85.338216,7.018207,92.356423
23599,3334.556236,3349.657120,86.485671,7.084677,93.570348
23799,3329.140579,2690.093092,87.416274,7.151555,94.567829
23999,3323.322315,2630.948895,88.587896,7.218660,95.806557
24199,3316.189064,2460.198950,89.517809,7.285465,96.803275
24399,3314.347763,3091.550389,90.412379,7.351982,97.764361
24599,3307.579389,2481.837674,91.637249,7.419553,99.056802
24799,3302.557559,2684.872454,92.573298,7.486747,100.060045
24999,3296.083261,2493.270358,93.712178,7.553620,101.265798
25199,3291.402711,2706.333913,94.659577,7.620431,102.280008
25399,3285.627295,2557.924890,95.918784,7.687556,103.606340
25599,3281.049215,2699.633061,97.145916,7.754515,104.900431
25799,3279.084366,3027.583780,98.145844,7.821717,105.967561
25999,3272.545857,2429.078190,99.360589,7.889373,107.249962
26199,3268.653126,2762.598056,100.343530,7.956835,108.300364
26399,3266.941004,3042.653002,101.585716,8.024853,109.610569
26599,3265.453209,3069.064329,102.533062,8.092225,110.625287
26799,3257.313132,2174.682797,103.775788,8.160450,111.936237
26999,3248.516331,2069.745101,104.737265,8.228266,112.965530
27199,3245.660036,2860.060205,105.706611,8.295957,114.002568
27399,3239.072849,2343.215327,106.934388,8.364106,115.298494
27599,3230.325284,2031.908975,107.915756,8.431924,116.347680
27799,3225.010829,2491.615959,109.115731,8.500233,117.615963
27999,3219.723554,2484.792317,110.090652,8.567913,118.658565
28199,3213.823068,2387.755055,111.319061,8.636284,119.955345
28399,3206.892989,2229.751895,112.334688,8.704456,121.039143
28599,3202.908054,2637.047290,113.616975,8.772668,122.389643
28799,3198.640171,2588.332863,114.666602,8.841047,123.507649
28999,3190.544659,2024.790896,115.951736,8.909756,124.861491
29199,3187.727293,2779.209198,116.916573,8.977857,125.894429
29399,3184.423573,2702.080528,118.288863,9.046648,127.335511
29599,3177.566303,2169.547643,119.303969,9.115486,128.419456
29799,3176.118460,2961.837686,120.564779,9.183555,129.748335
29999,3172.240714,2594.456526,121.563321,9.251976,130.815297
30199,3167.709638,2488.048303,122.855756,9.320729,132.176485
30399,3164.323715,2653.049257,123.866710,9.388980,133.255690
30599,3163.268742,3002.912813,125.206227,9.458261,134.664489
30799,3156.891644,2181.195658,126.229332,9.527082,135.756414
30999,3147.854840,1756.187088,127.562366,9.596588,137.158954
31199,3142.191629,2264.393824,128.588764,9.665726,138.254490
31399,3139.091606,2655.488127,130.064801,9.735123,139.799924
31599,3136.747152,2768.667806,131.445653,9.804498,141.250151
31799,3135.038338,2865.045694,132.648891,9.873979,142.522870
31999,3133.735311,2926.554130,134.070316,9.943422,144.013738
32199,3133.142885,3038.354605,135.492186,10.013760,145.505946
32399,3130.116380,2642.849176,136.563277,10.083070,146.646347
32599,3127.286794,2668.893756,137.991800,10.152500,148.144300
32799,3120.406611,1998.936877,139.366320,10.222129,149.588449
32999,3118.138313,2746.137405,140.383319,10.291253,150.674572
33199,3114.896390,2579.979049,141.815524,10.360538,152.176062
33399,3114.628130,3070.097048,142.919722,10.430496,153.350218
33599,3115.696556,3294.123653,144.313958,10.500341,154.814299
33799,3111.685567,2437.839386,145.343507,10.569703,155.913210
33999,3109.428952,2728.061144,146.799038,10.639400,157.438438
34199,3108.063357,2875.912112,148.244343,10.709745,158.954088
34399,3101.883760,2045.172729,149.395275,10.780146,160.175421
34599,3097.825298,2399.769881,150.767609,10.849890,161.617499
34799,3098.086588,3143.289749,151.883878,10.919670,162.803548
34999,3090.649942,1796.673530,153.347843,10.990450,164.338293
35199,3087.319224,2504.443553,154.809213,11.061195,165.870408
35399,3087.033184,3036.690129,155.889996,11.131167,167.021163
35599,3083.844910,2519.520422,157.374368,11.201496,168.575864
35799,3082.572118,2856.015095,158.476068,11.271628,169.747696
35999,3081.799410,2943.484679,159.965390,11.342271,171.307660
36199,3078.477459,2480.526234,161.092359,11.412473,172.504832
36399,3073.628552,2195.976458,162.635091,11.483111,174.118202
36599,3070.891683,2572.781516,164.214813,11.554296,175.769109
36799,3066.812009,2320.231646,165.828303,11.625251,177.453553
36999,3066.844210,3072.769290,166.963531,11.695726,178.659258
37199,3064.984199,2720.882027,168.440501,11.766456,180.206957
37399,3064.094283,2898.569903,169.527512,11.836811,181.364323
37599,3061.312347,2541.090452,171.055407,11.907284,182.962691
37799,3059.909106,2796.099752,172.592541,11.978602,184.571144
37999,3057.702860,2640.722347,173.662282,12.049609,185.711891
38199,3056.359942,2801.205513,175.247349,12.120397,187.367746
38399,3054.104975,2623.406237,176.815874,12.191485,189.007359
38599,3050.188218,2298.170828,178.454792,12.262677,190.717469
38799,3046.798532,2392.589211,179.571967,12.333278,191.905245
38999,3048.722905,3422.051203,181.229611,12.404404,193.634015
39199,3044.661655,2252.717990,182.770094,12.475302,195.245396
39399,3043.615278,2838.525364,184.016566,12.546763,196.563329
39599,3041.473976,2619.637423,185.565190,12.617893,198.183083
39799,3039.771520,2702.685243,187.199847,12.689062,199.888909
39999,3037.059540,2497.375599,188.856701,12.760540,201.617242
40199,3033.465605,2314.678518,190.061504,12.831812,202.893316
40399,3033.559178,3052.367430,191.635501,12.902540,204.538041
40599,3027.057174,1713.652433,193.169200,12.973942,206.143142
40799,3024.625974,2531.092386,194.454288,13.045264,207.499551
40999,3022.317513,2551.391456,196.068001,13.117312,209.185313
41199,3019.548389,2451.877848,197.745907,13.189663,210.935570
41399,3016.780074,2446.507184,198.936428,13.261027,212.197456
41599,3016.944356,3050.950873,200.510242,13.333035,213.843277
41799,3015.900587,2798.796523,202.248437,13.404659,215.653096
41999,3009.796934,1734.133564,203.986242,13.476767,217.463009
42199,3007.978966,2626.205574,205.720820,13.549354,219.270174
42399,3005.291699,2438.278340,207.012631,13.621481,220.634112
42599,2998.843875,1631.905287,208.727981,13.693639,222.421620
42799,2995.254562,2230.730754,210.343661,13.765420,224.109080
42999,2992.800622,2467.657636,211.982651,13.837326,225.819977
43199,2989.202612,2215.630284,213.714226,13.909625,227.623851
43399,2987.546888,2629.910617,214.930542,13.981737,228.912280
43599,2982.140496,1808.953421,216.745528,14.054369,230.799898
43799,2977.638300,1996.159561,218.506682,14.126884,232.633566
43999,2974.842137,2362.482446,220.224573,14.199090,234.423662
44199,2973.767589,2737.366960,221.978625,14.271583,236.250208
44399,2972.320308,2652.471296,223.712795,14.344195,238.056990
44599,2969.430102,2327.804277,225.573983,14.416725,239.990708
44799,2965.242427,2031.390900,226.861115,14.489046,241.350161
44999,2960.387359,1872.852252,228.733302,14.561771,243.295073
45199,2958.996655,2646.088138,230.480289,14.634630,245.114919
45399,2957.641214,2651.311531,232.173358,14.707152,246.880511
45599,2958.083894,3058.572422,233.874366,14.780261,248.654628
45799,2959.368690,3252.302048,235.662314,14.852719,250.515033
45999,2959.927137,3087.811438,237.022383,14.924930,251.947314
46199,2957.108096,2308.728754,238.789329,14.997902,253.787231
46399,2954.977403,2462.787343,240.617368,15.070537,255.687906
46599,2952.782396,2443.540652,242.508426,15.143864,257.652290
46799,2952.060529,2783.865658,244.290038,15.216627,259.506665
46999,2949.177235,2274.486509,246.086745,15.289304,261.376049
47199,2943.650541,1644.877319,247.395706,15.361745,262.757451
47399,2943.414252,2887.650147,249.077232,15.434000,264.511232
47599,2940.827094,2327.670560,250.889999,15.507330,266.397328
47799,2940.376429,2833.118134,252.865608,15.580425,268.446034
47999,2938.627296,2520.584539,254.112079,15.653282,269.765361
48199,2934.263200,1886.880274,255.978351,15.726553,271.704904
48399,2931.693750,2312.456235,257.810576,15.799469,273.610045
48599,2927.141306,1825.449918,259.630695,15.872469,275.503164
48799,2925.028789,2411.687022,261.553498,15.945788,277.499286
48999,2922.517505,2309.764123,263.369782,16.018712,279.388494
49199,2921.336155,2631.905419,265.262390,16.092090,281.354479
49399,2917.367551,1941.091075,267.197555,16.165827,283.363382
49599,2913.018783,1838.873108,269.187554,16.239241,285.426795
49799,2910.626826,2317.421562,270.488103,16.312500,286.800603
49999,2906.867300,1970.745292,272.449153,16.385862,288.835016
50199,3030.769710,34006.372215,274.493605,16.464173,290.957778
50399,3107.509507,22369.198611,275.302336,16.516901,291.819237
50599,3164.314306,17479.123500,275.792392,16.564567,292.356959
