# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_incremental2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
28399,0.148683,0.164871,12.200772,6.312162,18.512934
28599,0.148631,0.141292,12.281165,6.356360,18.637524
28799,0.148757,0.166684,12.362546,6.400755,18.763301
28999,0.148677,0.137230,12.443525,6.444895,18.888420
29199,0.148668,0.147263,12.531391,6.489473,19.020864
29399,0.148803,0.168511,12.611608,6.533868,19.145476
29599,0.148730,0.138007,12.692884,6.578116,19.271000
29799,0.148730,0.148833,12.773767,6.622583,19.396350
29999,0.148731,0.148885,12.854183,6.666706,19.520889
30199,0.148634,0.134019,12.942070,6.711389,19.653459
30399,0.148647,0.150624,13.023578,6.755761,19.779339
30599,0.148873,0.183270,13.104255,6.800180,19.904436
30799,0.148762,0.131678,13.185562,6.844925,20.030487
30999,0.148846,0.161813,13.266458,6.889095,20.155554
31199,0.149062,0.182542,13.355425,6.933653,20.289078
31399,0.149095,0.154191,13.435743,6.977949,20.413692
31599,0.149029,0.138739,13.516362,7.022383,20.538745
31799,0.149263,0.186258,13.597722,7.067253,20.664975
31999,0.149242,0.145898,13.679583,7.111529,20.791112
32199,0.149248,0.150236,13.767654,7.156117,20.923771
32399,0.149342,0.164507,13.847812,7.200204,21.048015
32599,0.149412,0.160728,13.928693,7.244702,21.173394
32799,0.149689,0.194859,14.011521,7.289655,21.301176
32999,0.149780,0.164572,14.092590,7.333988,21.426578
33199,0.149935,0.175578,14.180550,7.378704,21.559254
33399,0.149897,0.143554,14.261324,7.423220,21.684544
33599,0.150173,0.196212,14.343172,7.467919,21.811092
