# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D-SEM] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [SEM_RESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ALL_incremental1.out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D-SEM],current_mse_[D-SEM],mean_mse_[SEM_RESET],current_mse_[SEM_RESET],mean_mse_[HTR],current_mse_[HTR],mean_mse_[HTRA],current_mse_[HTRA],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D-SEM],testing_time_[D-SEM],total_running_time_[D-SEM],training_time_[SEM_RESET],testing_time_[SEM_RESET],total_running_time_[SEM_RESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
4599,0.166646,0.135477,0.166646,0.135477,0.166646,0.135477,0.166646,0.135477,0.148681,0.115566,0.148562,0.115585,1.823693,1.174260,2.997953,0.107121,1.130465,1.237586,1.790815,1.074225,2.865041,0.101243,1.115690,1.216933,0.705986,0.139318,0.845304,1.463136,0.108186,1.571322
4799,0.166112,0.153844,0.166112,0.153844,0.166112,0.153844,0.166112,0.153844,0.148282,0.139105,0.148168,0.139096,1.888129,1.216311,3.104440,0.108788,1.170582,1.279371,1.855252,1.114765,2.970017,0.102694,1.157508,1.260201,0.726098,0.145031,0.871129,1.524526,0.112713,1.637238
4999,0.165101,0.140826,0.165101,0.140826,0.165101,0.140826,0.165101,0.140826,0.147969,0.140470,0.147864,0.140558,1.956159,1.258137,3.214296,0.110854,1.208757,1.319611,1.925219,1.152992,3.078211,0.104580,1.196572,1.301151,0.763701,0.151215,0.914916,1.608792,0.117681,1.726473
5199,0.166403,0.198964,0.166403,0.198964,0.166403,0.198964,0.166403,0.198964,0.148716,0.167389,0.148616,0.167421,2.035258,1.330575,3.365832,0.123468,1.248018,1.371486,2.003262,1.191533,3.194795,0.114877,1.236488,1.351365,0.801881,0.157384,0.959265,1.697006,0.122725,1.819731
5399,0.166813,0.177471,0.166813,0.177471,0.166813,0.177471,0.166813,0.177471,0.148484,0.142434,0.148387,0.142451,2.100084,1.372205,3.472289,0.124918,1.286854,1.411772,2.068685,1.230982,3.299667,0.116245,1.274799,1.391044,0.837338,0.163498,1.000836,1.779992,0.127681,1.907673
5599,0.165963,0.143018,0.165963,0.143018,0.165963,0.143018,0.165963,0.143018,0.148388,0.145797,0.148295,0.145801,2.160593,1.409716,3.570308,0.126430,1.321783,1.448214,2.130101,1.265096,3.395197,0.117749,1.308970,1.426718,0.881043,0.169048,1.050091,1.869009,0.132262,2.001271
5799,0.165182,0.143295,0.165182,0.143295,0.165182,0.143295,0.165182,0.143295,0.147953,0.135784,0.147862,0.135725,2.226092,1.448360,3.674451,0.128096,1.358928,1.487024,2.195970,1.301001,3.496972,0.119283,1.345577,1.464860,0.902874,0.174771,1.077646,1.939423,0.136925,2.076349
5999,0.165406,0.171898,0.165406,0.171898,0.165406,0.171898,0.165406,0.171898,0.148223,0.156041,0.148136,0.156102,2.286589,1.486448,3.773037,0.129697,1.394912,1.524609,2.255967,1.337359,3.593326,0.120832,1.381627,1.502459,0.932174,0.180195,1.112369,2.011788,0.141357,2.153146
6199,0.164527,0.138171,0.164527,0.138171,0.164527,0.138171,0.164527,0.138171,0.147511,0.126173,0.147426,0.126113,2.354753,1.525448,3.880201,0.140515,1.431374,1.571889,2.324751,1.374307,3.699058,0.129440,1.417772,1.547212,0.957509,0.185260,1.142769,2.080029,0.145466,2.225495
6399,0.163128,0.119771,0.163128,0.119771,0.163128,0.119771,0.163128,0.119771,0.146735,0.122675,0.146652,0.122649,2.428545,1.574979,4.003524,0.141931,1.479205,1.621136,2.400053,1.419899,3.819952,0.130800,1.463614,1.594413,0.996579,0.191304,1.187883,2.161957,0.150200,2.312157
6599,0.162284,0.135274,0.162284,0.135274,0.162284,0.135274,0.162284,0.135274,0.146003,0.122584,0.145921,0.122541,2.494766,1.617405,4.112171,0.143509,1.517423,1.660933,2.466318,1.457814,3.924132,0.132340,1.501699,1.634039,1.018887,0.197299,1.216186,2.234714,0.155102,2.389815
6799,0.161399,0.132188,0.161399,0.132188,0.161399,0.132188,0.161399,0.132188,0.145403,0.125585,0.145323,0.125574,2.616320,1.693794,4.310114,0.146129,1.581266,1.727394,2.577824,1.514610,4.092434,0.134629,1.561304,1.695932,1.073419,0.205489,1.278908,2.350877,0.161288,2.512165
6999,0.161756,0.173895,0.161756,0.173895,0.161756,0.173895,0.161756,0.173895,0.145276,0.140978,0.145198,0.140954,2.717928,1.759011,4.476939,0.148601,1.674710,1.823310,2.694382,1.577260,4.271642,0.137051,1.620529,1.757580,1.100001,0.213442,1.313443,2.442930,0.167453,2.610383
