# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
41199,2579.208488,1874.278922,17.653100,9.170027,26.823127
41399,2578.223926,2375.403985,17.734001,9.214619,26.948621
41599,2576.081522,2132.603901,17.820898,9.259116,27.080015
41799,2573.581669,2053.612312,17.901529,9.303736,27.205265
41999,2569.167138,1646.530265,17.982431,9.348347,27.330778
42199,2566.731484,2055.244142,18.063622,9.392908,27.456530
42399,2567.890594,2812.462743,18.145692,9.437342,27.583033
42599,2565.083249,1969.926128,18.232746,9.481883,27.714629
42799,2562.248956,1958.544459,18.313087,9.526357,27.839444
42999,2560.379086,2160.226918,18.394167,9.571087,27.965255
43199,2558.515563,2157.858138,18.476438,9.615855,28.092293
43399,2555.389014,1880.054446,18.558045,9.660698,28.218743
43599,2552.242382,1869.423233,18.645655,9.705422,28.351077
43799,2549.159931,1877.185518,18.726286,9.749946,28.476232
43999,2545.338597,1708.466469,18.808037,9.794392,28.602429
44199,2542.130135,1836.268550,18.889040,9.838889,28.727929
44399,2541.656604,2437.006349,18.970195,9.883451,28.853646
44599,2538.479490,1833.160210,19.057356,9.927965,28.985321
44799,2534.676796,1686.675842,19.138873,9.972547,29.111419
44999,2533.119801,2184.352921,19.219688,10.017165,29.236852
45199,2529.526698,1721.078565,19.300216,10.061417,29.361633
45399,2528.449850,2285.082265,19.381349,10.106104,29.487453
45599,2525.356208,1823.099479,19.469854,10.150750,29.620604
45799,2521.494472,1641.018736,19.550552,10.195370,29.745922
45999,2519.858253,2145.163902,19.631487,10.239933,29.871421
46199,2516.429360,1727.784038,19.712677,10.284616,29.997293
46399,2513.004389,1721.836154,19.795162,10.329366,30.124528
46599,2510.967562,2038.423558,19.882545,10.373812,30.256357
