# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_abrupto5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
43599,2462.084696,1797.363779,19.012659,9.771632,28.784291
43799,2460.207174,2050.907451,19.093071,9.816138,28.909209
43999,2459.344435,2270.404578,19.175040,9.860933,29.035973
44199,2460.118678,2630.452191,19.256292,9.905768,29.162060
44399,2460.587155,2564.120440,19.337874,9.950635,29.288509
44599,2462.006840,2777.176965,19.423117,9.995427,29.418545
44799,2461.283748,2300.034250,19.504522,10.039901,29.544424
44999,2459.310716,2017.351593,19.585612,10.084573,29.670185
45199,2459.231973,2441.514736,19.666786,10.129179,29.795965
45399,2459.813699,2591.283908,19.748020,10.173786,29.921806
45599,2458.984830,2270.831356,19.834134,10.218460,30.052593
45799,2457.313134,2076.166601,19.914943,10.263086,30.178030
45999,2457.500198,2500.337711,19.996071,10.307737,30.303808
46199,2456.280854,2175.831856,20.077893,10.352702,30.430595
46399,2456.333564,2468.509460,20.160868,10.397543,30.558410
46599,2454.651612,2064.438851,20.246076,10.442235,30.688311
46799,2451.431589,1701.166127,20.326780,10.486928,30.813708
46999,2452.629131,2732.854111,20.408135,10.531791,30.939926
47199,2450.243107,1889.527346,20.490605,10.576732,31.067337
47399,2450.864364,2597.481171,20.572244,10.621508,31.193753
47599,2448.964212,1998.628167,20.657943,10.666155,31.324098
47799,2449.317621,2533.428895,20.739029,10.711026,31.450055
47999,2448.740426,2310.790765,20.821106,10.755755,31.576860
48199,2445.786367,1736.812325,20.902783,10.800541,31.703323
48399,2444.299877,2086.055732,20.984493,10.845365,31.829857
48599,2441.375938,1733.782726,21.070120,10.890110,31.960230
48799,2440.806465,2302.424580,21.180194,10.935091,32.115285
48999,2439.381720,2091.743759,21.261135,10.980040,32.241174
49199,2439.344414,2430.204505,21.347354,11.024961,32.372315
49399,2438.651810,2268.271308,21.428359,11.069787,32.498146
49599,2439.139410,2559.576448,21.562390,11.114738,32.677128
49799,2437.824399,2111.701667,21.643743,11.159987,32.803730
49999,2436.519599,2111.624533,21.725858,11.205614,32.931472
50199,2533.958859,26893.773783,21.892394,11.250502,33.142896
50399,2586.786881,15846.620563,22.000898,11.295723,33.296621
50599,2686.186793,27734.964632,22.175171,11.341287,33.516459
50799,2768.247689,23529.654294,22.280432,11.386402,33.666834
50999,2851.924869,24105.928538,22.363944,11.431202,33.795146
51199,2933.699137,23786.137512,22.449122,11.476246,33.925368
51399,3004.563928,21145.950288,22.560706,11.521418,34.082124
51599,3063.007654,18083.045419,22.645358,11.566389,34.211747
51799,3119.431118,17676.684791,22.730712,11.611605,34.342317
51999,3177.486365,18213.795430,22.810941,11.656435,34.467376
52199,3230.337750,16971.697637,22.894353,11.701460,34.595813
52399,3261.708038,11449.353291,22.973962,11.746187,34.720149
52599,3301.500212,13727.049702,23.053744,11.790945,34.844689
52799,3329.038616,10571.639062,23.134403,11.835760,34.970163
52999,3376.278065,15847.492514,23.214427,11.880410,35.094837
53199,3411.825007,12831.764635,23.298447,11.925187,35.223634
53399,3446.756000,12738.400180,23.377976,11.969722,35.347697
53599,3484.509678,13564.741701,23.458581,12.014281,35.472862
53799,3526.954162,14902.075821,23.538426,12.058796,35.597222
53999,3563.093901,13284.683746,23.618533,12.103296,35.721829
54199,3600.619313,13732.480398,23.702657,12.147954,35.850611
54399,3630.928187,11844.633142,23.783392,12.192706,35.976097
54599,3660.454771,11691.685630,23.888096,12.237671,36.125768
54799,3689.882827,11723.742186,23.973221,12.282627,36.255848
54999,3719.060928,11713.860404,24.053446,12.327781,36.381227
55199,3741.255990,9844.898201,24.134692,12.372843,36.507535
55399,3762.144902,9527.484672,24.220334,12.417722,36.638057
55599,3778.767635,8383.264578,24.341936,12.462725,36.804661
55799,3798.124296,9179.276072,24.427905,12.507832,36.935737
55999,3818.617354,9536.180574,24.509431,12.553051,37.062482
56199,3838.544097,9418.032141,24.590303,12.598205,37.188508
56399,3859.426272,9727.317286,24.677029,12.643355,37.320384
56599,3875.888092,8518.121420,24.757496,12.688343,37.445839
56799,3888.367362,7420.000829,24.838735,12.733400,37.572135
56999,3906.549634,9070.314733,24.919413,12.778295,37.697708
57199,3928.168927,10089.667464,25.000234,12.823212,37.823446
57399,3950.668893,10385.659367,25.087935,12.868276,37.956210
57599,3972.512587,10241.652602,25.169373,12.913328,38.082702
57799,3983.392791,7116.891708,25.250284,12.958497,38.208781
57999,4001.069318,9109.585569,25.331087,13.003426,38.334512
58199,4023.874880,10637.487843,25.412501,13.048645,38.461146
58399,4042.088794,9342.337692,25.517929,13.093690,38.611619
58599,4063.969055,10453.005394,25.600958,13.138494,38.739452
58799,4084.692423,10156.639038,25.684088,13.183381,38.867469
58999,4105.648221,10266.652959,25.764215,13.228024,38.992239
59199,4121.431331,8777.448911,25.845469,13.272779,39.118248
59399,4142.121953,10266.546043,25.929243,13.317577,39.246820
59599,4160.096525,9498.544315,26.009862,13.362448,39.372310
59799,4174.346164,8420.738419,26.090757,13.407425,39.498182
59999,4188.509419,8423.322893,26.172246,13.452170,39.624416
