# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTR_abrupto2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTR],current_mse_[HTR],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
42799,4539.056973,2901.908628,5.605113,1.036239,6.641352
42999,4532.129185,3049.582500,5.622117,1.041321,6.663439
43199,4524.630352,2912.381182,5.668618,1.046414,6.715033
43399,4519.614379,3436.164306,5.713187,1.051535,6.764722
43599,4510.719075,2580.438105,5.746373,1.056638,6.803011
43799,4502.286044,2663.885175,5.762959,1.061681,6.824640
43999,4496.302428,3185.890623,5.793460,1.066776,6.860236
44199,4493.422701,3859.882794,5.819901,1.071864,6.891765
44399,4488.247836,3344.602631,5.906851,1.077038,6.983889
44599,4483.291735,3383.037234,5.937563,1.082131,7.019694
44799,4474.316994,2472.949830,5.969386,1.087204,7.056590
44999,4466.557369,2728.401341,5.997136,1.092284,7.089420
45199,4461.552340,3335.420751,6.027660,1.097374,7.125034
45399,4456.626186,3343.315573,6.059661,1.102473,7.162134
45599,4452.761008,3575.365527,6.075931,1.107539,7.183470
45799,4450.444577,3922.298190,6.113584,1.112620,7.226204
45999,4447.387011,3747.204434,6.130407,1.117709,7.248116
46199,4442.741359,3374.241577,6.160467,1.122843,7.283310
46399,4436.321477,2953.328705,6.184690,1.127947,7.312637
46599,4429.501823,2847.342075,6.221495,1.133069,7.354565
46799,4424.510520,3261.536910,6.263177,1.138175,7.401352
46999,4418.423458,2994.050858,6.279865,1.143268,7.423134
47199,4410.498254,2548.075268,6.297249,1.148348,7.445597
47399,4406.836201,3542.591781,6.357388,1.153468,7.510856
47599,4400.697985,2945.940703,6.401457,1.158580,7.560037
47799,4396.028183,3284.615292,6.418109,1.163647,7.581756
47999,4391.829576,3388.362570,6.445041,1.168769,7.613810
48199,4385.591647,2888.488744,6.486375,1.173905,7.660280
48399,4379.347359,2874.473892,6.520947,1.179035,7.699981
48599,4371.207560,2401.376285,6.537401,1.184118,7.721520
48799,4366.274259,3167.482175,6.576369,1.189258,7.765627
48999,4361.490811,3194.329460,6.635530,1.194443,7.829973
49199,4357.930774,3485.721770,6.651798,1.199543,7.851341
49399,4350.450720,2510.357408,6.741468,1.204769,7.946237
49599,4343.279778,2572.057065,6.770799,1.209873,7.980673
49799,4337.813083,2982.072798,6.787852,1.214970,8.002822
49999,4332.427476,2991.411136,6.813028,1.220078,8.033106
50199,4463.373283,37199.825051,6.859635,1.225194,8.084829
50399,4575.517580,32723.736276,6.884238,1.230305,8.114543
50599,4669.438168,28337.426345,6.915996,1.235422,8.151418
50799,4807.597585,39761.929947,6.932748,1.240532,8.173280
50999,4921.010964,33728.009159,6.959664,1.245645,8.205309
51199,4998.489711,24755.570185,6.993019,1.250779,8.243798
51399,5099.741819,31020.281473,7.030184,1.255888,8.286072
51599,5185.763923,27293.444844,7.063047,1.261029,8.324076
51799,5268.324651,26568.992530,7.096607,1.266161,8.362767
51999,5373.514004,32617.556295,7.113566,1.271299,8.384865
52199,5496.574097,37492.198238,7.129441,1.276397,8.405838
52399,5582.339456,27967.098111,7.153108,1.281522,8.434630
52599,5683.893551,32291.066471,7.170041,1.286662,8.456703
52799,5756.054916,24734.494032,7.186236,1.291763,8.477999
52999,5868.884457,35655.883136,7.203187,1.296897,8.500085
53199,5959.585863,29995.458458,7.219876,1.302007,8.521883
53399,6040.129799,27464.816985,7.237244,1.307154,8.544398
53599,6130.149772,30165.482381,7.271910,1.312312,8.584221
53799,6230.586202,33147.549370,7.335156,1.317483,8.652639
53999,6311.716914,28135.878507,7.352004,1.322612,8.674615
54199,6404.732302,31518.887029,7.384448,1.327738,8.712186
54399,6503.987242,33402.075989,7.482599,1.332978,8.815577
54599,6583.691179,28263.162232,7.513486,1.338124,8.851610
54799,6675.808146,31823.740127,7.550963,1.343259,8.894222
54999,6762.662682,30560.805375,7.582712,1.348379,8.931091
55199,6825.025555,23974.815684,7.609276,1.353521,8.962798
55399,6901.285250,27948.961087,7.625758,1.358622,8.984380
55599,6978.368503,28330.429603,7.642956,1.363733,9.006688
55799,7048.901623,26657.108953,7.659944,1.368851,9.028796
55999,7127.750967,29126.718065,7.677162,1.374008,9.051170
56199,7201.788096,27932.184224,7.710534,1.379147,9.089681
56399,7282.633094,30000.077447,7.736859,1.384264,9.121123
56599,7355.519510,27909.488858,7.784635,1.389397,9.174032
56799,7416.941221,24799.285505,7.809433,1.394521,9.203953
56999,7488.462381,27800.471663,7.844406,1.399699,9.244105
57199,7554.493758,26373.436235,7.870443,1.404838,9.275282
57399,7617.205835,25552.859905,7.888469,1.409974,9.298442
57599,7679.128138,25450.829031,7.905755,1.415109,9.320864
57799,7732.074817,22980.718248,7.923423,1.420270,9.343693
57999,7814.381061,31600.885751,7.967217,1.425445,9.392662
58199,7891.386660,30223.010228,8.018705,1.430636,9.449341
58399,7951.788986,25528.865898,8.046501,1.435804,9.482305
58599,8009.913040,24982.136720,8.075276,1.440934,9.516210
58799,8085.063932,30104.275376,8.093223,1.446045,9.539267
58999,8138.781792,23931.832696,8.110186,1.451147,9.561333
59199,8195.872076,25037.505950,8.196222,1.456404,9.652625
59399,8259.286183,27029.861641,8.213696,1.461560,9.675256
59599,8310.743712,23593.629959,8.245946,1.466726,9.712672
59799,8370.448259,26162.403244,8.263345,1.471872,9.735217
59999,8421.455624,23672.657727,8.281553,1.477022,9.758575
60199,8478.578994,25615.590049,8.298963,1.482170,9.781133
60399,8541.364189,27439.708008,8.333653,1.487357,9.821010
60599,8594.789089,24729.108717,8.351201,1.492507,9.843708
60799,8636.033142,21132.981356,8.411787,1.497740,9.909527
60999,8698.404175,27659.198116,8.429669,1.502912,9.932581
61199,8748.639590,24070.441031,8.447365,1.508085,9.955451
61399,8801.558181,24994.647037,8.465504,1.513240,9.978744
61599,8865.641497,28539.219723,8.495004,1.518408,10.013411
