# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegR] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegR_abrupto3.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegR],current_mse_[AXGBRegR],training_time_[AXGBRegR],testing_time_[AXGBRegR],total_running_time_[AXGBRegR]
21399,3333.394549,1383.362797,0.465421,4.089060,4.554482
21599,3313.813593,1218.651276,0.466935,4.120588,4.587523
21799,3297.018993,1483.202221,0.468564,4.152995,4.621559
21999,3277.524175,1152.589038,0.470170,4.182053,4.652223
22199,3262.308644,1588.600235,0.484267,4.215792,4.700059
22399,3245.173567,1343.180003,0.485595,4.247216,4.732811
22599,3228.795025,1394.398325,0.487167,4.281073,4.768240
22799,3211.742529,1284.810429,0.488714,4.310779,4.799493
22999,3194.662629,1247.554017,0.490399,4.343506,4.833905
23199,3181.604153,1679.879483,0.503475,4.381975,4.885450
23399,3167.345845,1513.382084,0.504904,4.415848,4.920752
23599,3155.293069,1745.118277,0.506520,4.447926,4.954445
23799,3140.572805,1403.581661,0.508133,4.477861,4.985994
23999,3125.802392,1368.123281,0.509767,4.509532,5.019298
24199,3112.256427,1486.740556,0.525389,4.538064,5.063453
24399,3098.411911,1423.225532,0.526771,4.568871,5.095642
24599,3085.207548,1474.275278,0.528111,4.596543,5.124655
24799,3071.503503,1385.905909,0.529613,4.626879,5.156491
24999,3058.205782,1409.288344,0.531387,4.661329,5.192716
25199,3043.043372,1147.742127,0.546983,4.712812,5.259795
25399,3029.863320,1369.176798,0.548409,4.746059,5.294468
25599,3020.640987,1849.404679,0.549847,4.776940,5.326787
25799,3008.862871,1501.264059,0.551375,4.807248,5.358623
25999,2995.632157,1288.870066,0.553165,4.841116,5.394282
26199,2982.427324,1265.799008,0.567165,4.871691,5.438856
26399,2970.621332,1424.036379,0.568580,4.903966,5.472545
26599,2957.175417,1182.314615,0.570009,4.932615,5.502624
26799,2945.598332,1405.846022,0.571551,4.967841,5.539392
26999,2933.377687,1295.811336,0.573403,5.007779,5.581182
27199,2922.466933,1449.515080,0.588169,5.041855,5.630024
27399,2909.916565,1203.066476,0.589571,5.074252,5.663823
27599,2898.155218,1286.850750,0.591039,5.106569,5.697608
27799,2888.814017,1599.728211,0.592470,5.133776,5.726246
27999,2877.514248,1306.846405,0.594124,5.165934,5.760058
28199,2868.436355,1597.531278,0.608739,5.202416,5.811155
28399,2859.539233,1605.045027,0.609939,5.230191,5.840130
28599,2849.780992,1464.110783,0.611408,5.261462,5.872870
28799,2839.834081,1417.425787,0.612984,5.290945,5.903930
28999,2830.403823,1472.446665,0.614553,5.319493,5.934046
29199,2822.603171,1691.508673,0.630417,5.351106,5.981523
29399,2811.836168,1239.853739,0.632097,5.399395,6.031493
29599,2801.524929,1285.772744,0.633690,5.442001,6.075691
29799,2792.167685,1407.295578,0.635521,5.478860,6.114381
29999,2783.369947,1472.506997,0.637287,5.513917,6.151204
30199,2774.229173,1403.113157,0.653589,5.543321,6.196910
30399,2765.576710,1459.054797,0.654955,5.579791,6.234746
30599,2757.646691,1552.283763,0.656268,5.607726,6.263995
30799,2748.269878,1313.617553,0.658141,5.642028,6.300169
30999,2740.631067,1564.254051,0.659919,5.672341,6.332261
31199,2731.202764,1269.815862,0.676504,5.707553,6.384057
31399,2724.910101,1743.254711,0.677805,5.738558,6.416363
31599,2716.990241,1473.572183,0.679128,5.766619,6.445747
31799,2709.022148,1450.063383,0.680592,5.794965,6.475557
31999,2700.731711,1382.552326,0.682469,5.827409,6.509878
32199,2694.563140,1707.591814,0.751826,5.868939,6.620766
32399,2685.597235,1242.086463,0.753208,5.902030,6.655238
32599,2678.906060,1594.935688,0.754535,5.930790,6.685326
32799,2671.975316,1542.264130,0.756086,5.958848,6.714934
32999,2665.736153,1642.513414,0.757853,5.991104,6.748957
33199,2661.374378,1941.681445,0.768496,6.025519,6.794014
33399,2653.360677,1323.086247,0.769848,6.057511,6.827360
33599,2646.830878,1556.354566,0.771254,6.087232,6.858486
33799,2639.217806,1360.221614,0.772712,6.115489,6.888201
33999,2634.096908,1768.665275,0.774505,6.149272,6.923776
34199,2629.033347,1768.227850,0.786368,6.180466,6.966834
34399,2623.466760,1671.580507,0.787790,6.213610,7.001400
34599,2616.889822,1485.656437,0.789210,6.244123,7.033333
34799,2611.464382,1672.863198,0.790769,6.273704,7.064473
34999,2605.016527,1483.089766,0.792299,6.302751,7.095050
35199,2596.649345,1132.392464,0.803489,6.335070,7.138559
35399,2589.876576,1397.869340,0.805002,6.369599,7.174601
35599,2582.820565,1333.906622,0.806591,6.411057,7.217648
35799,2575.468350,1266.774109,0.808675,6.468350,7.277025
35999,2571.171709,1802.072906,0.810688,6.521028,7.331716
36199,2564.697612,1399.360141,0.826651,6.569298,7.395948
36399,2557.426287,1241.316499,0.828140,6.611837,7.439977
36599,2550.813192,1347.229764,0.829948,6.654091,7.484039
36799,2545.426231,1559.612429,0.831983,6.699159,7.531142
36999,2540.606309,1653.740777,0.834100,6.746132,7.580232
37199,2534.009203,1313.544561,0.849022,6.791273,7.640295
37399,2530.591006,1894.806266,0.850553,6.836165,7.686718
37599,2524.527853,1390.718207,0.852829,6.886564,7.739392
37799,2519.695409,1611.196072,0.855427,6.962992,7.818420
37999,2513.202755,1286.091162,0.858032,7.024568,7.882600
38199,2507.751336,1471.981625,0.875631,7.069148,7.944779
38399,2501.650368,1336.365444,0.877764,7.130768,8.008532
38599,2497.013987,1606.828938,0.880304,7.198891,8.079195
38799,2491.364592,1401.031412,0.882184,7.242237,8.124420
38999,2485.170337,1283.484750,0.884642,7.299651,8.184293
39199,2479.971946,1466.285802,0.905095,7.409762,8.314858
39399,2474.678714,1437.205200,0.906908,7.460357,8.367265
39599,2469.549147,1459.024484,0.908523,7.495459,8.403982
39799,2464.520659,1468.880029,0.910106,7.530931,8.441037
39999,2459.118849,1384.158533,0.911803,7.561012,8.472815
40199,2454.450009,1520.682038,0.925943,7.593751,8.519694
40399,2448.676538,1288.208929,0.927451,7.632690,8.560141
40599,2444.268306,1553.805424,0.929203,7.672915,8.602118
40799,2439.303787,1431.506509,0.931016,7.714955,8.645971
40999,2434.512855,1457.162602,0.932923,7.754847,8.687770
41199,2429.359780,1372.979383,0.947669,7.785943,8.733612
41399,2424.013340,1322.646684,0.949131,7.819454,8.768585
41599,2419.084777,1398.872279,0.950682,7.852074,8.802756
41799,2416.766914,1934.651415,0.952375,7.883493,8.835868
41999,2410.257711,1049.834360,0.954021,7.913257,8.867278
42199,2404.384517,1171.013644,0.971434,7.947957,8.919392
42399,2399.111594,1286.524862,0.973021,7.990717,8.963738
42599,2395.470723,1623.606032,0.974842,8.028870,9.003712
42799,2391.070626,1453.850107,0.976356,8.058230,9.034586
42999,2386.537759,1416.504264,0.978122,8.090877,9.068999
43199,2383.467935,1723.455645,0.994818,8.121821,9.116639
43399,2379.506747,1523.890254,0.996232,8.154336,9.150567
43599,2375.225363,1446.165020,0.997703,8.185060,9.182763
43799,2370.929370,1434.402940,0.999245,8.215055,9.214300
43999,2366.938782,1492.999942,1.001042,8.247253,9.248295
44199,2364.087634,1736.835076,1.017149,8.278011,9.295160
44399,2361.219910,1727.452920,1.018488,8.309080,9.327569
44599,2358.723432,1804.505257,1.020092,8.344234,9.364326
44799,2354.296122,1367.005903,1.021953,8.378299,9.400252
44999,2349.088687,1182.623282,1.023888,8.415031,9.438918
45199,2344.711345,1359.809500,1.038965,8.447770,9.486735
45399,2340.819873,1461.347271,1.040482,8.481866,9.522348
45599,2337.834466,1660.147033,1.041959,8.513397,9.555356
45799,2334.042566,1469.489263,1.043410,8.542112,9.585521
45999,2330.687258,1562.321872,1.045227,8.574432,9.619659
46199,2326.655459,1399.341518,1.062908,8.608206,9.671114
46399,2324.041180,1720.142852,1.064421,8.649622,9.714043
46599,2320.482002,1494.752541,1.065883,8.681640,9.747523
46799,2317.962333,1730.879679,1.067533,8.712585,9.780118
46999,2314.744382,1561.743708,1.069412,8.743969,9.813381
47199,2310.500294,1313.139664,1.090588,8.773484,9.864073
47399,2306.612325,1389.051707,1.092065,8.806545,9.898610
