# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegRD] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegRD_incremental4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegRD],current_mse_[AXGBRegRD],training_time_[AXGBRegRD],testing_time_[AXGBRegRD],total_running_time_[AXGBRegRD]
58199,0.144237,0.146149,24.757466,13.010695,37.768161
58399,0.144259,0.150443,24.839842,13.055404,37.895245
58599,0.144249,0.141433,24.921173,13.099986,38.021160
58799,0.144348,0.173442,25.003080,13.144544,38.147624
58999,0.144415,0.164110,25.084948,13.189264,38.274212
59199,0.144455,0.156309,25.174988,13.234063,38.409051
59399,0.144491,0.155110,25.256113,13.278691,38.534804
59599,0.144563,0.165875,25.337759,13.323444,38.661203
59799,0.144644,0.168735,25.419371,13.368131,38.787501
59999,0.144613,0.135439,25.502555,13.412664,38.915219
60199,0.144624,0.147916,25.591629,13.457481,39.049109
60399,0.144672,0.158967,25.673496,13.502290,39.175786
60599,0.144702,0.153899,25.755297,13.546969,39.302266
60799,0.144685,0.139455,25.838588,13.591812,39.430400
60999,0.144644,0.132065,25.920916,13.636567,39.557483
61199,0.144565,0.120506,26.010364,13.681319,39.691683
61399,0.144586,0.151085,26.091766,13.725939,39.817705
61599,0.144633,0.158968,26.174635,13.770787,39.945422
61799,0.144703,0.166286,26.256776,13.815519,40.072295
61999,0.144738,0.155549,26.338845,13.860271,40.199117
62199,0.144750,0.148636,26.457152,13.905157,40.362309
62399,0.144629,0.107059,26.539405,13.949697,40.489102
62599,0.144624,0.142961,26.620556,13.994189,40.614744
62799,0.144596,0.135766,26.701977,14.038732,40.740709
62999,0.144465,0.103304,26.783844,14.083279,40.867124
63199,0.144484,0.150685,26.872857,14.128016,41.000873
63399,0.144458,0.136123,26.954005,14.172540,41.126545
63599,0.144343,0.107916,27.035508,14.217018,41.252527
63799,0.144272,0.121648,27.117173,14.261573,41.378746
63999,0.144265,0.142196,27.200268,14.306187,41.506455
64199,0.144244,0.137438,27.288328,14.350680,41.639008
64399,0.144229,0.139386,27.369744,14.395350,41.765093
64599,0.144131,0.112561,27.450791,14.439723,41.890514
64799,0.144156,0.152225,27.533352,14.484068,42.017420
64999,0.144130,0.135789,27.615015,14.528394,42.143408
65199,0.144131,0.144381,27.703402,14.572917,42.276319
65399,0.144148,0.149809,27.784486,14.617229,42.401715
65599,0.144041,0.108784,27.866974,14.661794,42.528769
65799,0.144042,0.144462,27.948876,14.706415,42.655292
65999,0.144074,0.154620,28.030610,14.750768,42.781378
66199,0.143996,0.118307,28.118851,14.795287,42.914138
66399,0.143940,0.125487,28.200688,14.839758,43.040446
66599,0.143899,0.130167,28.282000,14.884095,43.166095
66799,0.143876,0.136136,28.363651,14.928817,43.292468
66999,0.143956,0.170744,28.445278,14.973552,43.418830
67199,0.143926,0.133852,28.534968,15.018315,43.553283
67399,0.143837,0.114057,28.616321,15.062918,43.679239
67599,0.143862,0.152261,28.697896,15.107592,43.805488
67799,0.143831,0.133439,28.779340,15.152022,43.931363
67999,0.143827,0.142236,28.862334,15.196566,44.058900
68199,0.143778,0.127135,28.950880,15.241212,44.192092
68399,0.143816,0.156891,29.032288,15.285734,44.318022
68599,0.143737,0.116619,29.114102,15.330387,44.444489
68799,0.143740,0.144790,29.197099,15.374925,44.572024
68999,0.143658,0.115617,29.279074,15.419461,44.698535
69199,0.143627,0.132828,29.367946,15.464078,44.832024
69399,0.143685,0.163839,29.449445,15.508687,44.958133
69599,0.143661,0.135090,29.532204,15.553226,45.085429
69799,0.143577,0.114331,29.614093,15.597816,45.211909
69999,0.143600,0.151882,29.696316,15.642484,45.338801
70199,0.143550,0.126104,29.785578,15.687217,45.472795
70399,0.143515,0.131019,29.867321,15.731650,45.598970
70599,0.143543,0.153347,29.948308,15.776125,45.724433
70799,0.143556,0.148295,30.029875,15.820608,45.850484
70999,0.143598,0.158412,30.111560,15.864994,45.976555
71199,0.143565,0.131665,30.201491,15.909542,46.111034
71399,0.143528,0.130583,30.282935,15.954214,46.237149
71599,0.143519,0.140344,30.364383,15.998647,46.363030
71799,0.143506,0.138800,30.446302,16.043228,46.489530
71999,0.143499,0.140902,30.529211,16.087655,46.616867
72199,0.143473,0.134314,30.618223,16.132183,46.750405
72399,0.143402,0.117775,30.699430,16.176726,46.876156
72599,0.143368,0.131007,30.780752,16.221374,47.002126
72799,0.143331,0.129634,30.863586,16.266008,47.129594
72999,0.143281,0.125402,30.945330,16.310426,47.255756
73199,0.143274,0.140397,31.034381,16.355086,47.389466
73399,0.143251,0.134819,31.115527,16.399525,47.515052
73599,0.143195,0.122700,31.197951,16.443988,47.641939
73799,0.143193,0.142550,31.279455,16.488476,47.767931
73999,0.143224,0.154674,31.361591,16.532977,47.894568
74199,0.143236,0.147758,31.450922,16.577614,48.028537
74399,0.143277,0.158500,31.533676,16.622236,48.155913
74599,0.143263,0.138042,31.615038,16.666700,48.281739
74799,0.143288,0.152713,31.696385,16.711186,48.407571
74999,0.143258,0.131695,31.777824,16.755639,48.533463
75199,0.143297,0.158267,31.868116,16.800319,48.668435
75399,0.143250,0.125566,31.949396,16.844694,48.794090
75599,0.143277,0.153185,32.031010,16.889289,48.920299
75799,0.143281,0.145035,32.113045,16.933830,49.046875
75999,0.143258,0.134239,32.196084,16.978328,49.174412
76199,0.143218,0.128242,32.285484,17.022897,49.308381
76399,0.143291,0.170885,32.367291,17.067615,49.434907
76599,0.143304,0.148303,32.448943,17.112369,49.561312
76799,0.143343,0.158533,32.532042,17.157102,49.689145
76999,0.143318,0.133511,32.614213,17.201781,49.815994
77199,0.143345,0.153981,32.703803,17.246393,49.950196
77399,0.143387,0.159484,32.785834,17.291257,50.077092
77599,0.143409,0.151918,32.868710,17.335855,50.204565
77799,0.143407,0.142436,32.951179,17.380590,50.331769
77999,0.143347,0.120204,33.033462,17.425298,50.458761
78199,0.143363,0.149415,33.149566,17.470201,50.619767
78399,0.143289,0.114336,33.235721,17.514933,50.750654
78599,0.143235,0.122238,33.316637,17.559374,50.876011
78799,0.143181,0.121949,33.397985,17.603892,51.001877
78999,0.143169,0.138511,33.480065,17.648786,51.128851
79199,0.143077,0.106868,33.563131,17.693387,51.256518
79399,0.142983,0.105731,33.649755,17.737593,51.387348
79599,0.143035,0.163575,33.730806,17.781909,51.512715
79799,0.142988,0.124284,33.812341,17.826223,51.638564
79999,0.142941,0.124056,33.895140,17.870562,51.765702
80199,0.142948,0.145895,33.976951,17.914928,51.891880
80399,0.143006,0.166115,34.064891,17.959602,52.024492
80599,0.142961,0.124854,34.146291,18.004206,52.150497
80799,0.142991,0.155325,34.229299,18.048896,52.278195
80999,0.142917,0.112800,34.311159,18.093506,52.404665
81199,0.142850,0.115764,34.393243,18.138212,52.531455
81399,0.142800,0.122614,34.481075,18.182635,52.663710
81599,0.142774,0.132228,34.564028,18.227185,52.791213
81799,0.142760,0.136731,34.646012,18.271824,52.917837
81999,0.142682,0.111085,34.728363,18.316462,53.044826
82199,0.142729,0.161801,34.810515,18.360939,53.171454
82399,0.142698,0.130207,34.900182,18.405576,53.305758
82599,0.142669,0.130377,34.981652,18.449973,53.431625
82799,0.142628,0.126073,35.063250,18.494281,53.557532
82999,0.142570,0.118240,35.145225,18.538759,53.683984
83199,0.142510,0.117683,35.228546,18.585782,53.814328
83399,0.142540,0.154882,35.316341,18.630133,53.946474
83599,0.142478,0.116854,35.398046,18.674691,54.072737
83799,0.142542,0.169059,35.479890,18.719113,54.199003
83999,0.142527,0.136537,35.562882,18.763528,54.326410
84199,0.142462,0.115143,35.645215,18.808133,54.453348
84399,0.142456,0.139934,35.733356,18.852663,54.586019
84599,0.142461,0.144669,35.814897,18.897141,54.712038
84799,0.142500,0.158902,35.897827,18.941596,54.839423
84999,0.142458,0.124533,35.979818,18.986066,54.965884
85199,0.142408,0.120980,36.061378,19.030202,55.091580
85399,0.142448,0.159502,36.149933,19.075038,55.224971
85599,0.142431,0.135530,36.232894,19.119708,55.352602
85799,0.142397,0.127541,36.314720,19.164232,55.478952
85999,0.142340,0.117812,36.397083,19.209028,55.606111
86199,0.142347,0.145387,36.479632,19.253934,55.733567
86399,0.142339,0.138883,36.569850,19.298742,55.868591
86599,0.142373,0.157047,36.651880,19.343350,55.995230
86799,0.142306,0.113643,36.733572,19.388012,56.121584
86999,0.142342,0.157995,36.815514,19.432576,56.248090
87199,0.142327,0.135492,36.898923,19.477278,56.376201
87399,0.142328,0.143015,36.987430,19.522107,56.509536
87599,0.142243,0.104916,37.069016,19.566631,56.635647
87799,0.142195,0.121398,37.150874,19.611262,56.762137
87999,0.142132,0.114227,37.233761,19.655739,56.889500
88199,0.142145,0.147881,37.315843,19.700416,57.016258
88399,0.142080,0.113354,37.404250,19.745065,57.149316
88599,0.142036,0.122865,37.485800,19.789572,57.275372
88799,0.142043,0.144856,37.568837,19.834263,57.403100
88999,0.142085,0.160663,37.650751,19.878973,57.529725
89199,0.142025,0.115649,37.733170,19.923835,57.657006
89399,0.142046,0.151443,37.822085,19.968733,57.790818
89599,0.142014,0.127513,37.905095,20.013406,57.918500
89799,0.142024,0.146625,37.986920,20.057957,58.044877
89999,0.142021,0.140639,38.068984,20.102492,58.171475
90199,0.142015,0.139225,38.151595,20.147173,58.298768
90399,0.141999,0.134722,38.241405,20.192048,58.433453
90599,0.142033,0.157492,38.322951,20.236595,58.559546
90799,0.142079,0.162904,38.404588,20.281161,58.685749
90999,0.142067,0.136475,38.486406,20.325554,58.811960
91199,0.142099,0.156817,38.569574,20.370151,58.939725
