# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [AXGBRegSD] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegSD_incremental2.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegSD],current_mse_[AXGBRegSD],training_time_[AXGBRegSD],testing_time_[AXGBRegSD],total_running_time_[AXGBRegSD]
30199,0.145670,0.116893,13.144164,6.734915,19.879079
30399,0.145511,0.121512,13.226556,6.779628,20.006184
30599,0.145523,0.147362,13.308533,6.824513,20.133046
30799,0.145497,0.141541,13.390653,6.869301,20.259954
30999,0.145677,0.173279,13.473040,6.914230,20.387271
31199,0.145592,0.132422,13.562212,6.959049,20.521261
31399,0.145581,0.143954,13.643460,7.003424,20.646884
31599,0.145610,0.150110,13.725405,7.048151,20.773556
31799,0.145525,0.132117,13.807663,7.092868,20.900531
31999,0.145445,0.132781,13.890942,7.137807,21.028750
32199,0.145453,0.146647,13.979619,7.182701,21.162319
32399,0.145344,0.127829,14.060991,7.227201,21.288191
32599,0.145316,0.140776,14.142654,7.271736,21.414389
32799,0.145197,0.125741,14.225548,7.316310,21.541858
32999,0.145203,0.146234,14.307806,7.360977,21.668783
33199,0.145113,0.130312,14.396452,7.405636,21.802088
33399,0.145227,0.164116,14.477854,7.450115,21.927969
33599,0.145306,0.158466,14.560339,7.494599,22.054938
33799,0.145410,0.162975,14.642480,7.539198,22.181678
33999,0.145328,0.131385,14.724509,7.583866,22.308375
34199,0.145281,0.137327,14.813230,7.628547,22.441777
34399,0.145237,0.137702,14.895742,7.673196,22.568939
34599,0.145188,0.136706,14.978095,7.718169,22.696264
34799,0.145220,0.150829,15.060848,7.763016,22.823864
34999,0.145248,0.150143,15.143397,7.807805,22.951202
35199,0.145329,0.159462,15.233956,7.852730,23.086686
35399,0.145298,0.139828,15.316164,7.897534,23.213698
35599,0.145271,0.140476,15.398529,7.942305,23.340834
35799,0.145181,0.129217,15.481272,7.987249,23.468521
35999,0.144984,0.109733,15.564739,8.032092,23.596831
36199,0.144935,0.136008,15.653306,8.076800,23.730106
36399,0.144945,0.146778,15.734906,8.121457,23.856362
36599,0.144774,0.113715,15.816650,8.166019,23.982669
36799,0.144747,0.139709,15.900074,8.210861,24.110934
36999,0.144978,0.187556,15.982491,8.255718,24.238209
37199,0.144988,0.146863,16.071740,8.300678,24.372418
37399,0.145010,0.148980,16.153659,8.345347,24.499006
37599,0.144977,0.138832,16.236745,8.390120,24.626865
37799,0.144898,0.130168,16.318963,8.434806,24.753769
37999,0.144751,0.116906,16.401285,8.479435,24.880721
38199,0.144779,0.150093,16.490382,8.524194,25.014576
38399,0.144865,0.161209,16.573316,8.568787,25.142103
38599,0.144808,0.133872,16.655433,8.613538,25.268972
38799,0.144900,0.162701,16.737873,8.658463,25.396336
38999,0.145014,0.167172,16.820692,8.703224,25.523917
39199,0.144922,0.126924,16.911070,8.748052,25.659122
39399,0.144951,0.150791,16.993078,8.792835,25.785913
39599,0.144928,0.140218,17.075237,8.837486,25.912723
39799,0.145128,0.184770,17.157529,8.882068,26.039597
39999,0.145104,0.140446,17.241271,8.926886,26.168156
40199,0.145315,0.187425,17.330419,8.971581,26.302000
40399,0.145359,0.154278,17.412427,9.016385,26.428812
40599,0.145425,0.158641,17.494331,9.060965,26.555296
40799,0.145491,0.159031,17.577541,9.105618,26.683159
40999,0.145372,0.120938,17.659918,9.150129,26.810046
41199,0.145313,0.133340,17.749659,9.195001,26.944660
41399,0.145269,0.136094,17.832044,9.239969,27.072013
41599,0.145261,0.143655,17.915732,9.284924,27.200656
41799,0.145274,0.147972,17.998291,9.329705,27.327996
41999,0.145371,0.165753,18.081326,9.374554,27.455880
42199,0.145549,0.182873,18.170787,9.419432,27.590219
42399,0.145722,0.182197,18.253836,9.464200,27.718035
42599,0.145777,0.157508,18.336579,9.509150,27.845729
42799,0.146032,0.200240,18.419272,9.554029,27.973301
42999,0.146010,0.141257,18.502341,9.598847,28.101188
43199,0.146036,0.151748,18.593223,9.643805,28.237028
43399,0.146116,0.163432,18.675222,9.688569,28.363791
43599,0.146106,0.143741,18.757429,9.733263,28.490692
43799,0.146125,0.150328,18.840202,9.778240,28.618441
43999,0.146038,0.126959,18.924108,9.823061,28.747169
44199,0.146074,0.154038,19.013548,9.867960,28.881508
44399,0.146036,0.137618,19.095353,9.912790,29.008143
44599,0.145957,0.128523,19.177101,9.957379,29.134480
44799,0.145935,0.140942,19.260130,10.001890,29.262020
44999,0.145939,0.146850,19.342798,10.046610,29.389408
45199,0.145974,0.153769,19.432449,10.091374,29.523823
45399,0.146128,0.180986,19.514133,10.136103,29.650236
45599,0.146197,0.161918,19.597417,10.180948,29.778365
45799,0.146119,0.128327,19.679691,10.225772,29.905463
45999,0.146257,0.177746,19.762786,10.270861,30.033647
46199,0.146110,0.112519,19.849136,10.315690,30.164826
46399,0.145917,0.101261,19.931601,10.360059,30.291661
46599,0.145803,0.119214,20.013511,10.404563,30.418074
46799,0.145666,0.113801,20.095705,10.449124,30.544828
46999,0.145492,0.104870,20.178247,10.493731,30.671978
47199,0.145406,0.125041,20.265433,10.538280,30.803713
47399,0.145187,0.093590,20.347377,10.582885,30.930262
47599,0.145069,0.117016,20.429418,10.627375,31.056794
47799,0.145008,0.130698,20.511497,10.672141,31.183637
47999,0.144901,0.119326,20.595116,10.717053,31.312169
48199,0.144825,0.126418,20.707481,10.760814,31.468295
48399,0.144805,0.139934,20.789405,10.805736,31.595141
48599,0.144851,0.156017,20.871394,10.850470,31.721864
48799,0.144774,0.126208,20.954270,10.895159,31.849429
48999,0.144749,0.138535,21.036525,10.939938,31.976464
49199,0.144633,0.116207,21.125147,10.984631,32.109778
49399,0.144570,0.129227,21.207150,11.029254,32.236403
49599,0.144549,0.139277,21.289674,11.073636,32.363310
49799,0.144465,0.123724,21.371705,11.118016,32.489721
49999,0.144370,0.120545,21.453851,11.162544,32.616396
50199,0.144271,0.119696,21.542498,11.207029,32.749527
50399,0.144270,0.143915,21.624813,11.251473,32.876286
50599,0.144128,0.108223,21.706651,11.295988,33.002639
50799,0.144050,0.124494,21.788707,11.340423,33.129130
50999,0.143881,0.100882,21.925688,11.384929,33.310617
51199,0.143827,0.130067,22.009458,11.429487,33.438945
51399,0.143774,0.130328,22.091503,11.474338,33.565841
51599,0.143818,0.154931,22.174413,11.519474,33.693887
51799,0.143797,0.138517,22.257536,11.564635,33.822172
51999,0.143719,0.123443,22.341423,11.609464,33.950887
52199,0.143883,0.186625,22.432029,11.654472,34.086502
52399,0.143894,0.146756,22.514044,11.699469,34.213512
52599,0.143945,0.157178,22.596496,11.744657,34.341153
52799,0.143990,0.155933,22.680230,11.789774,34.470005
52999,0.144018,0.151441,22.763375,11.835069,34.598444
53199,0.143953,0.126586,22.850216,11.880086,34.730302
53399,0.143856,0.117996,22.931775,11.924678,34.856453
53599,0.143650,0.088753,23.014556,11.969139,34.983695
53799,0.143538,0.113659,23.096492,12.013536,35.110028
53999,0.143452,0.120075,23.178884,12.057932,35.236816
54199,0.143320,0.107713,23.265126,12.102426,35.367553
54399,0.143237,0.120761,23.347476,12.146768,35.494244
54599,0.143198,0.132528,23.429091,12.191088,35.620179
54799,0.143144,0.128474,23.510974,12.235514,35.746488
54999,0.142985,0.099447,23.593249,12.279933,35.873182
55199,0.143091,0.172318,23.680546,12.324331,36.004877
55399,0.142987,0.114320,23.761925,12.368501,36.130426
55599,0.142886,0.114745,23.844043,12.413065,36.257108
55799,0.142725,0.098048,23.926097,12.457385,36.383481
55999,0.142693,0.133658,24.009904,12.501899,36.511803
56199,0.142664,0.134657,24.096582,12.546579,36.643162
56399,0.142589,0.121539,24.178060,12.590849,36.768909
56599,0.142467,0.107993,24.259337,12.635178,36.894514
56799,0.142438,0.134128,24.342192,12.679472,37.021664
56999,0.142430,0.140405,24.424193,12.723809,37.148002
57199,0.142323,0.111816,24.510595,12.768291,37.278885
57399,0.142299,0.135213,24.592366,12.812871,37.405237
57599,0.142158,0.101797,24.675086,12.857352,37.532439
57799,0.142050,0.110966,24.757522,12.902032,37.659554
57999,0.141952,0.113531,24.840051,12.946576,37.786626
58199,0.141813,0.101696,24.926452,12.990957,37.917409
58399,0.141808,0.140378,25.009396,13.035351,38.044748
58599,0.141761,0.127805,25.091680,13.080052,38.171732
58799,0.141685,0.119482,25.174165,13.124716,38.298882
58999,0.141613,0.120529,25.256914,13.169407,38.426320
59199,0.141591,0.135114,25.344706,13.214095,38.558801
59399,0.141574,0.136343,25.426570,13.258595,38.685165
59599,0.141536,0.130303,25.531153,13.302386,38.833539
59799,0.141545,0.144356,25.618840,13.347121,38.965961
59999,0.141565,0.147600,25.705594,13.392093,39.097687
60199,0.141608,0.154428,25.788338,13.436989,39.225327
60399,0.141612,0.142848,25.876817,13.481910,39.358727
60599,0.141653,0.154003,26.001683,13.526725,39.528408
60799,0.141722,0.162634,26.087455,13.571446,39.658901
60999,0.141810,0.168578,26.168931,13.615848,39.784778
61199,0.141934,0.179722,26.250727,13.660250,39.910977
61399,0.141995,0.160528,26.335776,13.704702,40.040478
61599,0.142067,0.164304,26.418559,13.749056,40.167615
61799,0.142049,0.136540,26.500592,13.793949,40.294540
61999,0.142049,0.142147,26.582639,13.838279,40.420917
62199,0.142134,0.168500,26.665021,13.882682,40.547704
62399,0.142156,0.148801,26.751880,13.927022,40.678901
62599,0.142237,0.167652,26.833291,13.971351,40.804642
62799,0.142242,0.143722,26.915396,14.015970,40.931366
62999,0.142276,0.152875,26.997489,14.060368,41.057857
63199,0.142337,0.161505,27.080744,14.104738,41.185482
63399,0.142390,0.159272,27.166492,14.149120,41.315612
63599,0.142453,0.162322,27.248372,14.193669,41.442042
63799,0.142470,0.148047,27.330426,14.238282,41.568708
63999,0.142556,0.170041,27.413806,14.282788,41.696594
64199,0.142694,0.186874,27.496382,14.327357,41.823739
64399,0.142818,0.182397,27.582623,14.371893,41.954516
64599,0.142870,0.159716,27.664789,14.416469,42.081257
64799,0.142934,0.163522,27.748083,14.461098,42.209181
64999,0.142936,0.143586,27.830366,14.505676,42.336041
65199,0.143032,0.174351,27.912820,14.550145,42.462965
65399,0.143054,0.150303,27.998573,14.594631,42.593204
65599,0.143081,0.151773,28.081612,14.639211,42.720822
65799,0.143170,0.172407,28.163610,14.683674,42.847285
65999,0.143261,0.173149,28.246265,14.728342,42.974607
66199,0.143317,0.161917,28.329085,14.772946,43.102032
66399,0.143309,0.140640,28.416783,14.817712,43.234495
66599,0.143478,0.199637,28.499281,14.862472,43.361754
66799,0.143524,0.158583,28.581484,14.907236,43.488720
66999,0.143676,0.194657,28.664149,14.952047,43.616196
67199,0.143631,0.128478,28.747678,14.996529,43.744207
67399,0.143625,0.141606,28.833302,15.040859,43.874161
67599,0.143728,0.178570,28.915164,15.085114,44.000278
67799,0.143779,0.160999,28.997043,15.129383,44.126426
67999,0.143825,0.159263,29.080628,15.173837,44.254465
68199,0.143934,0.181150,29.163109,15.218285,44.381394
68399,0.144027,0.175512,29.249263,15.262720,44.511982
68599,0.144102,0.169701,29.331606,15.307179,44.638785
68799,0.144078,0.136078,29.414450,15.351622,44.766071
68999,0.144130,0.161854,29.496577,15.396199,44.892776
69199,0.144165,0.156282,29.579016,15.440661,45.019677
69399,0.144166,0.144491,29.664687,15.484980,45.149668
69599,0.144280,0.183890,29.747897,15.529561,45.277459
69799,0.144265,0.139007,29.829565,15.573850,45.403416
69999,0.144312,0.160597,29.911810,15.618304,45.530113
70199,0.144292,0.137358,29.994018,15.662636,45.656654
70399,0.144462,0.204266,30.083065,15.707218,45.790283
70599,0.144479,0.150341,30.164940,15.751662,45.916602
70799,0.144566,0.175241,30.246980,15.796150,46.043130
70999,0.144507,0.123803,30.329202,15.840784,46.169986
