# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [HTRA] HoeffdingAdaptiveTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_HTRA_gradual5.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[HTRA],current_mse_[HTRA],training_time_[HTRA],testing_time_[HTRA],total_running_time_[HTRA]
65199,4042.744448,2348.908744,29.532618,1.564012,31.096630
65399,4039.683544,3041.828829,29.645266,1.569083,31.214349
65599,4038.061195,3507.553143,29.745397,1.574088,31.319485
65799,4033.141228,2419.392135,29.851625,1.579131,31.430757
65999,4028.699795,2567.468346,29.965806,1.584166,31.549972
66199,4024.808544,2740.695708,30.066983,1.589182,31.656165
66399,4023.952262,3740.522878,30.185303,1.594207,31.779510
66599,4018.907010,2343.883205,30.298535,1.599257,31.897792
66799,4014.496839,2545.910152,30.427081,1.604318,32.031399
66999,4011.385752,2972.282713,30.547174,1.609383,32.156557
67199,4007.569753,2729.209932,30.648692,1.614430,32.263121
67399,4005.240437,3222.590367,30.753233,1.619490,32.372723
67599,4003.306819,3351.677383,30.872569,1.624532,32.497101
67799,3999.184922,2605.983688,30.995685,1.629605,32.625290
67999,3995.633004,2791.532878,31.100210,1.634635,32.734844
68199,3993.915505,3409.966045,31.251599,1.639733,32.891331
68399,3989.402701,2450.536418,31.353439,1.644752,32.998191
68599,3985.577916,2677.501278,31.569753,1.649884,33.219637
68799,3982.417900,2898.532731,31.686888,1.654932,33.341820
68999,3978.059323,2478.708579,31.810123,1.659982,33.470105
69199,3975.236896,3001.499669,31.909073,1.664995,33.574068
69399,3970.990327,2501.677534,32.019993,1.670086,33.690079
69599,3968.425827,3078.544181,32.124226,1.675118,33.799344
69799,3965.024553,2781.381202,32.228868,1.680144,33.909011
69999,3963.590600,3463.141213,32.333625,1.685173,34.018797
70199,3962.072495,3430.735727,32.435314,1.690187,34.125501
70399,3957.543736,2367.949156,32.538490,1.695217,34.233707
70599,3954.596891,2917.307536,32.667156,1.700264,34.367421
70799,3950.791286,2607.412734,32.785787,1.705330,34.491117
70999,3945.584665,2102.440788,32.905109,1.710401,34.615510
71199,3941.391059,2452.660966,33.008085,1.715457,34.723543
71399,3938.773338,3006.864742,33.123208,1.720497,34.843705
71599,3934.677161,2472.341999,33.226974,1.725549,34.952524
