# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=10000.0), width=10000.0), width=10000.0)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_gradual4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
21399,3343.873879,1320.478141,0.869657,4.523996,5.393654
21599,3324.395518,1240.210897,0.871945,4.566703,5.438648
21799,3307.508757,1483.738527,0.874355,4.609246,5.483601
21999,3288.594252,1226.913209,0.876878,4.651886,5.528764
22199,3271.513123,1392.589010,0.882568,4.695461,5.578029
22399,3254.372367,1351.748373,0.884765,4.738466,5.623230
22599,3237.459939,1343.268086,0.887056,4.781120,5.668175
22799,3220.269839,1277.788485,0.889468,4.823788,5.713257
22999,3205.362854,1505.966552,0.891999,4.866481,5.758480
23199,3190.497475,1480.978852,0.897511,4.910065,5.807576
23399,3175.886462,1481.009045,0.899706,4.953440,5.853146
23599,3162.554031,1602.659594,0.901985,4.996278,5.898263
23799,3148.837558,1530.293658,0.904360,5.039171,5.943531
23999,3133.515663,1310.210198,0.906870,5.082128,5.988998
24199,3119.023231,1379.931446,0.912420,5.125057,6.037476
24399,3103.402517,1213.296106,0.914626,5.168503,6.083129
24599,3089.027671,1335.296400,0.916915,5.211211,6.128126
24799,3074.492449,1286.660132,0.919311,5.254308,6.173619
24999,3061.735105,1479.824441,0.921824,5.296986,6.218810
25199,3045.173048,974.916011,0.927312,5.339969,6.267281
25399,3031.765149,1342.369800,0.929527,5.383142,6.312669
25599,3021.182918,1677.239609,0.931839,5.428683,6.360522
25799,3010.316698,1619.440609,0.934261,5.471335,6.405597
25999,2997.165318,1300.637198,0.936805,5.514114,6.450919
26199,2983.889420,1258.022696,0.944476,5.556938,6.501414
26399,2971.163242,1304.033888,0.946707,5.600499,6.547207
26599,2956.464967,1016.292686,0.949041,5.643294,6.592335
26799,2943.993950,1285.348741,0.951473,5.686067,6.637540
26999,2932.251336,1358.741001,0.954020,5.729012,6.683032
27199,2920.451331,1327.450690,0.961700,5.772785,6.734485
27399,2908.275112,1252.309291,0.963913,5.815912,6.779825
27599,2896.370638,1265.457723,0.966215,5.858813,6.825028
27799,2887.520481,1666.198831,0.968610,5.901767,6.870378
27999,2875.951643,1267.883231,0.971114,5.944828,6.915942
28199,2866.102385,1487.206153,0.978924,5.988048,6.966972
28399,2856.102241,1446.081977,0.981150,6.031697,7.012847
28599,2846.942907,1546.317516,0.983463,6.074873,7.058336
28799,2836.885712,1398.706832,0.985863,6.117823,7.103685
28999,2826.613760,1347.452686,0.988379,6.160894,7.149273
29199,2819.517805,1790.604346,0.996214,6.203751,7.199965
29399,2809.497627,1346.551549,0.998401,6.246635,7.245036
29599,2798.964706,1250.625399,1.000704,6.289592,7.290296
29799,2788.325205,1213.678988,1.003083,6.332594,7.335678
29999,2778.818614,1362.336648,1.005579,6.375743,7.381322
