# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=450000, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=400000, random_state=None... stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=50000, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1), width=1)
# [AXGBRegS] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_AXGBRegS_abrupto1.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[AXGBRegS],current_mse_[AXGBRegS],training_time_[AXGBRegS],testing_time_[AXGBRegS],total_running_time_[AXGBRegS]
24999,3061.735105,1479.824441,0.916504,5.298797,6.215301
25199,3045.173048,974.916011,0.922035,5.341844,6.263879
25399,3031.765149,1342.369800,0.924295,5.385154,6.309449
25599,3021.182918,1677.239609,0.926656,5.428370,6.355026
25799,3010.316698,1619.440609,0.929131,5.471578,6.400710
25999,2997.165318,1300.637198,0.931724,5.514771,6.446495
26199,2983.889420,1258.022696,0.939414,5.558225,6.497639
26399,2971.163242,1304.033888,0.941684,5.601633,6.543317
26599,2956.464967,1016.292686,0.944071,5.645087,6.589158
26799,2943.993950,1285.348741,0.946555,5.688429,6.634985
26999,2932.251336,1358.741001,0.949188,5.731690,6.680878
27199,2920.451331,1327.450690,0.957027,5.774769,6.731796
27399,2908.275112,1252.309291,0.959281,5.818197,6.777478
27599,2896.370638,1265.457723,0.961654,5.861514,6.823168
27799,2887.520481,1666.198831,0.964113,5.904835,6.868949
27999,2875.951643,1267.883231,0.966681,5.948014,6.914695
28199,2866.102385,1487.206153,0.974545,5.991130,6.965676
28399,2856.102241,1446.081977,0.976803,6.034397,7.011201
28599,2846.942907,1546.317516,0.979172,6.077868,7.057040
28799,2836.885712,1398.706832,0.981663,6.121193,7.102855
28999,2826.613760,1347.452686,0.984267,6.164528,7.148795
29199,2819.517805,1790.604346,0.992097,6.207765,7.199862
29399,2809.497627,1346.551549,0.994357,6.251082,7.245439
29599,2798.964706,1250.625399,0.996750,6.294538,7.291288
29799,2788.325205,1213.678988,0.999218,6.337948,7.337166
29999,2778.818614,1362.336648,1.001788,6.381496,7.383284
30199,2770.777985,1564.683560,1.009819,6.424946,7.434765
30399,2762.145381,1458.622143,1.012093,6.468470,7.480564
30599,2754.796717,1637.799888,1.014470,6.512458,7.526928
30799,2744.983125,1243.503550,1.016946,6.555944,7.572890
30999,2737.055424,1516.189425,1.019522,6.599284,7.618805
31199,2727.566515,1256.785543,1.027529,6.642852,7.670380
31399,2719.881167,1520.966941,1.029801,6.686294,7.716095
31599,2711.914653,1461.172025,1.032167,6.729565,7.761732
31799,2703.792692,1420.522856,1.034634,6.772813,7.807447
31999,2695.927242,1445.320616,1.037216,6.816097,7.853313
32199,2688.462155,1494.048284,1.045382,6.859593,7.904974
32399,2680.119972,1337.028476,1.047650,6.903012,7.950662
32599,2671.929321,1345.043830,1.050065,6.946650,7.996715
32799,2662.689449,1156.590409,1.052582,6.990241,8.042823
32999,2654.986907,1391.769900,1.055169,7.034002,8.089171
33199,2646.880279,1309.286737,1.063422,7.077345,8.140767
33399,2639.467904,1409.013606,1.065677,7.120533,8.186210
33599,2631.561547,1311.199910,1.068058,7.163816,8.231875
33799,2625.592460,1622.785870,1.070537,7.207264,8.277801
33999,2617.830264,1306.019059,1.073134,7.252405,8.325539
34199,2610.822123,1419.438175,1.081242,7.296143,8.377385
34399,2603.237509,1306.268567,1.083486,7.339530,8.423016
34599,2597.367721,1587.764221,1.085858,7.383077,8.468935
34799,2590.640139,1426.768402,1.088306,7.426317,8.514623
34999,2582.636206,1189.951893,1.090872,7.469794,8.560665
35199,2575.328787,1296.530427,1.098922,7.513232,8.612154
35399,2568.239664,1320.554029,1.101164,7.556450,8.657614
35599,2561.504994,1369.468396,1.103523,7.599697,8.703220
35799,2554.334913,1278.060567,1.105975,7.643062,8.749037
35999,2549.515829,1686.899696,1.108530,7.686257,8.794787
36199,2543.470210,1455.258902,1.116573,7.729418,8.845991
36399,2536.621413,1296.989128,1.118840,7.772752,8.891592
