# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [ARFReg] AdaptiveRandomForestRegressor(aggregation_method='median', binary_split=False, drift_detection_criteria='mse', drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.1, max_byte_size=1048576000, max_features='auto', memory_estimate_period=2000000, n_estimators=10, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=0.01, stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01), weighted_vote_strategy=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='exec_ARFReg_incremental4.out', pretrain_size=0, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_mse_[ARFReg],current_mse_[ARFReg],training_time_[ARFReg],testing_time_[ARFReg],total_running_time_[ARFReg]
24599,0.124010,0.116672,94.636403,7.130724,101.767128
24799,0.124000,0.122788,95.476208,7.194641,102.670849
24999,0.123952,0.117937,96.261529,7.258455,103.519984
25199,0.124019,0.132377,97.232842,7.322515,104.555357
25399,0.123876,0.105855,98.032617,7.386465,105.419082
25599,0.123799,0.114007,98.890702,7.450504,106.341206
25799,0.123672,0.107478,99.917126,7.514838,107.431965
25999,0.123575,0.111025,100.781717,7.579106,108.360823
26199,0.123415,0.102702,101.648871,7.643313,109.292184
26399,0.123451,0.128085,102.676857,7.708211,110.385068
26599,0.123366,0.112155,103.515730,7.772733,111.288463
26799,0.123284,0.112448,104.540844,7.837455,112.378299
26999,0.123345,0.131471,105.413595,7.902250,113.315845
27199,0.123308,0.118289,106.230167,7.966743,114.196911
27399,0.123197,0.108072,107.287968,8.031773,115.319742
27599,0.123166,0.118972,108.144621,8.096488,116.241109
27799,0.123102,0.114223,109.244882,8.161601,117.406483
27999,0.122959,0.103146,110.085773,8.226445,118.312218
28199,0.122808,0.101626,110.942249,8.291386,119.233635
28399,0.122769,0.117250,112.089113,8.357066,120.446179
28599,0.122682,0.110313,112.958231,8.422341,121.380572
28799,0.122627,0.114825,113.810488,8.487274,122.297761
28999,0.122647,0.125545,114.853353,8.552642,123.405994
29199,0.122514,0.103200,115.751468,8.618065,124.369534
29399,0.122306,0.092013,116.630429,8.683141,125.313570
29599,0.122430,0.140587,117.735493,8.748826,126.484319
29799,0.122315,0.105237,118.610088,8.814047,127.424135
29999,0.122216,0.107479,119.739360,8.879524,128.618884
30199,0.122147,0.111816,120.633690,8.945204,129.578894
30399,0.122155,0.123346,121.538495,9.011264,130.549758
30599,0.122134,0.119044,122.693617,9.077236,131.770853
30799,0.122044,0.108182,123.654624,9.143123,132.797747
30999,0.122078,0.127397,124.531508,9.209083,133.740590
31199,0.121901,0.094415,125.625997,9.275179,134.901176
31399,0.121722,0.093726,126.523140,9.340847,135.863987
31599,0.121650,0.110490,127.630409,9.406982,137.037391
31799,0.121608,0.114827,128.521795,9.473164,137.994960
31999,0.121497,0.103994,129.438756,9.539121,138.977877
32199,0.121441,0.112353,130.607689,9.605634,140.213323
32399,0.121302,0.098925,131.495812,9.671719,141.167532
32599,0.121296,0.120297,132.676658,9.738541,142.415199
32799,0.121224,0.109550,133.554617,9.804790,143.359407
32999,0.121075,0.096616,134.780743,9.871554,144.652297
33199,0.120955,0.101133,135.758168,9.938445,145.696612
33399,0.120718,0.081480,136.907862,10.004841,146.912702
33599,0.120736,0.123765,137.843498,10.071199,147.914697
33799,0.120595,0.096829,138.724649,10.137505,148.862154
33999,0.120504,0.105196,139.868376,10.204161,150.072537
34199,0.120321,0.089108,140.820714,10.271223,151.091938
34399,0.120230,0.104639,142.015492,10.338208,152.353700
34599,0.120208,0.116484,142.963288,10.404927,153.368215
34799,0.120159,0.111754,144.110451,10.471797,154.582248
34999,0.120166,0.121359,145.113370,10.539142,155.652512
35199,0.120166,0.120152,146.347511,10.606315,156.953826
35399,0.120121,0.112164,147.324958,10.673662,157.998620
35599,0.120044,0.106511,148.293060,10.740878,159.033937
35799,0.120019,0.115537,149.523811,10.808033,160.331843
35999,0.119867,0.092614,150.482812,10.875042,161.357854
36199,0.119761,0.100600,151.714229,10.942462,162.656692
36399,0.119631,0.096094,152.735835,11.009722,163.745556
36599,0.119493,0.094553,153.986163,11.077197,165.063360
36799,0.119437,0.109046,154.966966,11.144647,166.111614
36999,0.119461,0.123867,156.231724,11.212274,167.443998
37199,0.119349,0.098733,157.271393,11.280066,168.551459
37399,0.119231,0.097267,158.583351,11.348066,169.931417
37599,0.119184,0.110342,159.627490,11.415981,171.043472
37799,0.119105,0.104267,160.950374,11.484196,172.434570
37999,0.119139,0.125516,161.946035,11.551698,173.497732
38199,0.119053,0.102706,163.401508,11.620321,175.021829
38399,0.119028,0.114388,164.379707,11.687844,176.067551
38599,0.118956,0.105132,165.646232,11.755784,177.402016
38799,0.118874,0.103004,166.607038,11.823762,178.430799
38999,0.118781,0.100627,167.936511,11.891991,179.828502
39199,0.118738,0.110474,168.950976,11.960019,180.910995
39399,0.118854,0.141569,170.240156,12.027837,182.267993
39599,0.118917,0.131402,171.191599,12.096066,183.287665
39799,0.118802,0.095973,172.548515,12.163983,184.712498
39999,0.118767,0.111848,173.514873,12.231872,185.746745
40199,0.118618,0.088744,174.806263,12.300106,187.106369
40399,0.118612,0.117361,175.771437,12.368092,188.139529
40599,0.118708,0.138199,177.135816,12.436529,189.572345
40799,0.118721,0.121384,178.172604,12.505360,190.677964
40999,0.118622,0.098369,179.537950,12.574190,192.112140
41199,0.118597,0.113505,180.582153,12.642775,193.224928
41399,0.118505,0.099595,181.985802,12.711760,194.697562
41599,0.118394,0.095412,183.010842,12.780211,195.791054
41799,0.118413,0.122275,184.511161,12.849439,197.360599
41999,0.118310,0.096880,185.871468,12.918053,198.789521
42199,0.118247,0.104932,186.939906,12.986788,199.926694
42399,0.118101,0.087270,188.343828,13.055771,201.399599
42599,0.117992,0.094891,189.407054,13.124376,202.531431
42799,0.118086,0.138064,190.888894,13.193623,204.082517
42999,0.118045,0.109357,191.908965,13.262483,205.171448
43199,0.117995,0.107248,193.207421,13.331531,206.538953
43399,0.118061,0.132228,194.328383,13.400578,207.728960
43599,0.117989,0.102321,195.771414,13.469914,209.241329
43799,0.118006,0.121889,196.796617,13.538762,210.335379
43999,0.117972,0.110366,198.183309,13.607516,211.790825
44199,0.117863,0.093970,199.233035,13.676322,212.909357
44399,0.117898,0.125631,200.730066,13.745874,214.475939
44599,0.117834,0.103651,202.177585,13.815294,215.992879
44799,0.117703,0.088513,203.244287,13.884417,217.128704
44999,0.117640,0.103427,204.722967,13.954147,218.677114
45199,0.117480,0.081451,205.819835,14.023539,219.843374
45399,0.117427,0.105574,207.362856,14.093543,221.456399
45599,0.117373,0.105130,208.822971,14.163042,222.986013
45799,0.117247,0.088369,209.873130,14.232172,224.105302
45999,0.117198,0.105959,211.336080,14.301613,225.637693
46199,0.117132,0.102081,212.846162,14.371053,227.217214
46399,0.117039,0.095432,214.051244,14.440999,228.492243
46599,0.116955,0.097571,215.628059,14.511159,230.139218
46799,0.116963,0.118725,216.775344,14.580749,231.356093
46999,0.116853,0.091201,218.223911,14.650353,232.874264
47199,0.116846,0.115109,219.694172,14.720207,234.414379
47399,0.116849,0.117714,220.834402,14.790222,235.624624
47599,0.116868,0.121307,222.351129,14.860387,237.211516
47799,0.116860,0.114962,223.934839,14.930193,238.865032
47999,0.116798,0.101985,225.100492,15.000409,240.100900
48199,0.116741,0.102958,226.660438,15.070718,241.731157
48399,0.116769,0.123580,228.189341,15.140954,243.330295
48599,0.116780,0.119586,229.449867,15.211648,244.661515
48799,0.116686,0.093771,230.978981,15.281735,246.260716
48999,0.116671,0.112919,232.554833,15.351961,247.906794
49199,0.116642,0.109519,233.789976,15.422309,249.212285
49399,0.116545,0.092819,235.367730,15.492559,250.860289
49599,0.116542,0.115804,236.834669,15.562722,252.397391
49799,0.116523,0.111847,238.008714,15.633032,253.641746
49999,0.116538,0.120077,239.517416,15.703253,255.220669
50199,0.116524,0.113043,240.646850,15.773429,256.420279
50399,0.116451,0.098149,242.278977,15.843958,258.122935
50599,0.116423,0.109391,243.923815,15.914771,259.838586
50799,0.116441,0.121054,245.080931,15.985174,261.066105
50999,0.116346,0.092166,246.623887,16.056027,262.679914
51199,0.116267,0.096131,248.211827,16.126895,264.338722
51399,0.116216,0.103111,249.399062,16.197541,265.596603
51599,0.116128,0.093495,251.039764,16.268077,267.307840
51799,0.116084,0.104772,252.191875,16.338640,268.530515
51999,0.116070,0.112519,253.705347,16.409278,270.114625
52199,0.116007,0.099632,255.299964,16.480129,271.780094
52399,0.115946,0.099954,256.474169,16.551174,273.025343
