# TEST CONFIGURATION BEGIN
# ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=4), position=375000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=3), position=250000.0, random_state=None, stream=ConceptDriftStream(alpha=0.0, drift_stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=2), position=125000.0, random_state=None, stream=RegressionGenerator(n_features=10, n_informative=10, n_samples=500000, n_targets=1, random_state=1), width=1), width=1), width=1)
# [D_SEM_RESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D_SEM_RESET],current_mse_[D_SEM_RESET],training_time_[D_SEM_RESET],testing_time_[D_SEM_RESET],total_running_time_[D_SEM_RESET]
34399,2603.237509,1306.268567,0.951278,11.322346,12.273624
34599,2597.367721,1587.764221,0.953158,11.369403,12.322561
34799,2590.640139,1426.768402,0.955363,11.431328,12.386691
34999,2582.636206,1189.951893,0.957193,11.480752,12.437945
35199,2575.328787,1296.530427,0.973653,11.535262,12.508915
35399,2568.239664,1320.554029,0.975158,11.585246,12.560404
35599,2561.504994,1369.468396,0.977176,11.644590,12.621766
35799,2554.334913,1278.060567,0.978887,11.688612,12.667499
35999,2549.515829,1686.899696,0.981263,11.747783,12.729046
36199,2543.470210,1455.258902,1.000020,11.801102,12.801122
36399,2536.621413,1296.989128,1.001575,11.862991,12.864566
36599,2531.090346,1524.436082,1.003425,11.920384,12.923809
36799,2526.053303,1604.274533,1.005105,11.963691,12.968796
36999,2519.874105,1382.901550,1.006784,12.010050,13.016834
37199,2514.925324,1599.400918,1.029217,12.069920,13.099136
37399,2507.512571,1128.740520,1.031211,12.145932,13.177143
37599,2501.360126,1350.852794,1.033356,12.225003,13.258359
37799,2495.978688,1484.268509,1.035589,12.276837,13.312427
37999,2489.896515,1340.365648,1.037562,12.321603,13.359165
38199,2485.158879,1585.008181,1.054204,12.393689,13.447892
38399,2479.121848,1326.048844,1.055906,12.449558,13.505464
38599,2473.165291,1329.506336,1.057749,12.500928,13.558677
38799,2467.985329,1468.252678,1.059564,12.550225,13.609789
38999,2461.973295,1295.638684,1.061695,12.606250,13.667945
39199,2457.835525,1650.970515,1.083118,12.680885,13.764003
39399,2452.648599,1436.011089,1.084980,12.738679,13.823658
39599,2446.192965,1174.433033,1.086826,12.789259,13.876084
39799,2441.017244,1416.224468,1.088381,12.826006,13.914387
39999,2436.879423,1613.452920,1.090658,12.885154,13.975812
40199,2431.657309,1387.234513,1.108031,12.928244,14.036275
40399,2427.967847,1686.386133,1.109694,12.986507,14.096201
40599,2421.586850,1132.625356,1.111961,13.039788,14.151749
40799,2416.433977,1370.400841,1.114246,13.091943,14.206189
40999,2410.656122,1231.973580,1.116250,13.130909,14.247158
41199,2404.726245,1189.101471,1.128970,13.177249,14.306219
41399,2400.301854,1488.877449,1.130369,13.226555,14.356924
