# TEST CONFIGURATION BEGIN
# HyperplaneGenerator(mag_change=0.0, n_drift_features=2, n_features=10, noise_percentage=0.05, random_state=None, sigma_percentage=0.1)
# [D+RESET] AdaptiveSemiRegressorJr(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [RESET] AdaptiveSemiRegressorJULIA(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [D] AdaptiveSemiRegressorJ(detect_drift=True, learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None, unic='N')
# [semRESET] AdaptiveSemiRegressorJS(learning_rate=0.3, max_buffer=None, max_depth=6, max_window_size=1000, min_window_size=1, pre_train=None, ratio_unsampled=None, small_window_size=None)
# [HTR] HoeffdingTreeRegressor(binary_split=False, grace_period=200, leaf_prediction='perceptron', learning_ratio_const=True, learning_ratio_decay=0.001, learning_ratio_perceptron=0.02, max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=1, remove_poor_atts=False, split_confidence=1e-07, stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=500000, max_time=inf, metrics=['mean_square_error', 'running_time'], n_wait=200, output_file='out', pretrain_size=0, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_mse_[D+RESET],current_mse_[D+RESET],mean_mse_[RESET],current_mse_[RESET],mean_mse_[D],current_mse_[D],mean_mse_[semRESET],current_mse_[semRESET],mean_mse_[HTR],current_mse_[HTR],training_time_[D+RESET],testing_time_[D+RESET],total_running_time_[D+RESET],training_time_[RESET],testing_time_[RESET],total_running_time_[RESET],training_time_[D],testing_time_[D],total_running_time_[D],training_time_[semRESET],testing_time_[semRESET],total_running_time_[semRESET],training_time_[HTR],testing_time_[HTR],total_running_time_[HTR]
5399,0.215627,0.211963,0.207948,0.142247,0.214947,0.192861,0.205164,0.135007,0.153937,0.133536,2.862951,1.209535,4.072486,0.138547,1.108136,1.246682,2.314895,1.092469,3.407364,0.143253,1.114533,1.257786,0.832786,0.174548,1.007334
5599,0.215746,0.218952,0.206786,0.175397,0.216515,0.258854,0.204006,0.172740,0.153843,0.151303,2.970932,1.246675,4.217607,0.140223,1.141913,1.282136,2.376659,1.127289,3.503947,0.144882,1.149097,1.293978,0.856094,0.180987,1.037082
5799,0.215685,0.213981,0.205996,0.183885,0.218389,0.270879,0.203302,0.183594,0.153488,0.143553,3.030652,1.278495,4.309147,0.141814,1.172100,1.313914,2.443048,1.155688,3.598736,0.146429,1.176649,1.323078,0.887164,0.186630,1.073795
5999,0.214680,0.185510,0.203752,0.138657,0.219423,0.249383,0.201031,0.135166,0.152705,0.130001,3.091195,1.310616,4.401811,0.143736,1.201901,1.345637,2.501089,1.184117,3.685207,0.148327,1.205598,1.353924,0.916527,0.192743,1.109271
6199,0.212122,0.135387,0.201229,0.125554,0.220847,0.263577,0.198594,0.125482,0.151614,0.118870,3.163770,1.414334,4.578104,0.161590,1.239636,1.401226,2.571977,1.221524,3.793500,0.167839,1.243110,1.410949,0.952160,0.199947,1.152107
6399,0.211114,0.179864,0.200402,0.174748,0.222587,0.276518,0.198022,0.180283,0.150813,0.125996,3.232263,1.446684,4.678947,0.163022,1.270385,1.433407,2.777634,1.252467,4.030101,0.169164,1.273587,1.442750,0.981141,0.206134,1.187275
6599,0.209714,0.164913,0.199234,0.161860,0.223080,0.238857,0.196887,0.160592,0.149788,0.116996,3.374889,1.486483,4.861372,0.164699,1.310171,1.474869,2.826319,1.290187,4.116506,0.171032,1.311200,1.482232,1.013824,0.213034,1.226858
6799,0.209684,0.208714,0.198717,0.181678,0.221613,0.173223,0.196377,0.179545,0.149043,0.124436,3.454639,1.523533,4.978172,0.166631,1.343967,1.510599,2.890235,1.326190,4.216425,0.172946,1.345683,1.518629,1.064396,0.220338,1.284734
6999,0.212785,0.318219,0.201002,0.278683,0.220527,0.183601,0.198753,0.279512,0.149253,0.156389,3.518234,1.560471,5.078705,0.168382,1.380545,1.548927,2.949017,1.362038,4.311055,0.174652,1.381367,1.556019,1.084688,0.226613,1.311301
7199,0.213468,0.237352,0.201833,0.230931,0.218917,0.162572,0.199532,0.226805,0.148810,0.133319,3.584873,1.596723,5.181596,0.184606,1.413886,1.598493,3.012458,1.395539,4.407997,0.191661,1.417926,1.609588,1.107876,0.233567,1.341443
7399,0.213761,0.224322,0.202313,0.219583,0.216635,0.134473,0.200022,0.217653,0.148341,0.131472,3.668092,1.637932,5.306024,0.186091,1.450555,1.636647,3.083860,1.432862,4.516722,0.193123,1.455825,1.648948,1.132256,0.240225,1.372481
7599,0.213580,0.206886,0.202960,0.226914,0.216302,0.203958,0.200690,0.225441,0.147936,0.132918,3.857770,1.677188,5.534958,0.188169,1.487127,1.675296,3.240450,1.469679,4.710129,0.194961,1.493413,1.688374,1.166040,0.247581,1.413622
7799,0.212454,0.169668,0.202941,0.202199,0.216334,0.217568,0.200705,0.201265,0.147628,0.135926,3.921170,1.713345,5.634515,0.189922,1.522640,1.712562,3.299322,1.503282,4.802605,0.196750,1.527677,1.724427,1.188969,0.253748,1.442717
7999,0.212029,0.195467,0.203712,0.233766,0.217598,0.266890,0.201467,0.231177,0.147220,0.131308,4.001929,1.753611,5.755541,0.192171,1.563298,1.755469,3.359219,1.540738,4.899956,0.198863,1.568684,1.767547,1.239257,0.261009,1.500266
